"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"89104","Albany-Schenectady, NY (Combined Statistical Area)","","CA4","10","...","Personal income (thousands of dollars)",3873745,4290610,4726397,5086509,5470335,5931653,6432805,6877772,7456264,8164863,8999211,10044867,11108173,12093780,13022220,14402474,15418404,16564772,17627116,19112040,21057769,22145081,22842133,24281693,25017564,25848852,26799783,27650939,29043980,30312342,31589027,33655736,35188145,35180497,36711340,38858588,40549836,42669159,44639826,47198493,47823175,49295737,51372123,53355095,54079112,55787826
"89104","Albany-Schenectady, NY (Combined Statistical Area)","","CA4","11","...","  Nonfarm personal income 1/",3827942,4245939,4682660,5045208,5422211,5888885,6394443,6832834,7423416,8121388,8939932,9985370,11052264,12040860,12980188,14354496,15362122,16499983,17556745,19051276,20982513,22068519,22781414,24209160,24940336,25788176,26742820,27562029,29007186,30231057,31498821,33566277,35079390,35118080,36632838,38760583,40455102,42599761,44556613,47118517,47777136,49198106,51230472,53218851,53891734,55587521
"89104","Albany-Schenectady, NY (Combined Statistical Area)","","CA4","12","...","  Farm income 2/",45803,44671,43737,41301,48124,42768,38362,44938,32848,43475,59279,59497,55909,52920,42032,47978,56282,64789,70371,60764,75256,76562,60719,72533,77228,60676,56963,88910,36794,81285,90206,89459,108755,62417,78502,98005,94734,69398,83213,79976,46039,97631,141651,136244,187378,200305
"89104","Albany-Schenectady, NY (Combined Statistical Area)","","CA4","20","...","Population (persons) 3/",1002205,1013516,1032144,1048398,1049503,1047128,1049948,1049207,1053458,1056853,1055597,1049655,1050241,1051837,1056987,1059667,1063163,1068337,1072322,1082132,1089770,1099799,1108165,1115545,1120741,1124133,1124591,1121940,1117526,1115796,1116339,1119276,1122911,1129147,1138397,1145577,1150801,1157169,1160579,1164170,1166714,1168699,1169612,1171204,1173024,1173518
"89104","Albany-Schenectady, NY (Combined Statistical Area)","","CA4","30","...","Per capita personal income (dollars) 4/",3865,4233,4579,4852,5212,5665,6127,6555,7078,7726,8525,9570,10577,11498,12320,13592,14502,15505,16438,17661,19323,20136,20613,21767,22322,22994,23831,24646,25990,27167,28297,30069,31337,31157,32248,33921,35236,36874,38463,40543,40990,42180,43922,45556,46102,47539
"89104","Albany-Schenectady, NY (Combined Statistical Area)","","CA4","35","...","Earnings by place of work",3224878,3533988,3881859,4168473,4478920,4770669,4970389,5350537,5792027,6431827,7071759,7631996,8243812,8798197,9447132,10549746,11410459,12392850,13361322,14620669,15742599,16626006,17050190,18151381,18802238,19438988,19766564,20356419,21482003,22402174,23772994,25634566,26896332,27381186,28597102,29926550,30786942,32166377,33062259,34497259,35167320,35914534,36771667,37949574,39280931,40561166
"89104","Albany-Schenectady, NY (Combined Statistical Area)","","CA4","36","...","Less: Contributions for government social insurance 5/",251250,269499,304892,341914,422907,465304,478087,529553,573716,652508,739825,785785,902361,966818,1043217,1185652,1303441,1431360,1523049,1709455,1805770,1830588,1935164,2019689,2099707,2204421,2235603,2249575,2339298,2439911,2536218,2736270,2899850,3007690,3141364,3265724,3381946,3494654,3582437,3771676,3800169,3902772,3609298,3698170,4330337,4496226
"89104","Albany-Schenectady, NY (Combined Statistical Area)","","CA4","37","...","  Employee and self-employed contributions for government social insurance",115556,124348,139633,153675,189446,209581,216623,232532,250172,281431,322212,351117,408160,442137,472618,524858,595589,659717,704713,793996,852928,857009,921082,949520,986191,1038900,1061613,1056488,1105989,1145092,1207598,1287111,1358213,1413614,1476795,1529526,1594448,1644025,1690983,1786209,1850516,1843303,1498670,1526131,2063643,2131331
"89104","Albany-Schenectady, NY (Combined Statistical Area)","","CA4","38","...","  Employer contributions for government social insurance",135694,145151,165259,188239,233461,255723,261464,297021,323544,371077,417613,434668,494201,524681,570599,660794,707852,771643,818336,915459,952842,973579,1014082,1070169,1113516,1165521,1173990,1193087,1233309,1294819,1328620,1449159,1541637,1594076,1664569,1736198,1787498,1850629,1891454,1985467,1949653,2059469,2110628,2172039,2266694,2364895
"89104","Albany-Schenectady, NY (Combined Statistical Area)","","CA4","42","...","Plus: Adjustment for residence 6/",-22128,-13513,-12414,-3481,2829,1676,2249,-14596,-26940,-36951,-43195,-42454,-34778,-33555,-30824,-28448,-20657,-15016,-11536,-4446,3589,13655,3821,-3722,-23585,-42414,-37658,-45846,-55375,-46686,-48214,-70396,-69251,-187796,-263254,-103384,14894,97691,320498,318778,267193,293462,320478,327689,304632,325760
"89104","Albany-Schenectady, NY (Combined Statistical Area)","","CA4","45","...","Equals: Net earnings by place of residence",2951500,3250976,3564553,3823078,4058842,4307041,4494551,4806388,5191371,5742368,6288739,6803757,7306673,7797824,8373091,9335646,10086361,10946474,11826737,12906768,13940418,14809073,15118847,16127970,16678946,17192153,17493303,18060998,19087330,19915577,21188562,22827900,23927231,24185700,25192484,26557442,27419890,28769414,29800320,31044361,31634344,32305224,33482847,34579093,35255226,36390700
"89104","Albany-Schenectady, NY (Combined Statistical Area)","","CA4","46","...","Plus: Dividends, interest, and rent 7/",571573,628137,678506,731097,803026,905756,990334,1039560,1151427,1241318,1415186,1716984,2086409,2397894,2615736,2978000,3120643,3311087,3456293,3710240,4432256,4424963,4477306,4481059,4482389,4633503,5046951,5149670,5456806,5612621,5465297,5770423,5804809,5133630,5449376,5892312,6465190,6808949,7456621,7843124,7022507,7210613,7733175,8703964,8598000,8866210
"89104","Albany-Schenectady, NY (Combined Statistical Area)","","CA4","47","...","Plus: Personal current transfer receipts",350672,411497,483338,532334,608467,718856,947920,1031824,1113466,1181177,1295286,1524126,1715091,1898062,2033393,2088828,2211400,2307211,2344086,2495032,2685095,2911045,3245980,3672664,3856229,4023196,4259529,4440271,4499844,4784144,4935168,5057413,5456105,5861167,6069480,6408834,6664756,7090796,7382885,8311008,9166324,9779900,10156101,10072038,10225886,10530916
"89104","Albany-Schenectady, NY (Combined Statistical Area)","","CA4","50","...","Wages and salaries",2552961,2810171,3074211,3280531,3534247,3768089,3875076,4136648,4436704,4884289,5336169,5770985,6243200,6674742,7115274,7875354,8505865,9178028,9960291,10866629,11571086,12252802,12489496,13007348,13517108,14012348,14177541,14558207,15191184,16146619,16968162,18241546,19124912,19417264,20109890,20854067,21354019,22356753,23031511,24138547,24097573,24369217,24935869,25708224,26513171,27489664
"89104","Albany-Schenectady, NY (Combined Statistical Area)","","CA4","60","...","Supplements to wages and salaries",381721,430969,504158,573328,619605,680165,763489,815893,921099,1046268,1185954,1282602,1429882,1567881,1722429,1907243,2091655,2275955,2425631,2640795,2929805,3121579,3328293,3722562,3885467,4043799,4035058,4062831,4189364,4452991,4710746,5145497,5510431,5657699,6142800,6570147,6865040,7061197,7381828,7812243,8129508,8502358,8569905,8848560,9341584,9460921
"89104","Albany-Schenectady, NY (Combined Statistical Area)","","CA4","61","...","  Employer contributions for employee pension and insurance funds 8/",246027,285818,338899,385089,386144,424442,502025,518872,597555,675191,768341,847934,935681,1043200,1151830,1246449,1383803,1504312,1607295,1725336,1976963,2148000,2314211,2652393,2771951,2878278,2861068,2869744,2956055,3158172,3382126,3696338,3968794,4063623,4478231,4833949,5077542,5210568,5490374,5826776,6179855,6442889,6459277,6676521,7074890,7096026
