"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"21000","Kentucky state total","5","CA4","10","...","Personal income (thousands of dollars)",9702046,10517373,11444607,12654522,14211061,16007267,17446401,19488702,21868067,24357691,27351774,29770590,33114794,35287385,36629766,40882623,42685414,43905007,46333321,50389911,54151355,57482504,60643068,65371767,67907191,71377080,74798939,79385813,84293663,89445902,93433708,101038353,104686131,107073047,109914199,116279798,122014992,129093847,134861763,141364052,139231485,143443621,151109243,156990191,158238045,165044051
"21000","Kentucky state total","5","CA4","11","...","  Nonfarm personal income 1/",9275660,10125684,11038573,12149333,13634344,15344834,16968067,18936891,21190854,23758818,26679377,29215612,32182148,34394103,36406036,39770533,41817914,43264923,45610410,49620256,53019687,56370809,59530468,64078178,66805461,70222609,74103995,78258766,83165009,88445926,92664133,99558328,103617870,106412271,109231962,115055322,120456118,127875209,134112180,140943237,138543234,143086867,150199132,156084102,156138485,163791510
"21000","Kentucky state total","5","CA4","12","...","  Farm income 2/",426386,391689,406034,505189,576717,662433,478334,551811,677213,598873,672397,554978,932646,893282,223730,1112090,867500,640084,722911,769655,1131668,1111695,1112600,1293589,1101730,1154471,694944,1127047,1128654,999976,769575,1480025,1068261,660776,682237,1224476,1558874,1218638,749583,420815,688251,356754,910111,906089,2099560,1252541
"21000","Kentucky state total","5","CA4","20","...","Population (persons) 3/",3198000,3230587,3298262,3336106,3371573,3417039,3468755,3530443,3575001,3611382,3643655,3664221,3670395,3683449,3694469,3695459,3694816,3687805,3683330,3680002,3677318,3694048,3722328,3765469,3812206,3849088,3887427,3919535,3952747,3985390,4018053,4049021,4068132,4089875,4117170,4146101,4182742,4219239,4256672,4289878,4317074,4349838,4370038,4383465,4399583,4413457
"21000","Kentucky state total","5","CA4","30","...","Per capita personal income (dollars) 4/",3034,3256,3470,3793,4215,4685,5030,5520,6117,6745,7507,8125,9022,9580,9915,11063,11553,11905,12579,13693,14726,15561,16292,17361,17813,18544,19241,20254,21325,22443,23253,24954,25733,26180,26697,28046,29171,30596,31682,32953,32251,32977,34578,35814,35967,37396
"21000","Kentucky state total","5","CA4","35","...","Earnings by place of work",7934626,8465736,9197559,10234060,11564849,12890906,13615900,15398723,17459899,19580198,21876753,22789066,24885423,25701436,26307618,29878100,31141160,31894662,34226442,37630921,40121419,42426385,44324252,48326332,50450528,53184128,55010703,58100847,61788401,65618736,69870580,74945245,77416748,79658878,82744723,87910657,92493007,96158693,98663440,101216842,97986977,101150031,105817093,109635400,111633924,115015985
"21000","Kentucky state total","5","CA4","36","...","Less: Contributions for government social insurance 5/",509229,547013,614611,713437,918858,1060043,1122078,1290588,1451425,1685793,1944370,2058845,2391613,2525652,2653414,3000058,3217940,3452793,3681713,4098338,4407170,4818327,5093474,5519863,5885555,6331031,6634681,6898290,7298839,7748334,8258002,8525179,8743239,9025246,9282949,9670706,10150257,10689791,11168333,11639750,11511827,11829394,10942720,11300669,12948698,13527400
"21000","Kentucky state total","5","CA4","37","...","  Employee and self-employed contributions for government social insurance",250655,270359,299984,343841,437748,504943,538641,601307,672806,772229,896327,962457,1128063,1199840,1246146,1379999,1526825,1651523,1783448,2003969,2201674,2396554,2547387,2736519,2899614,3133811,3314639,3455821,3670677,3877222,4105948,4299474,4465680,4606231,4760491,4980379,5259699,5598689,5879946,6134654,6057365,6158530,5083954,5212657,6775410,7122046
"21000","Kentucky state total","5","CA4","38","...","  Employer contributions for government social insurance",258574,276654,314627,369596,481110,555100,583437,689281,778619,913564,1048043,1096388,1263550,1325812,1407268,1620059,1691115,1801270,1898265,2094369,2205496,2421773,2546087,2783344,2985941,3197220,3320042,3442469,3628162,3871112,4152054,4225705,4277559,4419015,4522458,4690327,4890558,5091102,5288387,5505096,5454462,5670864,5858766,6088012,6173288,6405354
"21000","Kentucky state total","5","CA4","42","...","Plus: Adjustment for residence 6/",164126,153101,96827,90835,45011,17661,11163,-17176,6405,29395,25688,57157,16312,10039,33118,2452,-4385,21582,4381,-6300,-41834,-34624,-42424,-262849,-253383,-336452,-337053,-319028,-318751,-191294,-275071,-296333,-574753,-942221,-1277576,-1390135,-1720555,-1837699,-1685923,-1691418,-1856595,-2116228,-2293319,-2329640,-2004558,-2030922
"21000","Kentucky state total","5","CA4","45","...","Equals: Net earnings by place of residence",7589523,8071824,8679775,9611458,10691002,11848524,12504985,14090959,16014879,17923800,19958071,20787378,22510122,23185823,23687322,26880494,27918835,28463451,30549110,33526283,35672415,37573434,39188354,42543620,44311590,46516645,48038969,50883529,54170811,57679108,61337507,66123733,68098756,69691411,72184198,76849816,80622195,83631203,85809184,87885674,84618555,87204409,92581054,96005091,96680668,99457663
"21000","Kentucky state total","5","CA4","46","...","Plus: Dividends, interest, and rent 7/",1168485,1340761,1466569,1601928,1800517,2107360,2357778,2566416,2885547,3256187,3690030,4514761,5565695,6602364,6989292,7773632,8249636,8617362,8727066,9369127,10244228,10898832,11209446,11579892,11893171,12586554,13557771,14520298,15346082,16595802,16359829,18006456,18166344,17663840,17393178,17538320,18205956,20478269,22175262,23166425,21178764,20836436,22619303,25007591,24743514,25585819
"21000","Kentucky state total","5","CA4","47","...","Plus: Personal current transfer receipts",944038,1104788,1298263,1441136,1719542,2051383,2583638,2831327,2967641,3177704,3703673,4468451,5038977,5499198,5953152,6228497,6516943,6824194,7057145,7494501,8234712,9010238,10245268,11248255,11702430,12273881,13202199,13981986,14776770,15170992,15736372,16908164,18421031,19717796,20336823,21891662,23186841,24984375,26877317,30311953,33434166,35402776,35908886,35977509,36813863,40000569
"21000","Kentucky state total","5","CA4","50","...","Wages and salaries",5904669,6361352,6877175,7531996,8481299,9413537,10033210,11253124,12596042,14271094,16009619,16962353,18390272,19027562,19697048,21528816,22688392,23669855,25404700,27133433,28755797,30824972,32008428,34542519,36024338,38114358,40210708,42333865,45181475,48094952,51148699,53945947,55555240,56680539,58522681,61438506,64124350,67344607,70598622,72364077,70480727,71966087,74647793,77127812,78330876,81576432
"21000","Kentucky state total","5","CA4","60","...","Supplements to wages and salaries",786237,870589,999825,1144039,1342494,1558813,1745125,2020988,2307426,2622993,3007745,3192840,3466615,3694870,3978399,4393810,4757967,5181965,5559331,5911845,6499360,7068732,7539320,8645368,9241592,9731573,9777285,9964626,10365253,10817474,11752528,12748853,13680219,14556288,15646299,16628010,17942677,18093818,18714572,19516051,18575071,20189148,20568817,21476576,21111627,21498160
"21000","Kentucky state total","5","CA4","61","...","  Employer contributions for employee pension and insurance funds 8/",527663,593935,685198,774443,861384,1003713,1161688,1331707,1528807,1709429,1959702,2096452,2203065,2369058,2571131,2773751,3066852,3380695,3661066,3817476,4293864,4646959,4993233,5862024,6255651,6534353,6457243,6522157,6737091,6946362,7600474,8523148,9402660,10137273,11123841,11937683,13052119,13002716,13426185,14010955,13120609,14518284,14710051,15388564,14938339,15092806
"21000","Kentucky state total","5","CA4","62","...","  Employer contributions for government social insurance",258574,276654,314627,369596,481110,555100,583437,689281,778619,913564,1048043,1096388,1263550,1325812,1407268,1620059,1691115,1801270,1898265,2094369,2205496,2421773,2546087,2783344,2985941,3197220,3320042,3442469,3628162,3871112,4152054,4225705,4277559,4419015,4522458,4690327,4890558,5091102,5288387,5505096,5454462,5670864,5858766,6088012,6173288,6405354
"21000","Kentucky state total","5","CA4","70","...","Proprietors' income 9/",1243720,1233795,1320559,1558025,1741056,1918556,1837565,2124611,2556431,2686111,2859389,2633873,3028536,2979004,2632171,3955474,3694801,3042842,3262411,4585643,4866262,4532681,4776504,5138445,5184598,5338197,5022710,5802356,6241673,6706310,6969353,8250445,8181289,8422051,8575743,9844141,10425980,10720268,9350246,9336714,8931179,8994796,10600483,11031012,12191421,11941393
"21000","Kentucky state total","5","CA4","71","...","  Farm proprietors' income",367878,327474,341427,439041,499950,560609,384655,457007,562182,477470,536116,407776,783814,715243,58358,953094,713431,500804,590793,621391,970244,923084,931971,1118128,919666,983601,514755,954895,949705,795833,553253,1276098,817605,353965,345267,896736,1298996,932208,430064,105949,389698,70803,656492,561258,1746883,869306
"21000","Kentucky state total","5","CA4","72","...","  Nonfarm proprietors' income",875842,906321,979132,1118984,1241106,1357947,1452910,1667604,1994249,2208641,2323273,2226097,2244722,2263761,2573813,3002380,2981370,2542038,2671618,3964252,3896018,3609597,3844533,4020317,4264932,4354596,4507955,4847461,5291968,5910477,6416100,6974347,7363684,8068086,8230476,8947405,9126984,9788060,8920182,9230765,8541481,8923993,9943991,10469754,10444538,11072087
"21000","Kentucky state total","5","CA4","7010","...","Total employment",1331869,1336200,1359677,1391733,1460918,1495502,1464686,1522537,1578785,1644520,1665068,1642192,1634370,1615586,1624234,1676458,1698090,1733268,1765189,1815845,1865111,1906123,1903273,1949274,1992841,2034504,2109525,2141075,2188877,2222685,2264088,2306886,2283540,2262152,2272008,2298299,2333852,2373305,2414193,2402549,2327951,2322417,2365445,2385344,2402294,2437101
"21000","Kentucky state total","5","CA4","7020","...","  Wage and salary employment",1062844,1064553,1079762,1099255,1160707,1197012,1168045,1221691,1267361,1326759,1346720,1317072,1305340,1272581,1269880,1321275,1351767,1378983,1426804,1478522,1529623,1563278,1559366,1603098,1643490,1690358,1736377,1760408,1802133,1836220,1876601,1909887,1884691,1865802,1867226,1884007,1907892,1934131,1956179,1949451,1870449,1866856,1887646,1910516,1923758,1952624
