"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"24000","Maryland state total","2","CA4","10","...","Personal income (thousands of dollars)",17270064,19210265,21174070,23219752,25571575,27927911,30272447,32913004,35682786,39666413,43606569,48538857,53951891,58495108,62780435,69611724,75637475,81682411,88108956,96766594,104489827,110720316,114751265,120564540,125464844,131220905,136887889,143275374,151291853,162850990,172886223,187715923,197891287,205228840,214373874,229818315,242154652,258320825,269713692,280305819,279294476,287571318,302712263,312724325,312053581,323778035
"24000","Maryland state total","2","CA4","11","...","  Nonfarm personal income 1/",17138736,19089863,21081556,23093235,25364421,27765689,30070445,32740892,35556226,39485468,43449527,48483907,53825679,58354379,62693897,69349868,75363886,81398864,87813897,96406841,104129790,110370597,114449009,120229495,125153111,130921316,136682350,142888814,151020537,162534343,172543120,187307848,197483905,205014219,214069265,229385426,241772066,258021568,269428790,279862534,278964950,287273485,302278274,312153264,311263380,323164340
"24000","Maryland state total","2","CA4","12","...","  Farm income 2/",131328,120402,92514,126517,207154,162222,202002,172112,126560,180945,157042,54950,126212,140729,86538,261856,273589,283547,295059,359753,360037,349719,302256,335045,311733,299589,205539,386560,271316,316647,343103,408075,407382,214621,304609,432889,382586,299257,284902,443285,329526,297833,433989,571061,790201,613695
"24000","Maryland state total","2","CA4","20","...","Population (persons) 3/",3868000,3938051,4022507,4081121,4109038,4133341,4157208,4172132,4194639,4211641,4223398,4227643,4261905,4282923,4313329,4365246,4413072,4486956,4565558,4657903,4727303,4799770,4867641,4923368,4971889,5023060,5070033,5111986,5157328,5204464,5254509,5311034,5374691,5440389,5496269,5546935,5592379,5627367,5653408,5684965,5730388,5788101,5843833,5891819,5938737,5976407
"24000","Maryland state total","2","CA4","30","...","Per capita personal income (dollars) 4/",4465,4878,5264,5690,6223,6757,7282,7889,8507,9418,10325,11481,12659,13658,14555,15947,17139,18204,19299,20775,22103,23068,23574,24488,25235,26124,26999,28027,29335,31291,32902,35345,36819,37723,39004,41432,43301,45904,47708,49307,48739,49683,51800,53078,52545,54176
"24000","Maryland state total","2","CA4","35","...","Earnings by place of work",12289156,13374217,14550332,16012774,17819968,19349941,20522000,22504437,24399684,27207179,29963747,32618598,35859671,37692817,40942758,45672672,50107817,54458974,59587182,65882949,70387846,74578585,76265971,79729101,82945358,86914098,90491635,94429046,100737841,109180092,116889005,126473996,134241361,140929027,148008338,159078259,167746673,177544085,183622222,189507919,189592626,194883721,203317526,209268514,211125038,218825355
"24000","Maryland state total","2","CA4","36","...","Less: Contributions for government social insurance 5/",750535,814696,916580,1059767,1354029,1532677,1623792,1807915,1973742,2261688,2611371,2866169,3381335,3616520,4070525,4672487,5284228,5837332,6330824,7214122,7757580,8394635,8670866,9015745,9364300,9915721,10287233,10645148,11306542,11983714,12726043,13595932,14645922,15326367,16030056,17255501,18182996,19378295,20234284,21006892,20983371,21882956,20338498,20911720,23719989,24340668
"24000","Maryland state total","2","CA4","37","...","  Employee and self-employed contributions for government social insurance",365374,395010,441728,502634,646933,733662,775461,841513,913641,1039950,1214707,1349287,1610957,1738617,1940962,2187414,2553038,2836632,3079707,3547383,3862059,4176138,4336656,4490861,4680190,4978261,5207726,5416547,5756170,6121837,6544099,6971334,7518088,7887449,8230557,8717670,9269249,9908183,10439832,10863359,10877710,11069074,8964174,9167507,12148137,12676157
"24000","Maryland state total","2","CA4","38","...","  Employer contributions for government social insurance",385161,419686,474852,557133,707096,799015,848331,966402,1060101,1221738,1396664,1516882,1770378,1877903,2129563,2485073,2731190,3000700,3251117,3666739,3895521,4218497,4334210,4524884,4684110,4937460,5079507,5228601,5550372,5861877,6181944,6624598,7127834,7438918,7799499,8537831,8913747,9470112,9794452,10143533,10105661,10813882,11374324,11744213,11571852,11664511
"24000","Maryland state total","2","CA4","42","...","Plus: Adjustment for residence 6/",2320342,2712875,3022962,3279336,3477865,3680326,4056743,4349530,4690920,5092344,5462060,5947670,6284625,6788954,7134018,7802624,8405902,9016283,9641224,10685047,11493665,12094012,12639486,13401101,13623857,14019841,13990826,14364915,14299265,15660342,16738756,18980745,20015930,20017689,20190434,21182767,21627949,22325323,22793496,22110419,23380762,24000147,23687596,23345665,23459538,23021640
"24000","Maryland state total","2","CA4","45","...","Equals: Net earnings by place of residence",13858963,15272396,16656714,18232343,19943804,21497590,22954951,25046052,27116862,30037835,32814436,35700099,38762961,40865251,44006251,48802809,53229491,57637925,62897582,69353874,74123931,78277962,80234591,84114457,87204915,91018218,94195228,98148813,103730564,112856720,120901718,131858809,139611369,145620349,152168716,163005525,171191626,180491113,186181434,190611446,191990017,197000912,206666624,211702459,210864587,217506327
"24000","Maryland state total","2","CA4","46","...","Plus: Dividends, interest, and rent 7/",2466662,2811545,3144227,3413605,3811408,4325361,4670408,5011561,5523800,6274376,6986762,8303422,9993619,11847293,12470750,14165366,15385438,16550417,17431711,19108289,21320401,22532764,23354836,23935939,25203925,26560672,28390662,29830941,31951653,33706530,34722251,37611158,38380976,38261548,39278593,42805790,45017867,50755644,54220805,56270578,51307378,51399505,55675254,60180483,58959822,61472923
"24000","Maryland state total","2","CA4","47","...","Plus: Personal current transfer receipts",944439,1126324,1373129,1573804,1816363,2104960,2647088,2855391,3042124,3354202,3805371,4535336,5195311,5782564,6303434,6643549,7022546,7494069,7779663,8304431,9045495,9909590,11161838,12514144,13056004,13642015,14301999,15295620,15609636,16287740,17262254,18245956,19898942,21346943,22926565,24007000,25945159,27074068,29311453,33423795,35997081,39170901,40370385,40841383,42229172,44798785
"24000","Maryland state total","2","CA4","50","...","Wages and salaries",9784500,10671181,11497549,12596572,13987002,15278854,16044903,17498686,18916059,21081495,23212875,25403113,27901916,29282985,31684650,35087860,38360504,41700857,45872882,50342066,53867340,57163330,58023493,59907295,62036658,65140754,68006196,71333678,76414142,81897458,87495848,94526490,99865656,103680831,108081808,115076553,121419853,128342603,134295949,137404419,136308201,139342923,144427836,148882952,150064386,155116964
