"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"29000","Missouri state total","4","CA4","10","...","Personal income (thousands of dollars)",16884221,18437396,19898453,21643396,24037988,25725396,28177729,30858137,34195610,38083133,42467120,46090765,51466552,54991252,58675314,65050681,69635804,73376484,77319358,82003345,87798850,91773727,95972532,102405335,107142686,113502853,119307169,126395827,134265735,141002097,146848802,157090658,162433481,165959167,172773178,181836913,188782927,201038598,211022590,221796452,216420305,219685657,228654880,240440942,243591814,252482438
"29000","Missouri state total","4","CA4","11","...","  Nonfarm personal income 1/",16436783,17915121,19330321,20932646,22826790,25090141,27485007,30393714,33485497,37170723,41295805,45855684,50701447,54651515,58785640,64632816,68846046,72799726,76588550,81354177,86896653,91076928,95394514,101557193,106656814,112791255,119103063,125355522,133219051,140471664,146623248,156317007,161611723,165568223,171723791,179580617,187390500,199784575,209667034,219778576,214777090,218403300,226474338,238948048,240587911,248717522
"29000","Missouri state total","4","CA4","12","...","  Farm income 2/",447438,522275,568132,710750,1211198,635255,692722,464423,710113,912410,1171315,235081,765105,339737,-110326,417865,789758,576758,730808,649168,902197,696799,578018,848142,485872,711598,204106,1040305,1046684,530433,225554,773651,821758,390944,1049387,2256296,1392427,1254023,1355556,2017876,1643215,1282357,2180542,1492894,3003903,3764916
"29000","Missouri state total","4","CA4","20","...","Population (persons) 3/",4640000,4684768,4722703,4753234,4774601,4785391,4795383,4823554,4845042,4871171,4889327,4921966,4932069,4929456,4943735,4975276,5000260,5023055,5056702,5081737,5095844,5128880,5170800,5217101,5271175,5324497,5378247,5431553,5481193,5521765,5561948,5607285,5641142,5674825,5709403,5747741,5790300,5842704,5887612,5923916,5961088,5996085,6010544,6025281,6044917,6063589
"29000","Missouri state total","4","CA4","30","...","Per capita personal income (dollars) 4/",3639,3936,4213,4553,5035,5376,5876,6397,7058,7818,8686,9364,10435,11156,11869,13075,13926,14608,15290,16137,17230,17894,18560,19629,20326,21317,22183,23271,24496,25536,26402,28015,28794,29245,30261,31636,32603,34408,35842,37441,36306,36638,38042,39905,40297,41639
"29000","Missouri state total","4","CA4","35","...","Earnings by place of work",14739595,15727929,16792059,18300934,20340387,21258031,22603111,25018420,27981441,31381153,34937143,36306093,39594441,40942075,43600510,48773806,52652426,55662015,59446596,63417369,67520154,70376729,72280763,77271136,80435238,85662182,90383411,96024036,102076743,107447594,113579898,121050885,124841890,128517380,133281335,140711027,145906919,153604159,158516795,165356252,160447125,160886714,164697970,170887240,176262426,182779966
"29000","Missouri state total","4","CA4","36","...","Less: Contributions for government social insurance 5/",954468,1004738,1108898,1261292,1584345,1766953,1842370,2096831,2331525,2697221,3089960,3279305,3789200,4043819,4388901,4996867,5478620,5878664,6195510,6835737,7299031,7871562,8213598,8666067,9093160,9774229,10357372,10778741,11410100,12009887,12636965,13300912,13688520,14018741,14448967,14984870,15741444,16727944,17506069,18264304,17734781,17704331,16310305,16744575,19463297,20122048
"29000","Missouri state total","4","CA4","37","...","  Employee and self-employed contributions for government social insurance",488891,516102,567911,633356,794670,887183,926778,1023949,1122740,1292780,1490256,1610002,1876828,2015189,2155397,2407458,2721217,2937089,3133003,3481707,3779327,4057213,4259177,4488917,4714335,5079173,5411929,5626404,5947948,6237846,6579390,6906619,7120400,7325808,7521296,7841221,8221702,8786075,9237884,9616514,9374065,9408262,7715168,7884890,10380062,10798208
"29000","Missouri state total","4","CA4","38","...","  Employer contributions for government social insurance",465577,488636,540987,627936,789675,879770,915592,1072882,1208785,1404441,1599704,1669303,1912372,2028630,2233504,2589409,2757403,2941575,3062507,3354030,3519704,3814349,3954421,4177150,4378825,4695056,4945443,5152337,5462152,5772041,6057575,6394293,6568120,6692933,6927671,7143649,7519742,7941869,8268185,8647790,8360716,8296069,8595137,8859685,9083235,9323840
"29000","Missouri state total","4","CA4","42","...","Plus: Adjustment for residence 6/",-751767,-695858,-680969,-698493,-730102,-756520,-771627,-839731,-970532,-1122716,-1281487,-1489041,-1632213,-1687121,-1710980,-1860188,-1990816,-2055741,-2172076,-2254333,-2388271,-2602143,-2593224,-2718486,-2836805,-2863457,-3114137,-3214186,-3393475,-3556366,-3686530,-3970922,-3951143,-4568717,-4578628,-4451899,-4681231,-4684960,-4369197,-5795972,-5336248,-5156704,-4567620,-5137211,-4993478,-5086635
