"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"28000","Mississippi state total","5","CA4","10","...","Personal income (thousands of dollars)",5534346,6064385,6718511,7653682,8743228,9609803,10424635,11820319,13153529,14647559,16553596,17998291,20205005,21340298,22336974,24400947,25725576,26678772,28202012,30162096,32651634,34267522,36072135,38903231,41442376,44847540,47381736,50290838,53121279,56302246,58246931,61473782,65065328,66244657,68785859,72966767,77861301,81484402,86511198,90505194,89320552,91450836,95239261,98920649,100625620,103090592
"28000","Mississippi state total","5","CA4","11","...","  Nonfarm personal income 1/",5188920,5673637,6286870,7164434,8056964,9101755,10055508,11254192,12554161,14203022,15860326,17823382,19882185,20922976,22241575,23928667,25294665,26481700,27622239,29437020,32092265,33785988,35495928,38244773,40870832,44015065,46715124,49224485,52140535,55345353,57313274,60693266,63494303,65615196,67604823,71174167,76102876,80682741,85388959,89576307,88346964,90539713,94599633,97633821,98070828,101044921
"28000","Mississippi state total","5","CA4","12","...","  Farm income 2/",345426,390748,431641,489248,686264,508048,369127,566127,599368,444537,693270,174909,322820,417322,95399,472280,430911,197072,579773,725076,559369,481534,576207,658458,571544,832475,666612,1066353,980744,956893,933657,780516,1571025,629461,1181036,1792600,1758425,801661,1122239,928887,973588,911123,639628,1286828,2554792,2045671
"28000","Mississippi state total","5","CA4","20","...","Population (persons) 3/",2220000,2221128,2265529,2307291,2349802,2378603,2399924,2430324,2459810,2488033,2507967,2525342,2539032,2556776,2567719,2578053,2588103,2593596,2588545,2580349,2574272,2578897,2598733,2623734,2655100,2688992,2722659,2748085,2777004,2804834,2828408,2848353,2852994,2858681,2868312,2889010,2905943,2904978,2928350,2947806,2958774,2970811,2978464,2986137,2992206,2994079
"28000","Mississippi state total","5","CA4","30","...","Per capita personal income (dollars) 4/",2493,2730,2966,3317,3721,4040,4344,4864,5347,5887,6600,7127,7958,8347,8699,9465,9940,10286,10895,11689,12684,13288,13881,14827,15609,16678,17403,18300,19129,20073,20594,21582,22806,23173,23981,25257,26794,28050,29543,30703,30188,30783,31976,33127,33629,34431
"28000","Mississippi state total","5","CA4","35","...","Earnings by place of work",4581440,4892473,5366833,6162803,7065383,7549200,7914563,9131633,10229652,11358597,12790507,13226143,14567942,15044010,15503606,17145740,18032007,18714773,20020496,21538449,22823139,24181258,25342901,27403910,29400117,32112592,33452015,35275702,37190790,39734391,41560798,43217146,45019143,45831565,48095473,51432431,53628570,55752070,57671133,59663520,58037242,58898059,60199621,63258865,65152362,66465753
"28000","Mississippi state total","5","CA4","36","...","Less: Contributions for government social insurance 5/",290831,310203,351085,421301,538239,615467,653112,756504,850173,981797,1128894,1210227,1421451,1497310,1593803,1773270,1913772,2032083,2125070,2373612,2541703,2803227,2988565,3192126,3452582,3779262,3946158,4069038,4283603,4578797,4782557,4925724,5012801,5217390,5381229,5702363,5918412,6400993,6668801,6885755,6796464,6895207,6421888,6632446,7537278,7750529
"28000","Mississippi state total","5","CA4","37","...","  Employee and self-employed contributions for government social insurance",146492,157094,176026,208537,265411,304493,323748,364519,404132,462266,535924,585132,693349,741378,781705,855215,953028,1024282,1080501,1217452,1330058,1455746,1560413,1662182,1792909,1969227,2074902,2137189,2253689,2397615,2516136,2590458,2653737,2770409,2864315,3023277,3188579,3494650,3676201,3802565,3756451,3822185,3114292,3205720,4139614,4310464
"28000","Mississippi state total","5","CA4","38","...","  Employer contributions for government social insurance",144339,153109,175059,212764,272828,310974,329364,391985,446041,519531,592970,625095,728102,755932,812098,918055,960744,1007801,1044569,1156160,1211645,1347481,1428152,1529944,1659673,1810035,1871256,1931849,2029914,2181182,2266421,2335266,2359064,2446981,2516914,2679086,2729833,2906343,2992600,3083190,3040013,3073022,3307596,3426726,3397664,3440065
"28000","Mississippi state total","5","CA4","42","...","Plus: Adjustment for residence 6/",35523,36846,58695,74171,93938,122755,149128,179508,218240,272165,327827,413070,440296,457636,513398,572418,603504,592040,630187,672096,715258,749499,804345,823464,840225,838439,921104,962756,1113441,1189394,1288456,1480091,1643371,1544070,1601084,1803067,1964226,2203839,2372711,2423235,2333075,2362616,2519299,2652701,2741161,2794176
"28000","Mississippi state total","5","CA4","45","...","Equals: Net earnings by place of residence",4326132,4619116,5074443,5815673,6621082,7056488,7410579,8554637,9597719,10648965,11989440,12428986,13586787,14004336,14423201,15944888,16721739,17274730,18525613,19836933,20996694,22127530,23158681,25035248,26787760,29171769,30426961,32169420,34020628,36344988,38066697,39771513,41649713,42158245,44315328,47533135,49674384,51554916,53375043,55201000,53573853,54365468,56297032,59279120,60356245,61509400
"28000","Mississippi state total","5","CA4","46","...","Plus: Dividends, interest, and rent 7/",656548,756304,830057,919851,1057160,1240958,1383005,1479938,1646171,1898880,2167802,2690029,3355029,3747841,3963189,4370575,4723936,4869404,4955528,5296371,6159858,6177748,6205627,6353106,6642943,7176224,7663928,8162647,8766443,9538106,9449011,10176325,10548411,10277007,10029067,9909171,10750170,12322940,14763613,14504264,13525737,13023881,14024739,14728020,14743359,15213865
"28000","Mississippi state total","5","CA4","47","...","Plus: Personal current transfer receipts",551666,688965,814011,918158,1064986,1312357,1631051,1785744,1909639,2099714,2396354,2879276,3263189,3588121,3950584,4085484,4279901,4534638,4720871,5028792,5495082,5962244,6707827,7514877,8011673,8499547,9290847,9958771,10334208,10419152,10731223,11525944,12867204,13809405,14441464,15524461,17436747,17606546,18372542,20799930,22220962,24061487,24917490,24913509,25526016,26367327
"28000","Mississippi state total","5","CA4","50","...","Wages and salaries",3376698,3593032,3883546,4419020,4996930,5524700,5813776,6556857,7334030,8289878,9235029,9986847,10946256,11319647,11730493,12572789,13268332,13849194,14572834,15663046,16613993,17596358,18361826,19544908,21039804,22998396,24205827,25310026,26809886,28758597,30031335,31070047,31462968,32384198,33411799,34957755,36501996,38665767,40481489,42005825,40675447,41171636,41942171,43388978,44213077,45442926
"28000","Mississippi state total","5","CA4","60","...","Supplements to wages and salaries",443349,478098,547591,655716,760623,857803,977884,1107937,1287516,1462621,1644348,1810581,2031937,2171032,2343578,2571353,2754488,2969760,3075403,3325449,3672044,3990670,4289759,4815390,5171418,5512768,5615506,5730369,5939380,6332934,6652952,7014893,7355583,7746629,8181296,9038865,9473957,9619391,9994630,10343094,10239728,10257354,10315735,10817078,10685676,10938968
"28000","Mississippi state total","5","CA4","61","...","  Employer contributions for employee pension and insurance funds 8/",299010,324989,372532,442952,487795,546829,648520,715952,841475,943090,1051378,1185486,1303835,1415100,1531480,1653298,1793744,1961959,2030834,2169289,2460399,2643189,2861607,3285446,3511745,3702733,3744250,3798520,3909466,4151752,4386531,4679627,4996519,5299648,5664382,6359779,6744124,6713048,7002030,7259904,7199715,7184332,7008139,7390352,7288012,7498903
"28000","Mississippi state total","5","CA4","62","...","  Employer contributions for government social insurance",144339,153109,175059,212764,272828,310974,329364,391985,446041,519531,592970,625095,728102,755932,812098,918055,960744,1007801,1044569,1156160,1211645,1347481,1428152,1529944,1659673,1810035,1871256,1931849,2029914,2181182,2266421,2335266,2359064,2446981,2516914,2679086,2729833,2906343,2992600,3083190,3040013,3073022,3307596,3426726,3397664,3440065
"28000","Mississippi state total","5","CA4","70","...","Proprietors' income 9/",761393,821343,935696,1088067,1307830,1166697,1122903,1466839,1608106,1606098,1911130,1428715,1589749,1553331,1429535,2001598,2009187,1895819,2372259,2549954,2537102,2594230,2691316,3043612,3188895,3601428,3630682,4235307,4441524,4642860,4876511,5132206,6200592,5700738,6502378,7435811,7652617,7466912,7195014,7314601,7122067,7469069,7941715,9052809,10253609,10083859
"28000","Mississippi state total","5","CA4","71","...","  Farm proprietors' income",264767,299450,341454,403067,590088,379746,249120,429408,447938,311709,553783,35119,192487,265303,-46393,335107,297341,76572,463064,588345,407398,298049,392637,487577,383354,668025,524293,909398,809380,775986,749591,596947,1371897,433530,1034197,1597301,1583657,616610,919907,732309,775764,708692,465166,1028643,2362699,1746920
"28000","Mississippi state total","5","CA4","72","...","  Nonfarm proprietors' income",496626,521893,594242,685000,717742,786951,873783,1037431,1160168,1294389,1357347,1393596,1397262,1288028,1475928,1666491,1711846,1819247,1909195,1961609,2129704,2296181,2298679,2556035,2805541,2933403,3106389,3325909,3632144,3866874,4126920,4535259,4828695,5267208,5468181,5838510,6068960,6850302,6275107,6582292,6346303,6760377,7476549,8024166,7890910,8336939
