"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"32000","Nevada state total","8","CA4","10","...","Personal income (thousands of dollars)",2256915,2534085,2831306,3161804,3582008,3970562,4478263,5094225,5899270,7128031,8270217,9565424,10882149,11641320,12367311,13493387,14709192,15912885,17403811,19785829,22278166,24994589,27487103,30503405,32961951,36518231,40086322,44341628,48512959,52980391,57511142,63045138,66706027,69304833,74992766,83863518,94083491,100692076,106484725,106789330,99146193,99806470,102612459,108656566,109489671,115671839
"32000","Nevada state total","8","CA4","11","...","  Nonfarm personal income 1/",2225023,2500320,2796922,3119882,3526958,3936576,4445770,5059305,5872711,7105859,8262114,9509283,10855121,11609608,12343497,13460273,14682845,15887606,17358706,19724586,22203157,24916972,27416421,30435751,32849057,36443059,40023445,44278604,48450477,52895527,57434986,62944725,66591865,69218210,74903148,83741016,93952574,100568577,106396359,106652489,99035765,99677785,102421327,108555858,109387507,115455468
"32000","Nevada state total","8","CA4","12","...","  Farm income 2/",31892,33765,34384,41922,55050,33986,32493,34920,26559,22172,8103,56141,27028,31712,23814,33114,26347,25279,45105,61243,75009,77617,70682,67654,112894,75172,62877,63024,62482,84864,76156,100413,114162,86623,89618,122502,130917,123499,88366,136841,110428,128685,191132,100708,102164,216371
"32000","Nevada state total","8","CA4","20","...","Population (persons) 3/",480000,493223,519989,546736,568910,596713,619847,646823,678134,719345,765121,810215,847656,881538,901978,924921,951032,980614,1023374,1075023,1137382,1220695,1296171,1351367,1411215,1499298,1581578,1666320,1764104,1853191,1934718,2018741,2098399,2173791,2248850,2346222,2432143,2522658,2601072,2653630,2684665,2703493,2718586,2755245,2791494,2839099
"32000","Nevada state total","8","CA4","30","...","Per capita personal income (dollars) 4/",4702,5138,5445,5783,6296,6654,7225,7876,8699,9909,10809,11806,12838,13206,13711,14589,15467,16227,17006,18405,19587,20476,21206,22572,23357,24357,25346,26611,27500,28589,29726,31230,31789,31882,33347,35744,38683,39915,40939,40243,36931,36918,37745,39436,39223,40742
"32000","Nevada state total","8","CA4","35","...","Earnings by place of work",1964078,2177769,2411604,2688534,3078071,3349288,3695815,4231546,4956713,6040700,6985305,7961595,8876703,9158350,9693204,10560469,11392490,12323756,13662555,15717710,17511015,19700757,21208064,23390895,25427681,28127081,30802295,34090568,37313501,40618940,44821506,48512126,51492070,53276093,57029351,63478183,70262925,75930420,79772468,78174961,71502353,70933226,71283324,73883067,75239805,80042152
"32000","Nevada state total","8","CA4","36","...","Less: Contributions for government social insurance 5/",131902,144281,164929,194103,256489,287761,312805,368109,439187,555265,680755,778011,930813,953021,1048850,1191131,1312734,1452164,1615226,1873091,2118918,2496576,2660377,2889657,3162652,3534085,3879369,4195506,4476746,4784583,5085302,4985974,5291595,5536888,5603854,6126676,6726420,7750392,8172747,7699414,7420278,7307814,6894961,7247540,8002946,8836238
"32000","Nevada state total","8","CA4","37","...","  Employee and self-employed contributions for government social insurance",53485,58084,65980,76699,102292,116145,125456,143540,169981,211044,262061,304041,371268,389152,414992,462603,527947,586562,657449,774847,893047,1061984,1130785,1210091,1328553,1498916,1666817,1833300,1977106,2137226,2341626,2493137,2666427,2791931,2838074,3116052,3423068,3947451,4175413,3964806,3839058,3826322,3139695,3253017,4099633,4570700
"32000","Nevada state total","8","CA4","38","...","  Employer contributions for government social insurance",78417,86197,98949,117404,154197,171616,187349,224569,269206,344221,418694,473970,559545,563869,633858,728528,784787,865602,957777,1098244,1225871,1434592,1529592,1679566,1834099,2035169,2212552,2362206,2499640,2647357,2743676,2492837,2625168,2744957,2765780,3010624,3303352,3802941,3997334,3734608,3581220,3481492,3755266,3994523,3903313,4265538
"32000","Nevada state total","8","CA4","42","...","Plus: Adjustment for residence 6/",-34075,-38928,-41033,-44133,-53686,-56136,-58037,-67934,-84226,-116603,-131990,-159935,-167066,-168293,-177463,-190060,-200506,-217634,-240035,-281538,-326430,-376971,-345763,-305456,-344232,-354165,-349225,-368567,-328313,-350135,-382377,-338537,-293249,-322181,-354833,-376990,-385222,-410939,-440466,-403165,-283027,-195102,-56223,-33114,12754,-28412
"32000","Nevada state total","8","CA4","45","...","Equals: Net earnings by place of residence",1798101,1994560,2205642,2450298,2767896,3005391,3324973,3795503,4433300,5368832,6172560,7023649,7778824,8037036,8466891,9179278,9879250,10653958,11807294,13563081,15065667,16827210,18201924,20195782,21920797,24238831,26573701,29526495,32508442,35484222,39353827,43187615,45907226,47417024,51070664,56974517,63151283,67769089,71159255,70072382,63799048,63430310,64332140,66602413,67249613,71177502
"32000","Nevada state total","8","CA4","46","...","Plus: Dividends, interest, and rent 7/",333888,391583,441420,493113,560312,649831,715654,808535,930805,1155001,1385201,1676234,2047937,2429273,2615248,2937748,3318336,3573537,3798214,4248039,4932560,5558725,6064580,6662956,7191778,8242762,9133564,10100747,10979371,12144647,12574713,13856593,14010429,14241124,15704346,18014099,21337142,22554887,23996679,23326199,20062043,19538613,21212655,24834800,24667475,25604214
