"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"36000","New York state total","2","CA4","10","...","Personal income (thousands of dollars)",83912716,90165190,96393345,103115394,109639324,118077927,127411999,134872187,145585536,158660143,173524889,193182470,215239003,233470201,251847877,279011598,298868264,318949769,340487199,373992930,404342796,432392237,432623921,457406830,469767241,484813019,511629875,538196850,568314287,596673315,628080255,671289617,692858110,694348119,713332289,754247811,791723266,849615687,914147194,942015001,920075787,956131947,1007279882,1050369055,1055803388,1098102853
"36000","New York state total","2","CA4","11","...","  Nonfarm personal income 1/",83478843,89751491,95990372,102769662,109178385,117645305,127042418,134483616,145267469,158240759,173000272,192666306,214710654,232965173,251494167,278536398,298326428,318313202,339775890,373369693,403592859,431650642,432012999,456694934,469014275,484183800,511135605,537472435,567900857,596027226,627347528,670555403,691981671,693690832,712516725,753214115,790695867,848753827,912943744,940785417,919346664,954865193,1005600297,1048840450,1053712445,1095930213
"36000","New York state total","2","CA4","12","...","  Farm income 2/",433873,413699,402973,345732,460939,432622,369581,388571,318067,419384,524617,516164,528349,505028,353710,475200,541836,636567,711309,623237,749937,741595,610922,711896,752966,629219,494270,724415,413430,646089,732727,734214,876439,657287,815564,1033696,1027399,861860,1203450,1229584,729123,1266754,1679585,1528605,2090943,2172640
"36000","New York state total","2","CA4","20","...","Population (persons) 3/",18105000,18271605,18364865,18351767,18194767,18072768,18032254,17974654,17851507,17720421,17633646,17566754,17567731,17589737,17686907,17745676,17791678,17833421,17868844,17941309,17983084,18020784,18122510,18246653,18374954,18459470,18524104,18588460,18656546,18755906,18882725,19001780,19082838,19137800,19175939,19171567,19132610,19104631,19132335,19212436,19307066,19400867,19521745,19607140,19695680,19746227
"36000","New York state total","2","CA4","30","...","Per capita personal income (dollars) 4/",4635,4935,5249,5619,6026,6533,7066,7503,8155,8954,9841,10997,12252,13273,14239,15723,16798,17885,19055,20845,22485,23994,23872,25068,25566,26264,27620,28953,30462,31813,33262,35328,36308,36282,37199,39342,41381,44472,47780,49032,47655,49283,51598,53571,53606,55611
"36000","New York state total","2","CA4","35","...","Earnings by place of work",71120860,75553557,79928951,85698041,91430471,96706642,101395103,107624120,116532353,128344129,141164180,154549555,169307907,181440271,195697126,215793137,233536967,252521631,273942979,301800766,318907020,339123182,333794848,356789934,365181303,374250478,391626914,413944939,442407936,467576426,499443980,537939824,558524010,555391072,566859464,600626705,625181186,670028676,717183536,733330671,707885937,742657155,769168614,790992967,810848037,855482440
"36000","New York state total","2","CA4","36","...","Less: Contributions for government social insurance 5/",5290691,5533970,6030064,6795828,8413052,9188152,9452237,10248139,11010412,12375248,14082455,15429586,18083435,19681230,21224061,23937252,26271630,28844078,30679633,34031446,35480523,35787073,36733317,38352967,39223255,40888769,42380833,43657712,45605577,47876500,50239133,54133469,56439047,57392226,59174086,62095100,64922215,68610317,72636443,75341336,73058122,75674797,69994482,71806261,84509840,89240393
"36000","New York state total","2","CA4","37","...","  Employee and self-employed contributions for government social insurance",2460469,2586245,2810802,3091444,3821585,4213201,4373023,4607078,4922950,5469590,6277143,6934435,8230698,9002601,9665273,10636945,12076708,13382996,14365843,16043651,17000378,17121982,17681305,18351246,18806783,19646981,20641147,21352978,22530802,23734177,25197011,27022221,28105927,28453190,29250071,30721990,32394786,34478401,36840259,38231108,37322126,38160031,31064744,31645530,42758951,45108247
"36000","New York state total","2","CA4","38","...","  Employer contributions for government social insurance",2830222,2947725,3219262,3704384,4591467,4974951,5079214,5641061,6087462,6905658,7805312,8495151,9852737,10678629,11558788,13300307,14194922,15461082,16313790,17987795,18480145,18665091,19052012,20001721,20416472,21241788,21739686,22304734,23074775,24142323,25042122,27111248,28333120,28939036,29924015,31373110,32527429,34131916,35796184,37110228,35735996,37514766,38929738,40160731,41750889,44132146
"36000","New York state total","2","CA4","42","...","Plus: Adjustment for residence 6/",-3430695,-3391117,-3531510,-3812601,-3949343,-4155590,-4446153,-4701467,-5241430,-5928816,-6773027,-7862696,-8553986,-9328375,-9894730,-10598398,-11368973,-11989103,-12792323,-13722244,-13793607,-13496563,-13463799,-16612845,-16387076,-16386489,-18626813,-21486758,-24057412,-27353587,-28572524,-32373205,-33336268,-27840047,-27280544,-33762646,-40310083,-48689042,-58178852,-55556917,-45862190,-52468628,-56227969,-58477187,-58137382,-67005298
"36000","New York state total","2","CA4","45","...","Equals: Net earnings by place of residence",62399474,66628470,70367377,75089612,79068076,83362900,87496713,92674514,100280511,110040065,120308698,131257273,142670486,152430666,164578335,181257487,195896364,211688450,230471023,254047076,269632890,289839546,283597732,301824122,309570972,316975220,330619268,348800469,372744947,392346339,420632323,451433150,468748695,470158799,480404834,504768959,519948888,552729317,586368241,602432418,588965625,614513730,642946163,660709519,668200815,699236749
"36000","New York state total","2","CA4","46","...","Plus: Dividends, interest, and rent 7/",13778231,14627857,15281524,16032294,17282560,19297051,20409349,21397554,23546294,25833727,28879447,33934562,40980409,46484254,49892170,58195013,61217057,63015481,64629057,71650923,81686954,84387287,84282615,83218945,83342656,87236600,95235997,99961732,106231022,110999244,111281185,119210212,116731331,107520089,111422274,118578510,141541633,159291453,184042704,182443423,158998004,159180706,178590540,204826518,200744267,208669004
"36000","New York state total","2","CA4","47","...","Plus: Personal current transfer receipts",7735011,8908863,10744444,11993488,13288688,15417976,19505937,20800119,21758731,22786351,24336744,27990635,31588108,34555281,37377372,39559098,41754843,44245838,45387119,48294931,53022952,58165404,64743574,72363763,76853613,80601199,85774610,89434649,89338318,93327732,96166747,100646255,107378084,116669231,121505181,130900342,130232745,137594917,143736249,157139160,172112158,182437511,185743179,184833018,186858306,190197100
"36000","New York state total","2","CA4","50","...","Wages and salaries",57049665,60837002,63884832,68146125,73153079,77503113,80189797,84192941,89451550,97452827,106571952,116887823,128807482,138737297,148496085,163514222,176882778,190876728,206059376,223377456,233322840,245392960,245018173,258204754,263084589,269096144,280989016,296882365,315016781,339066583,360177591,394830380,404771436,395049132,401331388,426400159,446776361,481693076,523001969,534261389,496999509,518423361,538194838,553894438,564782874,600732978
"36000","New York state total","2","CA4","60","...","Supplements to wages and salaries",7348589,8140574,9116160,10403303,11257619,12180772,13841024,14650286,16335418,18245616,20601365,22838514,25637912,28201411,30840349,33977560,37069522,40402588,42579004,46184823,50281745,52823576,55279472,61061942,62829451,64650113,65666602,66600037,68667264,73584928,77425576,83913124,89042025,92535182,98757348,105445950,111259109,116026998,122682808,127919260,129071104,135240716,138030444,142204356,146874079,150947732
"36000","New York state total","2","CA4","61","...","  Employer contributions for employee pension and insurance funds 8/",4518367,5192849,5896898,6698919,6666152,7205821,8761810,9009225,10247956,11339958,12796053,14343363,15785175,17522782,19281561,20677253,22874600,24941506,26265214,28197028,31801600,34158485,36227460,41060221,42412979,43408325,43926916,44295303,45592489,49442605,52383454,56801876,60708905,63596146,68833333,74072840,78731680,81895082,86886624,90809032,93335108,97725950,99100706,102043625,105123190,106815586
"36000","New York state total","2","CA4","62","...","  Employer contributions for government social insurance",2830222,2947725,3219262,3704384,4591467,4974951,5079214,5641061,6087462,6905658,7805312,8495151,9852737,10678629,11558788,13300307,14194922,15461082,16313790,17987795,18480145,18665091,19052012,20001721,20416472,21241788,21739686,22304734,23074775,24142323,25042122,27111248,28333120,28939036,29924015,31373110,32527429,34131916,35796184,37110228,35735996,37514766,38929738,40160731,41750889,44132146
"36000","New York state total","2","CA4","70","...","Proprietors' income 9/",6722606,6575981,6927959,7148613,7019773,7022757,7364282,8780893,10745385,12645686,13990863,14823218,14862513,14501563,16360692,18301355,19584667,21242315,25304599,32238487,35302435,40906646,33497203,37523238,39267263,40504221,44971296,50462537,58723891,54924915,61840813,59196320,64710549,67806758,66770728,68780596,67145716,72308602,71498759,71150022,81815324,88993078,92943332,94894173,99191084,103801730
"36000","New York state total","2","CA4","71","...","  Farm proprietors' income",320712,298662,282009,226551,314741,262008,174131,195348,100508,207742,290219,269177,286934,229198,91424,219738,285428,399033,476761,358496,464579,405076,280164,389904,400216,285005,108237,327766,-1288,226396,343903,282764,409605,77477,280445,502560,589096,373296,606023,651741,197099,746745,1223537,856783,1402782,1395149
"36000","New York state total","2","CA4","72","...","  Nonfarm proprietors' income",6401894,6277319,6645950,6922062,6705032,6760749,7190151,8585545,10644877,12437944,13700644,14554041,14575579,14272365,16269268,18081617,19299239,20843282,24827838,31879991,34837856,40501570,33217039,37133334,38867047,40219216,44863059,50134771,58725179,54698519,61496910,58913556,64300944,67729281,66490283,68278036,66556620,71935306,70892736,70498281,81618225,88246333,91719795,94037390,97788302,102406581
"36000","New York state total","2","CA4","7010","...","Total employment",8494052,8465868,8345341,8348261,8465363,8392017,8172219,8125400,8198948,8384019,8580543,8602022,8665868,8672716,8729621,9002728,9227207,9424256,9471509,9684192,9752014,9727348,9482658,9410147,9431043,9464935,9511472,9595379,9731824,9891082,10145385,10392855,10398292,10309393,10338816,10484594,10620754,10770702,11041847,11162809,10956711,10955700,11244287,11374471,11555262,11764104
"36000","New York state total","2","CA4","7020","...","  Wage and salary employment",7592312,7553616,7418832,7433590,7554953,7500888,7274368,7209067,7251766,7424427,7600633,7594121,7669153,7640552,7679331,7943667,8105206,8243279,8399373,8502329,8568865,8494852,8244407,8089289,8101252,8142377,8161040,8186384,8301559,8471480,8669419,8840737,8791103,8665136,8621353,8678898,8733698,8820630,8951859,9017661,8751639,8718528,8821283,8939979,9055536,9232209
"36000","New York state total","2","CA4","7040","...","  Proprietors employment",901740,912252,926509,914671,910410,891129,897851,916333,947182,959592,979910,1007901,996715,1032164,1050290,1059061,1122001,1180977,1072136,1181863,1183149,1232496,1238251,1320858,1329791,1322558,1350432,1408995,1430265,1419602,1475966,1552118,1607189,1644257,1717463,1805696,1887056,1950072,2089988,2145148,2205072,2237172,2423004,2434492,2499726,2531895
"36001","Albany, NY","2","CA4","10","...","Personal income (thousands of dollars)",1230042,1391747,1538837,1665388,1786297,1922416,2070266,2183155,2345801,2542259,2770394,3063135,3358223,3649077,3961628,4393734,4732757,5090337,5376747,5860705,6504842,6882670,7040101,7418650,7599018,7795946,8042955,8259852,8679013,9055184,9644484,10267174,10767864,10598297,11043107,11461716,11833258,12425137,12881028,13520574,13873660,14265981,14846533,15548310,15780711,16308817
"36001","Albany, NY","2","CA4","11","...","  Nonfarm personal income 1/",1226884,1388504,1535514,1662137,1781882,1918555,2066315,2178617,2341566,2537520,2765199,3057968,3354011,3644037,3958807,4390761,4729731,5086056,5373299,5857424,6501105,6880022,7037667,7415812,7595080,7793034,8040707,8257666,8678032,9054846,9645108,10268517,10771775,10602530,11043088,11460285,11830555,12420845,12876674,13515031,13868402,14257545,14837633,15538263,15766212,16297448
"36001","Albany, NY","2","CA4","12","...","  Farm income 2/",3158,3243,3323,3251,4415,3861,3951,4538,4235,4739,5195,5167,4212,5040,2821,2973,3026,4281,3448,3281,3737,2648,2434,2838,3938,2912,2248,2186,981,338,-624,-1343,-3911,-4233,19,1431,2703,4292,4354,5543,5258,8436,8900,10047,14499,11369
"36001","Albany, NY","2","CA4","20","...","Population (persons) 3/",286201,287151,288612,290300,289750,289146,287863,286517,286155,286922,286969,286173,286690,287159,287780,288450,289760,291010,290843,291094,292202,292956,295530,296913,298592,300262,299725,297680,296187,295097,294692,295106,296232,298283,301085,302173,302791,303997,303858,303739,304733,304005,304840,306186,307418,308171
"36001","Albany, NY","2","CA4","30","...","Per capita personal income (dollars) 4/",4298,4847,5332,5737,6165,6649,7192,7620,8198,8860,9654,10704,11714,12708,13766,15232,16333,17492,18487,20133,22261,23494,23822,24986,25450,25964,26834,27747,29302,30685,32727,34791,36349,35531,36678,37931,39081,40873,42392,44514,45527,46927,48703,50781,51333,52921
