"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"39000","Ohio state total","3","CA4","10","...","Personal income (thousands of dollars)",41814714,44121386,46947495,50934483,56459449,61841296,66118848,72483674,80273127,88755514,98036565,107027918,116356076,121686637,129000255,142456412,151328013,158445882,166010875,178043191,191552868,202826963,207192639,220961744,230239933,242927557,254378135,266568428,282349312,298716732,308887564,325351402,334990112,340052816,349663439,363405374,374698302,395120357,409790385,421955271,409618652,419791344,448017767,465838605,471546929,489694974
"39000","Ohio state total","3","CA4","11","...","  Nonfarm personal income 1/",41400601,43690103,46536380,50432709,55797977,61049873,65312168,71705662,79608481,88137983,97285666,106463326,116199322,121425564,129084170,141599153,150475006,157777352,165295757,177280388,190406290,201652700,206523135,219813787,229344419,241802985,253526735,265353726,280699044,297477352,308073659,324170715,333888284,339494771,348903037,362036711,373656800,394236642,408727408,420666289,408044871,418231547,445102752,463942015,468479108,487439343
"39000","Ohio state total","3","CA4","12","...","  Farm income 2/",414113,431283,411115,501774,661472,791423,806680,778012,664646,617531,750899,564592,156754,261073,-83915,857259,853007,668530,715118,762803,1146578,1174263,669504,1147957,895514,1124572,851400,1214702,1650268,1239380,813905,1180687,1101828,558045,760402,1368663,1041502,883715,1062977,1288982,1573781,1559797,2915015,1896590,3067821,2255631
"39000","Ohio state total","3","CA4","20","...","Population (persons) 3/",10563000,10668839,10734782,10746920,10767205,10765613,10770498,10752731,10771232,10795431,10798562,10800650,10788336,10757085,10737631,10737743,10734926,10730272,10760081,10798554,10829216,10864162,10945762,11029431,11101140,11152454,11202751,11242827,11277357,11311536,11335454,11363543,11387404,11407889,11434788,11452251,11463320,11481213,11500468,11515391,11528896,11540070,11544757,11550901,11572005,11594163
"39000","Ohio state total","3","CA4","30","...","Per capita personal income (dollars) 4/",3959,4136,4373,4739,5244,5744,6139,6741,7453,8222,9079,9909,10785,11312,12014,13267,14097,14766,15428,16488,17689,18669,18929,20034,20740,21782,22707,23710,25037,26408,27250,28631,29418,29809,30579,31732,32687,34415,35632,36643,35530,36377,38807,40329,40749,42236
"39000","Ohio state total","3","CA4","35","...","Earnings by place of work",35921385,37259215,39150727,42662308,47634431,51356993,53145210,58961646,65872101,73301326,80623158,84096494,89461167,90386072,95301614,106756116,113980785,119714258,126713859,137003111,145826684,153432546,156923154,168074501,175522863,186555907,194205283,202704817,214618549,228010651,238837081,250754351,257318991,262057507,270244804,282666699,289639222,302193659,308079022,311667879,298634722,305786993,322556991,336142943,345177890,358460105
"39000","Ohio state total","3","CA4","36","...","Less: Contributions for government social insurance 5/",2359714,2407979,2603286,2985256,3863634,4310272,4336259,4941558,5553864,6396502,7321615,7611739,8708161,8899666,9612539,10932297,11869827,12856289,13614404,15148979,16208707,17415438,18308223,19470050,20591618,22172137,23352826,24061699,24789681,25558505,26717486,27074853,27709526,27766753,28881259,30574160,31408003,32809150,33613532,34548165,33488527,33711357,31756390,32865550,37065554,38998777
"39000","Ohio state total","3","CA4","37","...","  Employee and self-employed contributions for government social insurance",1109621,1138893,1230240,1373478,1768360,1980160,2011740,2222238,2466534,2802530,3248898,3436379,3986523,4098736,4313318,4809874,5367923,5831106,6204044,6907239,7476042,7988086,8394856,8852305,9369228,10169223,10752102,11143096,11787653,12453690,13088684,13554116,13780692,14108131,14379171,14936115,15552914,16355467,16910272,17303339,16622313,16878031,14103175,14627777,19214049,20334663
"39000","Ohio state total","3","CA4","38","...","  Employer contributions for government social insurance",1250093,1269086,1373046,1611778,2095274,2330112,2324519,2719320,3087330,3593972,4072717,4175360,4721638,4800930,5299221,6122423,6501904,7025183,7410360,8241740,8732665,9427352,9913367,10617745,11222390,12002914,12600724,12918603,13002028,13104815,13628802,13520737,13928834,13658622,14502088,15638045,15855089,16453683,16703260,17244826,16866214,16833326,17653215,18237773,17851505,18664114
"39000","Ohio state total","3","CA4","42","...","Plus: Adjustment for residence 6/",-195030,-184176,-134979,-134139,-159581,-134708,-94226,-108975,-114901,-137027,-160292,-181925,-486337,-611479,-713604,-844656,-920790,-954073,-996839,-1043823,-1107025,-1094505,-1115585,-1231908,-1329947,-1453436,-1494446,-1550057,-1647827,-1824732,-1794634,-1755418,-1684200,-2494831,-2549104,-2323906,-2417484,-2197478,-1977076,-2192925,-1872227,-1793553,-1857766,-1764337,-2020565,-2308335
