"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"04000","Arizona state total","6","CA1","1","...","Personal income (thousands of dollars)",6309880,7180112,8206023,9404333,10860099,12242125,13161612,14661840,16480188,19438384,22885921,26363186,30118690,31884829,35029874,39699293,44054015,48294793,52226134,56265019,60486975,63383028,66575466,70987974,76430689,83859970,91282721,98948614,107437212,117998818,125530120,137031199,143546204,148881920,156749621,170829432,189357627,210103296,221596785,226573627,216064765,219195775,230920326,241192186,243656863,255092928
"04000","Arizona state total","6","CA1","2","...","Population (persons) 1/",1737000,1794912,1896108,2008847,2125281,2224342,2286348,2347976,2427310,2517852,2638582,2737774,2810108,2889860,2968924,3067134,3183539,3308261,3437103,3535183,3622184,3684097,3788576,3915740,4065440,4245089,4432499,4586940,4736990,4883342,5023823,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6411999,6472867,6556236,6634997,6731484
"04000","Arizona state total","6","CA1","3","...","Per capita personal income (dollars) 2/",3633,4000,4328,4681,5110,5504,5757,6244,6789,7720,8674,9629,10718,11033,11799,12943,13838,14598,15195,15916,16699,17204,17573,18129,18800,19755,20594,21572,22680,24164,24987,26553,27220,27590,28446,30222,32429,34848,35929,36077,34063,34185,35675,36788,36723,37895
"04001","Apache, AZ","6","CA1","1","...","Personal income (thousands of dollars)",80461,88864,100878,116487,131086,143601,160951,182294,197769,256716,266734,275455,286115,304860,331285,375586,382599,415057,439284,460224,520912,550581,600939,666802,715831,744510,754687,815398,837688,900791,984417,998305,1116614,1159472,1237365,1323766,1436962,1507152,1595923,1746561,1863554,1912533,1949377,1945913,1959884,2048637
"04001","Apache, AZ","6","CA1","2","...","Population (persons) 1/",34200,32883,35537,37048,39525,40271,42907,44294,48487,50682,52122,51936,51204,52152,53082,52996,53465,55749,58197,59542,60827,61939,62634,63026,64489,66085,68274,69508,70478,69851,69801,69507,67863,67319,68072,68161,68521,69390,69602,69883,71008,71749,72354,72911,71867,71828
"04001","Apache, AZ","6","CA1","3","...","Per capita personal income (dollars) 2/",2353,2702,2839,3144,3317,3566,3751,4116,4079,5065,5117,5304,5588,5846,6241,7087,7156,7445,7548,7729,8564,8889,9594,10580,11100,11266,11054,11731,11886,12896,14103,14363,16454,17224,18177,19421,20971,21720,22929,24993,26244,26656,26942,26689,27271,28521
"04003","Cochise, AZ","6","CA1","1","...","Personal income (thousands of dollars)",234813,257515,309697,349636,392076,420365,441430,483089,524288,596041,641996,726959,807944,853108,929834,1026511,1075355,1143598,1220944,1285659,1351110,1430797,1515676,1641710,1707638,1803984,1872952,1971892,2056321,2205809,2295646,2468437,2666118,2800817,3017278,3307529,3641132,3851706,4138495,4281853,4471211,4570411,4736361,4678914,4593193,4679941
"04003","Cochise, AZ","6","CA1","2","...","Population (persons) 1/",60500,62770,67149,70938,74558,76165,76922,78946,80688,83160,86268,86172,88036,88373,88872,90937,91192,94093,96690,96316,97551,97918,99058,101453,104403,109323,112480,112880,114907,116091,116530,118132,118798,119847,120638,123234,125786,127241,128206,129023,130081,131868,133058,131919,129744,127448
"04003","Cochise, AZ","6","CA1","3","...","Per capita personal income (dollars) 2/",3881,4103,4612,4929,5259,5519,5739,6119,6498,7167,7442,8436,9177,9653,10463,11288,11792,12154,12627,13348,13850,14612,15301,16182,16356,16501,16651,17469,17896,19001,19700,20896,22442,23370,25011,26839,28947,30271,32280,33187,34373,34659,35596,35468,35402,36720
"04005","Coconino, AZ","6","CA1","1","...","Personal income (thousands of dollars)",145980,160786,190255,230656,272445,293990,332192,357832,393449,466270,516661,595453,659683,701570,768838,858999,938931,1037025,1108883,1188590,1266057,1371049,1463580,1605770,1701264,1851243,1975886,2122460,2279480,2459508,2607034,2819250,2948827,3099317,3245548,3501321,3806400,4209190,4497402,4741258,4595269,4603037,4819660,4978754,5127921,5399899
"04005","Coconino, AZ","6","CA1","2","...","Population (persons) 1/",48200,49180,53330,58203,61654,64831,69825,66403,68939,70815,73357,75579,77794,79156,81118,83640,84431,87575,90380,93355,95194,97106,99647,102498,105570,108680,110954,112686,114444,114874,115307,116773,118283,121308,122882,125117,127025,128695,130442,131853,133477,134603,134159,135949,136690,137682
"04005","Coconino, AZ","6","CA1","3","...","Per capita personal income (dollars) 2/",3029,3269,3568,3963,4419,4535,4757,5389,5707,6584,7043,7879,8480,8863,9478,10270,11121,11842,12269,12732,13300,14119,14688,15666,16115,17034,17808,18835,19918,21410,22610,24143,24930,25549,26412,27984,29966,32707,34478,35959,34427,34197,35925,36622,37515,39220
"04007","Gila, AZ","6","CA1","1","...","Personal income (thousands of dollars)",73026,86670,92307,111591,137411,142131,157162,167346,188394,215372,247540,276831,333830,334039,342054,367378,387973,408979,433989,479446,513631,552497,585788,631508,682752,741403,758601,832362,879083,940517,977125,1017015,1050540,1087106,1144550,1210677,1296129,1424690,1524966,1630393,1625506,1638228,1710463,1732181,1777124,1830663
"04007","Gila, AZ","6","CA1","2","...","Population (persons) 1/",28900,29559,30973,31217,32282,32993,32536,33884,34300,35643,36471,37275,38018,38924,38655,37592,37319,38175,38627,39104,39592,40423,41327,42614,44020,45407,47074,48437,49639,50496,50990,51332,51274,51478,51337,51423,51655,52541,53252,53437,53561,53534,53469,53027,53063,53119
"04007","Gila, AZ","6","CA1","3","...","Per capita personal income (dollars) 2/",2527,2932,2980,3575,4257,4308,4830,4939,5493,6042,6787,7427,8781,8582,8849,9773,10396,10713,11235,12261,12973,13668,14174,14819,15510,16328,16115,17184,17710,18626,19163,19812,20489,21118,22295,23543,25092,27116,28637,30511,30349,30602,31990,32666,33491,34463
"04009","Graham, AZ","6","CA1","1","...","Personal income (thousands of dollars)",39793,48123,51391,59345,77555,83726,77528,93421,98543,114147,129263,146476,165636,161678,171427,192292,189537,201375,218880,240087,260431,279980,301313,329674,349200,375554,390009,428435,459415,473136,482183,503958,509807,534171,567909,610049,669702,738982,822170,934857,893411,904485,940207,968976,1041921,1100764
"04009","Graham, AZ","6","CA1","2","...","Population (persons) 1/",16200,16722,17452,17577,18682,19959,19721,20897,21045,20675,21251,22920,23133,23830,23943,24536,24574,24415,25204,25612,26213,26611,27339,27972,28966,29657,30587,31503,32203,32795,33279,33511,33356,33224,32985,32703,32964,33701,35175,36639,37525,37139,37081,36945,37435,37957
"04009","Graham, AZ","6","CA1","3","...","Per capita personal income (dollars) 2/",2456,2878,2945,3376,4151,4195,3931,4471,4682,5521,6083,6391,7160,6785,7160,7837,7713,8248,8684,9374,9935,10521,11021,11786,12056,12663,12751,13600,14266,14427,14489,15039,15284,16078,17217,18654,20316,21928,23374,25515,23808,24354,25355,26228,27833,29000
"04011","Greenlee, AZ","6","CA1","1","...","Personal income (thousands of dollars)",34727,41693,41639,48267,59952,62796,65767,68958,68603,78754,91567,95647,112950,84361,95182,97951,86026,86671,88498,93861,100722,109940,119687,130685,134772,142688,160987,172646,180631,183785,178667,203488,168520,151260,153619,166233,176457,196646,216073,267680,250510,254421,276638,298190,324227,349826
"04011","Greenlee, AZ","6","CA1","2","...","Population (persons) 1/",10200,10477,11171,11236,11610,12353,12159,11919,11859,12065,12220,11422,11478,11747,10694,10204,9052,8407,8273,8105,7839,8029,8265,8571,8747,8803,8920,9034,9081,8919,8535,8547,8349,7831,7567,7549,7595,7838,8205,8561,8635,8343,8593,8775,8944,9346
"04011","Greenlee, AZ","6","CA1","3","...","Per capita personal income (dollars) 2/",3405,3979,3727,4296,5164,5083,5409,5786,5785,6527,7493,8374,9841,7181,8901,9599,9504,10309,10697,11581,12849,13693,14481,15247,15408,16209,18048,19111,19891,20606,20933,23808,20184,19316,20301,22021,23233,25089,26334,31267,29011,30495,32193,33982,36251,37431
"04012","La Paz, AZ","6","CA1","1","...","Personal income (thousands of dollars)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",88836,101835,118583,124388,150811,167507,174649,185478,190732,193076,218940,221223,240696,254744,270084,278797,312923,312578,347199,346850,370513,408243,439840,459551,508324,514230,505368,508527,563267,575064,574461,591122
"04012","La Paz, AZ","6","CA1","2","...","Population (persons) 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",13034,13831,13650,13405,13513,13362,13807,13964,14314,14668,15180,15894,16562,17547,18277,18859,19355,19611,19580,19464,19722,19979,20379,20573,20647,20555,20514,20446,20443,20289,20331,20231
"04012","La Paz, AZ","6","CA1","3","...","Per capita personal income (dollars) 2/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",6816,7363,8687,9279,11160,12536,12649,13283,13325,13163,14423,13919,14533,14518,14777,14783,16168,15939,17732,17820,18787,20434,21583,22338,24620,25017,24635,24872,27553,28344,28255,29219
"04013","Maricopa, AZ","6","CA1","1","...","Personal income (thousands of dollars)",3675879,4190569,4748981,5459248,6321262,7125938,7645044,8567058,9773484,11679328,13898764,16129522,18449143,19687805,21872744,25034676,28144489,30967498,33579123,36197131,38914155,40751850,42469995,45256347,48538256,53709998,59167128,64790041,71068800,78528801,83847698,92427391,96619819,99964923,104913294,114029946,126493369,141175477,147748365,148601191,140611698,142690740,151026789,159384756,160537029,168483421
"04013","Maricopa, AZ","6","CA1","2","...","Population (persons) 1/",946000,980133,1026421,1087211,1156753,1217419,1253869,1280015,1329837,1388892,1456853,1520840,1566036,1611847,1663973,1736952,1828748,1905504,1991400,2048441,2101787,2132249,2198219,2272582,2359883,2475159,2598183,2703078,2805009,2909040,3004985,3092197,3175989,3255388,3328468,3417860,3538988,3642884,3711954,3771061,3803779,3823609,3870076,3942868,4013164,4087191
"04013","Maricopa, AZ","6","CA1","3","...","Per capita personal income (dollars) 2/",3886,4276,4627,5021,5465,5853,6097,6693,7349,8409,9540,10606,11781,12214,13145,14413,15390,16252,16862,17671,18515,19112,19320,19914,20568,21700,22773,23969,25336,26995,27903,29891,30422,30708,31520,33363,35743,38754,39803,39406,36966,37318,39024,40424,40003,41222
"04015","Mohave, AZ","6","CA1","1","...","Personal income (thousands of dollars)",91852,102056,118068,135205,162506,180926,209221,228511,266750,327165,396233,459465,513947,543441,607164,710206,805919,902925,997913,1113113,1253224,1437986,1535005,1639791,1786202,1982444,2028116,2182134,2372782,2594884,2784826,3030207,3228149,3430058,3669332,3989468,4446321,4877000,5146815,5273167,5093873,5143789,5219541,5347552,5396628,5633946
"04015","Mohave, AZ","6","CA1","2","...","Population (persons) 1/",24600,26338,28736,31084,34030,36572,39388,42458,43312,46017,51783,56423,58607,62539,64005,67364,70769,75366,77314,82381,87040,95491,102263,108644,115706,122906,130274,136436,140922,145155,150351,156215,160312,166155,172633,180521,188773,196168,199760,200078,199696,200380,202642,203174,202855,203361
