"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"19000","Iowa state total","4","CA1","1","...","Personal income (thousands of dollars)",10412467,11123890,11667961,13068180,15673043,16254203,18218475,19334083,21324601,24592047,26337510,27990985,31667179,32599503,33319878,37002288,38315345,39614354,41467308,42750976,46532603,49067459,50202706,53914617,54137967,59005529,61476185,67006658,70118131,73513655,75472415,80727169,83172448,85383612,87371221,94954796,97439530,103126031,110414500,118676067,115623160,118006132,128904966,133675217,135242204,139624515
"19000","Iowa state total","4","CA1","2","...","Population (persons) 1/",2805000,2828534,2851828,2860506,2864031,2867941,2881425,2903770,2914308,2919008,2916803,2914018,2907985,2888190,2870547,2858615,2829684,2791969,2767006,2768393,2770590,2781018,2797613,2818401,2836972,2850746,2867373,2880000,2891119,2902872,2917634,2929067,2931997,2934234,2941999,2953635,2964454,2982644,2999212,3016734,3032870,3050295,3064904,3075935,3092341,3107126
"19000","Iowa state total","4","CA1","3","...","Per capita personal income (dollars) 2/",3712,3933,4091,4568,5472,5668,6323,6658,7317,8425,9030,9606,10890,11287,11608,12944,13541,14189,14986,15443,16795,17644,17945,19130,19083,20698,21440,23266,24253,25324,25868,27561,28367,29099,29698,32148,32869,34575,36815,39339,38123,38687,42058,43458,43735,44937
"19001","Adair, IA","4","CA1","1","...","Personal income (thousands of dollars)",30902,33334,34023,40478,54641,48170,53958,61659,59020,76375,75146,71582,88600,89401,84735,99732,106519,117154,116381,115427,132154,136831,133274,147444,135493,157539,146851,175885,177956,186110,191971,213760,215191,223515,225012,257674,237495,244075,257768,290737,271296,269026,309479,310826,335068,344945
"19001","Adair, IA","4","CA1","2","...","Population (persons) 1/",9236,9437,9276,9460,9563,9311,9298,9332,9369,9432,9545,9490,9396,9258,9210,9147,8935,8700,8550,8509,8431,8397,8430,8441,8483,8380,8366,8363,8310,8305,8298,8223,8132,8059,8050,8019,7932,7924,7871,7747,7676,7693,7588,7515,7463,7454
"19001","Adair, IA","4","CA1","3","...","Per capita personal income (dollars) 2/",3346,3532,3668,4279,5714,5173,5803,6607,6299,8097,7873,7543,9430,9657,9200,10903,11922,13466,13612,13565,15675,16295,15809,17468,15972,18799,17553,21031,21415,22409,23135,25995,26462,27735,27952,32133,29941,30802,32749,37529,35343,34970,40785,41361,44897,46276
"19003","Adams, IA","4","CA1","1","...","Personal income (thousands of dollars)",19921,21539,22229,24981,35330,28864,34058,39826,35902,44647,44717,43359,53138,55445,53023,55902,61353,67717,69909,63583,72272,73761,73943,79114,72084,85056,77972,98835,98547,102190,105336,121178,117011,122011,116188,139777,126075,121220,134512,170162,164592,168011,216786,227704,233082,235713
"19003","Adams, IA","4","CA1","2","...","Population (persons) 1/",6122,6309,6280,6280,6078,5975,5919,5821,5912,5938,5847,5713,5631,5556,5494,5423,5307,5199,5217,5095,4987,4845,4748,4687,4634,4616,4578,4534,4503,4493,4498,4476,4402,4370,4365,4307,4226,4224,4195,4151,4047,4023,3993,3904,3892,3875
"19003","Adams, IA","4","CA1","3","...","Per capita personal income (dollars) 2/",3254,3414,3540,3978,5813,4831,5754,6842,6073,7519,7648,7590,9437,9979,9651,10308,11561,13025,13400,12479,14492,15224,15574,16879,15555,18426,17032,21799,21885,22744,23418,27073,26581,27920,26618,32453,29833,28698,32065,40993,40670,41763,54292,58326,59887,60829
"19005","Allamakee, IA","4","CA1","1","...","Personal income (thousands of dollars)",46031,49342,51117,56685,71342,71084,82980,99372,101281,112073,111308,108996,129190,133220,130440,163935,164406,174539,184546,180364,201598,211891,208299,228525,225560,244776,253939,282630,291533,309720,313187,334362,350771,359553,366509,398402,414908,437937,467323,474770,454371,495251,551214,550552,569118,583536
