"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"18000","Indiana state total","3","CA1","1","...","Personal income (thousands of dollars)",19196644,19957960,21704434,23747835,27244965,29138385,31453320,34953336,38692559,43178542,47589948,51176800,56129291,58057065,60856657,67573875,71325420,75220555,79856399,85438311,93122680,98288101,101120415,109582337,115567139,122830283,128383921,135673335,142738061,154099123,160523430,171312810,175574922,177602541,182387960,191311542,196345532,208244807,216065863,225168064,216953123,223204478,236923198,248345693,251598605,261092396
"18000","Indiana state total","3","CA1","2","...","Population (persons) 1/",5143000,5203700,5249921,5296129,5329122,5349886,5351080,5371552,5405075,5446403,5474909,5490721,5480440,5467918,5450396,5458322,5459214,5454103,5473023,5491733,5523679,5557798,5616388,5674547,5739019,5793526,5851459,5906013,5955267,5998880,6044969,6091866,6127760,6155967,6196638,6233007,6278616,6332669,6379599,6424806,6459325,6490308,6516560,6537632,6570713,6596855
"18000","Indiana state total","3","CA1","3","...","Per capita personal income (dollars) 2/",3733,3835,4134,4484,5112,5447,5878,6507,7159,7928,8692,9321,10242,10618,11166,12380,13065,13792,14591,15558,16859,17685,18005,19311,20137,21201,21940,22972,23968,25688,26555,28122,28652,28850,29433,30693,31272,32884,33868,35047,33588,34390,36357,37987,38291,39578
"18001","Adams, IN","3","CA1","1","...","Personal income (thousands of dollars)",91908,99675,108141,120911,147409,148452,152140,175679,193549,216674,234927,239463,266952,283081,299777,350318,363758,391097,417873,449824,480216,492661,491408,516620,552119,591442,603489,635421,687286,725611,753638,804805,809615,790508,837339,912688,884789,909778,934870,934734,889964,930731,1013494,1084109,1103903,1162868
"18001","Adams, IN","3","CA1","2","...","Population (persons) 1/",26689,26889,27176,27150,27966,28005,28226,28436,29020,29320,29647,29654,29729,29759,29884,30116,30281,30427,30836,31191,31053,31160,31385,31545,31758,32204,32565,32866,32972,33346,33544,33597,33556,33523,33746,33822,33867,33887,33962,34214,34351,34435,34351,34401,34685,34791
"18001","Adams, IN","3","CA1","3","...","Per capita personal income (dollars) 2/",3444,3707,3979,4453,5271,5301,5390,6178,6670,7390,7924,8075,8980,9512,10031,11632,12013,12854,13551,14422,15464,15811,15657,16377,17385,18365,18532,19334,20845,21760,22467,23955,24127,23581,24813,26985,26125,26847,27527,27320,25908,27029,29504,31514,31827,33424
"18003","Allen, IN","3","CA1","1","...","Personal income (thousands of dollars)",1097777,1160376,1254675,1387258,1547181,1691230,1767438,1976638,2228877,2496127,2777733,2954964,3226329,3286324,3404080,3774119,4091352,4483858,4817870,5289815,5765845,6024971,6062269,6596400,6838742,7242040,7663417,8021898,8393317,9096385,9474611,9973948,10300963,10467878,10393311,10861818,11132713,11979422,12402162,12744550,12133331,12405076,13202637,13845097,13847616,14531265
"18003","Allen, IN","3","CA1","2","...","Population (persons) 1/",274948,281297,284941,287484,288529,289687,288951,287950,288762,292275,294194,293834,291174,288893,286852,286409,289455,293544,298230,299649,300658,301659,304430,307128,309985,312277,314778,318087,321527,325489,328699,332786,334956,337124,339569,340916,343238,346314,349534,351264,353693,355857,358745,360832,363596,365918
"18003","Allen, IN","3","CA1","3","...","Per capita personal income (dollars) 2/",3993,4125,4403,4826,5362,5838,6117,6865,7719,8540,9442,10057,11080,11376,11867,13177,14135,15275,16155,17653,19177,19973,19914,21478,22062,23191,24345,25219,26105,27947,28825,29971,30753,31051,30607,31861,32434,34591,35482,36282,34305,34860,36802,38370,38085,39712
"18005","Bartholomew, IN","3","CA1","1","...","Personal income (thousands of dollars)",224060,238081,260604,284028,330905,372034,378965,435424,493517,548544,605763,620530,700534,708696,755037,912137,926787,918806,1015098,1072728,1144748,1197957,1214857,1351487,1464919,1562874,1687701,1762295,1851139,2014605,2090364,2234978,2158285,2154751,2224487,2346156,2393787,2603305,2724679,2899810,2759815,2895469,3130697,3403612,3420482,3539888
