"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"20000","Kansas state total","4","CA1","1","...","Personal income (thousands of dollars)",8202984,8896540,9656780,10766270,12261400,13263391,14514643,15745402,17173852,19009450,21699966,23851556,27024244,29305092,30569508,33478357,35289105,36988079,38669638,40681838,42989167,45671041,47310950,51020010,53382924,55822198,58154336,61972792,65844794,70273573,72968125,77426707,80493997,81028800,83791476,87496298,91919656,99430778,106123669,114950348,110160907,112171065,121695359,126189704,128314517,130364095
"20000","Kansas state total","4","CA1","2","...","Population (persons) 1/",2236000,2247823,2246132,2255525,2264369,2267881,2278621,2298645,2317836,2332815,2347370,2369039,2384853,2401207,2415529,2424088,2427401,2432614,2445367,2461995,2472838,2481349,2498722,2532394,2556547,2580513,2601007,2614554,2635292,2660598,2678338,2693681,2702162,2713535,2723004,2734373,2745299,2762931,2783785,2808076,2832704,2858949,2869965,2885966,2895801,2904021
"20000","Kansas state total","4","CA1","3","...","Per capita personal income (dollars) 2/",3669,3958,4299,4773,5415,5848,6370,6850,7409,8149,9244,10068,11332,12204,12655,13811,14538,15205,15813,16524,17385,18406,18934,20147,20881,21632,22358,23703,24986,26413,27244,28744,29789,29861,30772,31999,33483,35987,38122,40936,38889,39235,42403,43725,44311,44891
"20001","Allen, KS","4","CA1","1","...","Personal income (thousands of dollars)",43800,47536,53578,61388,70130,58681,81267,88062,100266,102946,115327,125685,143066,153280,162568,174529,183119,175788,181724,183816,198846,205423,213774,229124,228626,246812,251568,275523,290440,297113,299466,307349,330565,323132,348269,362048,363428,388305,411085,457414,450448,459053,490419,491808,529472,530145
"20001","Allen, KS","4","CA1","2","...","Population (persons) 1/",15076,15055,15101,15293,15517,15415,15292,15436,15695,15699,15796,15650,15616,15637,15824,15865,15484,15168,14787,14518,14644,14640,14645,14697,14693,14721,14667,14677,14500,14551,14444,14393,14171,14110,13940,13923,13733,13639,13545,13422,13407,13360,13351,13341,13098,12909
"20001","Allen, KS","4","CA1","3","...","Per capita personal income (dollars) 2/",2905,3157,3548,4014,4520,3807,5314,5705,6388,6557,7301,8031,9162,9802,10274,11001,11826,11589,12289,12661,13579,14032,14597,15590,15560,16766,17152,18772,20030,20419,20733,21354,23327,22901,24983,26004,26464,28470,30350,34079,33598,34360,36733,36864,40424,41068
"20003","Anderson, KS","4","CA1","1","...","Personal income (thousands of dollars)",23607,22600,28329,32729,38219,38982,43949,46357,58048,52329,66299,68183,83369,84801,83797,96132,100778,96206,103596,100161,107854,103380,102105,121917,114786,125866,124728,146628,161374,157176,160723,177626,188726,184071,189854,195404,199821,203131,224361,257023,256925,257580,288120,305799,338502,338252
"20003","Anderson, KS","4","CA1","2","...","Population (persons) 1/",8484,8490,8471,8647,8650,8557,8525,8501,8578,8608,8717,8705,8521,8508,8582,8465,8113,7958,7888,7838,7923,7778,7756,7863,7851,7831,7970,7985,8047,8040,8144,8091,8195,8143,8190,8101,8087,8023,8040,8158,8101,8098,8051,7918,7858,7883
"20003","Anderson, KS","4","CA1","3","...","Per capita personal income (dollars) 2/",2783,2662,3344,3785,4418,4556,5155,5453,6767,6079,7606,7833,9784,9967,9764,11356,12422,12089,13133,12779,13613,13291,13165,15505,14621,16073,15650,18363,20054,19549,19735,21954,23029,22605,23181,24121,24709,25319,27906,31506,31715,31808,35787,38621,43077,42909
"20005","Atchison, KS","4","CA1","1","...","Personal income (thousands of dollars)",56574,61970,67072,75804,84935,95152,102010,107223,116362,125724,140751,144708,164746,172718,169923,186741,204068,201532,212410,222356,233228,241678,246787,273238,271784,295262,287036,304058,314310,334149,339728,358138,376191,374393,386022,412960,428965,457386,475402,503687,509541,510038,553407,533620,568118,570536
"20005","Atchison, KS","4","CA1","2","...","Population (persons) 1/",19286,19168,19286,18810,18941,18998,18867,18747,18434,18231,18417,18401,18390,18213,17765,17579,17446,17274,17175,17141,17094,16904,16825,16838,16936,16780,16775,16786,16774,16797,16823,16796,16868,16823,16875,16937,16865,16902,16864,16820,16965,16870,16785,16800,16717,16513
