"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"25000","Massachusetts state total","1","CA1","1","...","Personal income (thousands of dollars)",24151557,26093306,27884416,30122067,32658962,35287455,37985397,40803404,44419277,49083173,54589962,61455326,68461988,75054202,81578422,92019548,99606265,107410509,116375406,127991216,134970796,139000167,141238542,148539497,154466285,162148912,171547003,182447254,193952126,206185208,219738537,244509478,254460336,255030054,261679425,273639368,285564234,307299784,322243521,334717288,327809225,338985407,359224281,377728405,379381409,396205941
"25000","Massachusetts state total","1","CA1","2","...","Population (persons) 1/",5650000,5703706,5738589,5762122,5783809,5776992,5762138,5748868,5744097,5742923,5746188,5746075,5768685,5771222,5799405,5840774,5880734,5902677,5935205,5979983,6015478,6022639,6018470,6028709,6060569,6095241,6141445,6179756,6226058,6271838,6317345,6361104,6397634,6417206,6422565,6412281,6403290,6410084,6431559,6468967,6517613,6564073,6612270,6655829,6708874,6745408
"25000","Massachusetts state total","1","CA1","3","...","Per capita personal income (dollars) 2/",4275,4575,4859,5228,5647,6108,6592,7098,7733,8547,9500,10695,11868,13005,14067,15755,16938,18197,19608,21403,22437,23080,23468,24639,25487,26603,27933,29523,31152,32875,34783,38438,39774,39742,40744,42674,44596,47940,50103,51742,50296,51643,54327,56752,56549,58737
"25001","Barnstable, MA","1","CA1","1","...","Personal income (thousands of dollars)",420601,471314,542895,620289,691394,762377,861904,974867,1102051,1251618,1433106,1658724,1890105,2116559,2339663,2688667,2979259,3277681,3641330,3959741,4047669,4328474,4400401,4712886,5051411,5363800,5730556,6164640,6550737,7119465,7684942,8122505,8687101,8785554,9126618,9753290,9812539,10273228,10523616,10887205,10704096,10992573,11627029,12238270,12355408,12871729
"25001","Barnstable, MA","1","CA1","2","...","Population (persons) 1/",94791,97632,99244,99237,111093,123816,129437,133142,138071,140966,146265,148847,152189,154460,157320,162135,166578,171633,176215,181137,184642,187335,189165,191595,194830,198533,202874,206852,210380,214497,218960,223031,224087,225421,226011,224264,221995,220037,218380,217066,215994,215903,215335,214845,214836,214914
"25001","Barnstable, MA","1","CA1","3","...","Per capita personal income (dollars) 2/",4437,4827,5470,6251,6224,6157,6659,7322,7982,8879,9798,11144,12419,13703,14872,16583,17885,19097,20664,21860,21922,23106,23262,24598,25927,27017,28247,29802,31138,33191,35097,36419,38767,38974,40381,43490,44202,46689,48189,50156,49557,50914,53995,56963,57511,59892
"25003","Berkshire, MA","1","CA1","1","...","Personal income (thousands of dollars)",581156,620487,661273,710526,781900,849368,912231,962583,1023255,1124991,1240217,1381782,1523685,1653463,1764476,1955392,2077203,2218455,2340146,2520775,2696207,2772387,2799173,2831577,2946273,3045304,3167524,3352269,3522309,3686765,3837917,4095800,4281539,4365223,4395009,4665643,4791171,4989338,5158394,5363047,5275123,5351621,5647040,5894287,5916304,6108507
"25003","Berkshire, MA","1","CA1","2","...","Population (persons) 1/",148981,149893,150987,148869,149573,149649,148788,146360,144826,146354,145437,145081,144629,142162,141969,141767,140938,140396,140268,139787,139790,139423,138661,137809,137139,137176,136885,136657,136602,135763,135227,134769,133928,133529,133423,133076,132563,131977,131883,131372,131264,131310,130575,130230,129489,128715
"25003","Berkshire, MA","1","CA1","3","...","Per capita personal income (dollars) 2/",3901,4140,4380,4773,5228,5676,6131,6577,7065,7687,8528,9524,10535,11631,12429,13793,14738,15801,16683,18033,19288,19885,20187,20547,21484,22200,23140,24531,25785,27156,28381,30391,31969,32691,32940,35060,36143,37805,39113,40823,40187,40756,43247,45261,45690,47458
"25005","Bristol, MA","1","CA1","1","...","Personal income (thousands of dollars)",1602056,1728836,1872915,2055310,2242880,2425754,2635659,2913459,3208815,3564691,3969685,4405201,4815281,5241507,5692283,6329655,6829624,7327902,7841208,8570400,9053452,9350021,9499388,9968995,10372338,11009599,11540128,12072494,12795845,13384099,14173917,15364124,16396095,16897199,17489622,18126341,18636866,19653008,20392687,21353238,21173857,21684028,22756526,23640957,23852034,24842884
