"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"23000","Maine state total","1","CA1","1","...","Personal income (thousands of dollars)",3217148,3530087,3790516,4151378,4663075,5177766,5579554,6378036,6931931,7663100,8517303,9584669,10586283,11464150,12294408,13639159,14708268,15970626,17383822,19127295,20817675,21654835,21995830,23022871,23767774,24763124,25878824,27358122,28858308,30792396,32288023,34619882,36357952,37656606,39589277,41725742,42605863,45028851,46910810,48823635,48644160,49248076,51254592,52597944,52565709,54195046
"23000","Maine state total","1","CA1","2","...","Population (persons) 1/",992000,996784,1015677,1034817,1046420,1060050,1073280,1089960,1105369,1115457,1124927,1126860,1133033,1136683,1144772,1155634,1162935,1170126,1184577,1203840,1219961,1231719,1237081,1238508,1242302,1242662,1243480,1249060,1254774,1259127,1266808,1277072,1285692,1295960,1306513,1313688,1318787,1323619,1327040,1330509,1329590,1327361,1327930,1328592,1328702,1330089
"23000","Maine state total","1","CA1","3","...","Per capita personal income (dollars) 2/",3243,3541,3732,4012,4456,4884,5199,5852,6271,6870,7571,8506,9343,10086,10740,11802,12648,13649,14675,15889,17064,17581,17780,18589,19132,19927,20812,21903,22999,24455,25488,27109,28279,29057,30301,31762,32307,34019,35350,36695,36586,37102,38597,39589,39562,40745
"23001","Androscoggin, ME","1","CA1","1","...","Personal income (thousands of dollars)",308969,337302,347840,370743,419798,455986,500318,573766,616486,677580,745626,838756,916533,986247,1062868,1170464,1229887,1326826,1449008,1586288,1721082,1772087,1772870,1842471,1905560,1995846,2052702,2148518,2252908,2351559,2468260,2614280,2789516,2958175,3088122,3133930,3188820,3336388,3478415,3605902,3644579,3646485,3756227,3818327,3788208,3900024
"23001","Androscoggin, ME","1","CA1","2","...","Population (persons) 1/",90890,91463,92881,93756,95076,95870,95535,97130,98181,98837,99656,99531,99522,98860,99262,100018,100114,100204,101378,103559,105276,105412,104973,104335,104464,104112,103769,102966,102518,103120,103403,103852,104260,105063,106140,106867,107352,107932,107739,108284,107830,107661,107353,107506,107391,107440
"23001","Androscoggin, ME","1","CA1","3","...","Per capita personal income (dollars) 2/",3399,3688,3745,3954,4415,4756,5237,5907,6279,6856,7482,8427,9209,9976,10708,11703,12285,13241,14293,15318,16348,16811,16889,17659,18241,19170,19781,20866,21976,22804,23870,25173,26755,28156,29095,29326,29704,30912,32286,33300,33799,33870,34989,35517,35275,36300
"23003","Aroostook, ME","1","CA1","1","...","Personal income (thousands of dollars)",247233,294139,307490,322160,403848,497879,428410,508675,562352,569427,628540,682654,795431,801552,851341,935742,973188,1011733,1114391,1147872,1246011,1288374,1305273,1347037,1341530,1311019,1305906,1357735,1387966,1472707,1517256,1606679,1716220,1807634,1883956,1945029,2051346,2123432,2205752,2317676,2379170,2376416,2428876,2470359,2448152,2487175
"23003","Aroostook, ME","1","CA1","2","...","Population (persons) 1/",95237,94201,94614,95489,94944,94178,95135,95455,95623,94402,92936,91153,90302,90171,89966,89641,89192,88723,88737,87382,86774,87024,87218,86823,85461,80702,77620,76910,76332,75054,74227,73872,72962,72942,72944,72959,72881,72827,72711,72542,72258,71704,71330,70744,70039,69447
"23003","Aroostook, ME","1","CA1","3","...","Per capita personal income (dollars) 2/",2596,3122,3250,3374,4254,5287,4503,5329,5881,6032,6763,7489,8809,8889,9463,10439,10911,11403,12558,13136,14359,14805,14966,15515,15698,16245,16824,17654,18183,19622,20441,21749,23522,24782,25827,26659,28147,29157,30336,31949,32926,33142,34051,34920,34954,35814
"23005","Cumberland, ME","1","CA1","1","...","Personal income (thousands of dollars)",727714,791497,854546,947232,1032554,1128884,1239491,1387439,1512633,1686344,1869679,2098574,2343311,2569935,2767262,3115273,3416951,3782763,4147296,4607055,4987792,5260595,5309202,5540539,5772624,6080749,6437136,6860283,7332269,7882989,8299287,8841986,9275892,9559308,10173920,10797574,10985218,11829050,12250296,12699493,12393489,12716238,13361823,13884733,13834968,14326787
