"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"30000","Montana state total","7","CA1","1","...","Personal income (thousands of dollars)",2353692,2608573,2791927,3235011,3747805,4073898,4490489,4815011,5207027,6105886,6559567,7210173,8185714,8627306,9090637,9613235,9761494,10152794,10434021,10714600,11815126,12429218,13256187,14106136,15256962,15671892,16533795,17308965,18044406,19377115,19963231,21323584,22448557,23061628,24520021,26207355,27790234,29994534,32195954,34088901,33088389,34410026,36872430,39303801,39461723,40843525
"30000","Montana state total","7","CA1","2","...","Population (persons) 1/",694000,697172,711037,719138,727389,737203,749208,758521,771354,784043,789167,788752,795325,803984,814029,820904,822320,813738,805064,800200,799634,800204,809680,825770,844761,861306,876553,886254,889865,892431,897507,903773,906961,911667,919630,930009,940102,952692,964706,976415,983982,990575,997661,1005163,1014864,1023579
"30000","Montana state total","7","CA1","3","...","Per capita personal income (dollars) 2/",3391,3742,3927,4498,5152,5526,5994,6348,6751,7788,8312,9141,10292,10731,11167,11711,11871,12477,12960,13390,14776,15533,16372,17082,18061,18195,18862,19530,20278,21713,22243,23594,24751,25296,26663,28180,29561,31484,33374,34912,33627,34737,36959,39102,38884,39903
"30001","Beaverhead, MT","7","CA1","1","...","Personal income (thousands of dollars)",25560,28677,30774,36919,41754,42896,45785,44585,46042,57120,63022,65746,75538,79526,86001,91019,92748,98832,99649,104998,116749,124726,130510,137183,148224,151819,160924,165091,172516,184296,187362,199028,214839,212026,224525,237828,248477,250174,273828,288978,284901,285128,309329,331931,340413,357888
"30001","Beaverhead, MT","7","CA1","2","...","Population (persons) 1/",8113,8207,8227,8085,8011,8124,7974,7904,7845,8044,7919,8240,8442,8674,8717,8496,8497,8492,8460,8520,8543,8429,8487,8696,8793,8951,9168,9394,9244,9133,9184,9204,9058,9018,8924,8908,8904,9012,9028,9166,9200,9248,9212,9356,9308,9345
"30001","Beaverhead, MT","7","CA1","3","...","Per capita personal income (dollars) 2/",3150,3494,3741,4566,5212,5280,5742,5641,5869,7101,7958,7979,8948,9168,9866,10713,10915,11638,11779,12324,13666,14797,15378,15775,16857,16961,17553,17574,18662,20179,20401,21624,23718,23511,25160,26698,27906,27760,30331,31527,30968,30831,33579,35478,36572,38297
"30003","Big Horn, MT","7","CA1","1","...","Personal income (thousands of dollars)",27949,31382,30280,37385,45471,50645,49677,49113,53986,70135,77580,92242,103172,99346,98944,104653,106090,109201,109718,108652,120118,126423,141236,152366,166365,162848,161260,161871,174821,184232,189089,206998,215708,211292,238751,254727,275611,263474,284677,301992,303132,321289,349310,357139,354565,366395
"30003","Big Horn, MT","7","CA1","2","...","Population (persons) 1/",10052,10063,10150,10300,10304,10500,10975,10617,10727,11342,10932,11051,10851,10961,11032,11229,11411,11446,11261,11210,11466,11313,11400,11622,11773,12074,12215,12418,12669,12673,12653,12669,12783,12713,12652,12731,12634,12540,12549,12564,12747,12919,13054,13008,13134,13282
"30003","Big Horn, MT","7","CA1","3","...","Per capita personal income (dollars) 2/",2780,3119,2983,3630,4413,4823,4526,4626,5033,6184,7097,8347,9508,9064,8969,9320,9297,9541,9743,9692,10476,11175,12389,13110,14131,13487,13202,13035,13799,14537,14944,16339,16875,16620,18871,20008,21815,21011,22685,24036,23781,24869,26759,27455,26996,27586
"30005","Blaine, MT","7","CA1","1","...","Personal income (thousands of dollars)",18247,21719,22062,28823,36724,35636,36118,35814,34937,46156,43914,45923,56481,57865,60896,64186,59217,68743,71081,72486,86420,84597,89545,95542,101284,90527,93565,96292,99623,113003,113804,115200,120033,111716,122303,138267,145693,135710,152433,156300,163004,171686,186163,184927,202933,184894
