"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"38000","North Dakota state total","4","CA1","1","...","Personal income (thousands of dollars)",1994339,2104730,2426531,2889855,4038581,4003286,4200486,4117225,4276480,5370965,5513744,5279606,6914367,7487357,7887475,8492880,8782366,8910617,9161561,8473720,9506913,10290342,10410081,11411372,11562828,12545156,12578798,14071088,13808529,15134099,15269856,16609159,16960441,17331641,18842774,19158764,20306050,21317995,23607161,26909746,26214054,28972608,32796406,38866125,39358192,41264895
"38000","North Dakota state total","4","CA1","2","...","Population (persons) 1/",621000,618851,626659,630937,632411,634212,638469,645293,649168,650648,652152,654380,659504,668972,676687,680499,676979,669513,661141,655330,646351,637685,635753,638223,641216,644804,647832,650382,649716,647532,644259,642023,639062,638168,638817,644705,646089,649422,652822,657569,664968,674345,685242,701705,723857,739482
"38000","North Dakota state total","4","CA1","3","...","Per capita personal income (dollars) 2/",3211,3401,3872,4580,6386,6312,6579,6380,6588,8255,8455,8068,10484,11192,11656,12480,12973,13309,13857,12930,14709,16137,16374,17880,18033,19456,19417,21635,21253,23372,23701,25870,26540,27158,29496,29717,31429,32826,36162,40923,39422,42964,47861,55388,54373,55802
"38001","Adams, ND","4","CA1","1","...","Personal income (thousands of dollars)",13570,14906,15794,18258,29787,26123,24264,20973,23701,27705,28318,25448,35274,34339,39037,43812,40615,43395,44552,37844,43089,45340,43850,53403,52971,48729,47849,56205,49397,55062,57322,64192,62642,53979,72192,69405,76851,75859,87128,78943,88593,94817,101916,127899,97267,103392
"38001","Adams, ND","4","CA1","2","...","Population (persons) 1/",3897,3800,3717,3701,3746,3730,3710,3724,3725,3616,3586,3577,3544,3472,3546,3525,3578,3487,3401,3309,3217,3157,3092,3024,2834,2866,2814,2820,2784,2734,2648,2578,2542,2509,2469,2436,2405,2366,2362,2343,2325,2344,2299,2302,2366,2384
"38001","Adams, ND","4","CA1","3","...","Per capita personal income (dollars) 2/",3482,3923,4249,4933,7952,7003,6540,5632,6363,7662,7897,7114,9953,9890,11009,12429,11351,12445,13100,11437,13394,14362,14182,17660,18691,17002,17004,19931,17743,20140,21647,24900,24643,21514,29239,28491,31955,32062,36887,33693,38105,40451,44331,55560,41110,43369
"38003","Barnes, ND","4","CA1","1","...","Personal income (thousands of dollars)",46561,47624,56768,66091,87454,94234,99955,85457,92587,123919,120579,87572,120041,146032,136846,166078,163732,162428,173564,141355,172966,206646,189790,213990,191591,220439,212203,254237,224247,259835,249883,288215,270647,287768,310975,317777,336493,330073,387440,467188,416056,501095,518178,593083,579349,552287
"38003","Barnes, ND","4","CA1","2","...","Population (persons) 1/",14934,14671,14893,14854,14367,14135,13898,14086,14157,14239,14195,13945,13853,13692,13576,13496,13237,13088,13011,12834,12723,12509,12422,12320,12231,12078,12092,12079,12084,12001,11914,11692,11446,11281,11199,11202,11171,11106,11057,11027,11028,11059,11101,11013,11162,11144
"38003","Barnes, ND","4","CA1","3","...","Per capita personal income (dollars) 2/",3118,3246,3812,4449,6087,6667,7192,6067,6540,8703,8494,6280,8665,10665,10080,12306,12369,12410,13340,11014,13595,16520,15279,17369,15664,18251,17549,21048,18557,21651,20974,24651,23646,25509,27768,28368,30122,29720,35040,42368,37727,45311,46678,53853,51904,49559
"38005","Benson, ND","4","CA1","1","...","Personal income (thousands of dollars)",20400,21752,26547,32342,52874,50869,55696,46490,38546,62448,54956,38825,61213,77010,67881,83533,91624,80622,81922,57340,80056,98686,85931,92897,92988,103196,90147,114709,99391,117515,107929,122046,125308,132452,169069,142215,155163,149051,186254,221178,210559,215925,237480,292142,226471,218034
"38005","Benson, ND","4","CA1","2","...","Population (persons) 1/",8382,8242,8245,8481,8212,8276,8411,8439,8445,8395,8153,7908,7748,7746,7788,7992,7904,7839,7722,7599,7317,7193,7017,6913,7040,7018,7022,6905,6947,6962,6949,6943,6898,6727,6744,6788,6745,6709,6683,6622,6609,6666,6687,6762,6874,6833
"38005","Benson, ND","4","CA1","3","...","Per capita personal income (dollars) 2/",2434,2639,3220,3813,6439,6147,6622,5509,4564,7439,6741,4910,7900,9942,8716,10452,11592,10285,10609,7546,10941,13720,12246,13438,13209,14704,12838,16612,14307,16879,15532,17578,18166,19690,25070,20951,23004,22217,27870,33400,31859,32392,35514,43203,32946,31909
"38007","Billings, ND","4","CA1","1","...","Personal income (thousands of dollars)",3827,4099,4642,6356,7166,6804,5716,5572,6462,8789,10295,10218,15173,13930,13516,14707,14303,14847,13269,9198,12984,13150,13863,13280,15566,12501,11458,13112,11544,14739,15132,16099,19328,14834,20301,22365,27979,26076,29295,27987,21373,38962,55175,69922,66664,78616
"38007","Billings, ND","4","CA1","2","...","Population (persons) 1/",1233,1177,1148,1232,1176,1176,1178,1171,1162,1107,1054,1150,1197,1213,1195,1213,1204,1169,1168,1185,1159,1090,1118,1128,1106,1080,1072,1031,988,941,927,876,877,854,820,792,773,741,762,768,796,771,836,913,891,901
"38007","Billings, ND","4","CA1","3","...","Per capita personal income (dollars) 2/",3104,3483,4044,5159,6094,5786,4852,4758,5561,7939,9768,8885,12676,11484,11310,12124,11880,12701,11360,7762,11203,12064,12400,11773,14074,11575,10688,12718,11684,15663,16324,18378,22039,17370,24757,28239,36195,35190,38445,36441,26851,50534,65999,76585,74819,87254
"38009","Bottineau, ND","4","CA1","1","...","Personal income (thousands of dollars)",30834,30670,36836,46518,88190,69974,69907,60938,58813,80996,63576,60323,88614,99530,109336,110029,132298,125627,110872,92750,118255,131310,114692,136820,147148,156305,140738,181623,143402,168678,130059,185463,178464,177823,216867,175732,194206,192760,250111,323387,306496,303249,339930,458818,414952,379252
"38009","Bottineau, ND","4","CA1","2","...","Population (persons) 1/",9680,9461,9290,9407,9337,9373,9581,9487,9532,9432,9432,9216,9103,9342,9192,9142,9079,8951,8682,8468,8263,7952,7774,7672,7710,7600,7580,7485,7429,7309,7267,7126,6995,6835,6789,6690,6650,6526,6428,6370,6390,6426,6505,6583,6733,6650
"38009","Bottineau, ND","4","CA1","3","...","Per capita personal income (dollars) 2/",3185,3242,3965,4945,9445,7465,7296,6423,6170,8587,6740,6545,9735,10654,11895,12036,14572,14035,12770,10953,14311,16513,14753,17834,19085,20566,18567,24265,19303,23078,17897,26026,25513,26017,31944,26268,29204,29537,38910,50767,47965,47191,52257,69697,61630,57030
"38011","Bowman, ND","4","CA1","1","...","Personal income (thousands of dollars)",14652,14300,16204,20699,28655,31699,30799,28524,29527,34557,37153,34679,48028,43344,49330,54777,51671,56835,60459,53792,57772,57879,58604,61787,68462,65543,60976,68948,70641,78035,74669,81577,85754,76064,95781,95932,109450,111411,127457,146312,145991,163165,187296,209489,204455,212251
"38011","Bowman, ND","4","CA1","2","...","Population (persons) 1/",3945,3915,3941,4002,3927,3930,4089,4180,4237,4388,4261,4250,4328,4271,4275,4254,4182,4098,3946,3841,3679,3578,3493,3395,3347,3272,3234,3274,3315,3307,3294,3233,3118,3087,3089,3132,3046,3020,3050,3158,3137,3140,3140,3220,3212,3247
"38011","Bowman, ND","4","CA1","3","...","Per capita personal income (dollars) 2/",3714,3653,4112,5172,7297,8066,7532,6824,6969,7875,8719,8160,11097,10148,11539,12877,12356,13869,15322,14005,15703,16176,16778,18199,20455,20031,18855,21059,21310,23597,22668,25233,27503,24640,31007,30630,35932,36891,41789,46331,46538,51963,59648,65059,63653,65368
"38013","Burke, ND","4","CA1","1","...","Personal income (thousands of dollars)",15301,14900,16804,21543,38095,33484,32290,27696,27592,32395,29034,25277,39285,41150,49477,47933,47177,50358,45879,36769,38678,50086,39974,51870,49777,49456,51877,59966,45100,52086,48420,57005,48634,48303,67541,59044,72136,70830,80976,121873,117917,124356,156785,194317,203968,216632
"38013","Burke, ND","4","CA1","2","...","Population (persons) 1/",4861,4724,4625,4566,4415,4226,4132,4142,4094,4004,3902,3814,3777,3783,3858,3754,3681,3557,3465,3348,3175,2956,2810,2707,2683,2610,2555,2492,2388,2337,2276,2236,2183,2137,2108,2081,2042,1975,1933,1902,1962,1965,2056,2170,2291,2245
"38013","Burke, ND","4","CA1","3","...","Per capita personal income (dollars) 2/",3148,3154,3633,4718,8629,7923,7815,6687,6740,8091,7441,6627,10401,10878,12825,12769,12816,14157,13241,10982,12182,16944,14226,19161,18553,18949,20304,24063,18886,22288,21274,25494,22279,22603,32040,28373,35326,35863,41891,64076,60100,63285,76257,89547,89030,96495
"38015","Burleigh, ND","4","CA1","1","...","Personal income (thousands of dollars)",140562,154434,174322,202132,231308,261317,301946,341795,389081,453579,513565,564865,648065,714403,767149,801772,824555,856064,893474,917079,999876,1068153,1108140,1212526,1288014,1353948,1431225,1511055,1582469,1700161,1776445,1914051,2036979,2136741,2263621,2420008,2540450,2717461,2926519,3151020,3197804,3468196,3866172,4306840,4532108,4831728
"38015","Burleigh, ND","4","CA1","2","...","Population (persons) 1/",40335,40765,41248,42216,44583,45984,47477,48767,50445,51291,53650,54976,55509,56491,57771,58946,59608,59899,59514,59454,59751,60307,61325,62736,63804,64638,65585,66778,67617,68410,68998,69534,70121,71090,71987,72837,74375,75940,77473,78678,80122,81689,83582,86073,88709,90503
"38015","Burleigh, ND","4","CA1","3","...","Per capita personal income (dollars) 2/",3485,3788,4226,4788,5188,5683,6360,7009,7713,8843,9573,10275,11675,12646,13279,13602,13833,14292,15013,15425,16734,17712,18070,19327,20187,20947,21822,22628,23403,24853,25746,27527,29049,30057,31445,33225,34157,35784,37775,40050,39912,42456,46256,50037,51090,53387
"38017","Cass, ND","4","CA1","1","...","Personal income (thousands of dollars)",270877,292726,332050,372799,486441,518937,551222,603657,654518,796482,845821,860869,1026972,1116105,1183166,1275363,1360568,1449691,1548014,1599004,1738079,1879468,1973970,2143403,2235920,2432325,2580349,2799669,2971099,3233766,3426236,3781363,3831858,4004086,4168131,4474683,4760764,5160818,5536146,6176475,6065344,6569969,7248369,8094909,8379494,8803026
"38017","Cass, ND","4","CA1","2","...","Population (persons) 1/",73450,73904,75873,78118,79062,80249,81659,83676,85167,87176,87918,88615,89741,91063,92939,95236,97015,98629,99773,100983,101759,103298,104974,107248,109356,111619,113643,115448,117616,119973,121921,123662,125520,127119,129356,133197,135181,138340,141316,144290,147872,150278,152878,156839,163207,167005
"38017","Cass, ND","4","CA1","3","...","Per capita personal income (dollars) 2/",3688,3961,4376,4772,6153,6467,6750,7214,7685,9136,9621,9715,11444,12256,12731,13392,14024,14698,15515,15834,17080,18195,18804,19985,20446,21791,22706,24250,25261,26954,28102,30578,30528,31499,32222,33594,35218,37305,39176,42806,41018,43719,47413,51613,51343,52711
"38019","Cavalier, ND","4","CA1","1","...","Personal income (thousands of dollars)",23803,25326,38240,53147,80785,73688,77210,57020,52981,70584,72124,50905,70915,70848,84360,95225,109665,97796,108224,59792,88246,92854,89410,127372,80917,105567,94514,136624,101394,133091,147111,158705,126522,129728,181919,131509,124227,125733,181732,298675,215845,233371,263736,285538,279091,265149
"38019","Cavalier, ND","4","CA1","2","...","Population (persons) 1/",8395,8397,9157,10055,10756,11590,11315,11032,9219,8649,8071,7589,7388,7196,7098,6967,6848,6650,6481,6334,6202,6041,5892,5756,5702,5594,5408,5272,5141,5071,4884,4811,4696,4620,4543,4456,4384,4202,4056,4008,3975,3982,3953,3943,3875,3855
"38019","Cavalier, ND","4","CA1","3","...","Per capita personal income (dollars) 2/",2835,3016,4176,5286,7511,6358,6824,5169,5747,8161,8936,6708,9599,9845,11885,13668,16014,14706,16699,9440,14229,15371,15175,22129,14191,18871,17477,25915,19723,26246,30121,32988,26943,28080,40044,29513,28336,29922,44806,74520,54301,58606,66718,72416,72023,68781
"38021","Dickey, ND","4","CA1","1","...","Personal income (thousands of dollars)",21670,21554,27340,32403,50026,49737,47791,43263,41898,53021,53934,40982,56646,68303,69937,84107,86071,86019,91494,69803,87720,94033,90294,96250,94423,110732,96106,119035,111527,131298,122488,147097,140214,142015,150482,162031,172056,180768,207903,236014,202433,261229,314772,332639,311142,304222
"38021","Dickey, ND","4","CA1","2","...","Population (persons) 1/",7103,6970,6904,6734,6868,6828,7047,7148,7229,7202,7215,7199,7154,7041,6977,6995,6985,6873,6751,6600,6372,6045,6000,5944,5928,5931,5823,5740,5720,5752,5740,5761,5683,5611,5510,5561,5496,5419,5412,5305,5269,5280,5264,5245,5231,5150
"38021","Dickey, ND","4","CA1","3","...","Per capita personal income (dollars) 2/",3051,3092,3960,4812,7284,7284,6782,6052,5796,7362,7475,5693,7918,9701,10024,12024,12322,12515,13553,10576,13766,15556,15049,16193,15928,18670,16505,20738,19498,22826,21339,25533,24673,25310,27311,29137,31306,33358,38415,44489,38420,49475,59797,63420,59480,59072
"38023","Divide, ND","4","CA1","1","...","Personal income (thousands of dollars)",17126,17809,18619,26343,44121,44075,41137,38199,30954,34929,31199,24945,39669,39640,42923,47516,42343,47821,42882,31929,37975,41910,41858,53789,52576,53158,53657,64906,46651,59460,56316,60735,59691,56902,75525,67831,71934,68579,78726,121713,110825,109631,130446,160485,149586,156157
"38023","Divide, ND","4","CA1","2","...","Population (persons) 1/",4667,4564,4511,4141,4226,4038,4019,3990,3892,3893,3711,3472,3381,3404,3415,3301,3224,3179,3092,3030,2965,2878,2780,2695,2634,2627,2591,2528,2443,2392,2322,2263,2176,2192,2191,2178,2116,2083,2041,2022,2020,2074,2139,2233,2315,2432
"38023","Divide, ND","4","CA1","3","...","Per capita personal income (dollars) 2/",3670,3902,4127,6362,10440,10915,10236,9574,7953,8972,8407,7185,11733,11645,12569,14394,13134,15043,13869,10538,12808,14562,15057,19959,19961,20235,20709,25675,19096,24858,24253,26838,27432,25959,34471,31144,33995,32923,38572,60194,54864,52860,60985,71870,64616,64209
"38025","Dunn, ND","4","CA1","1","...","Personal income (thousands of dollars)",13353,12785,15372,21933,34112,30202,26177,25678,26381,36443,37760,32695,53350,51060,47397,48537,44733,39275,39280,29146,40231,42610,41802,45925,55151,52629,50968,53855,48901,62104,64470,77024,74320,64687,84907,78117,98500,96487,98181,123452,134753,170917,217549,286425,330510,355879
"38025","Dunn, ND","4","CA1","2","...","Population (persons) 1/",5035,4888,4827,4683,4551,4517,4516,4472,4495,4481,4506,4660,4782,4920,5026,4967,4728,4522,4357,4233,4089,3980,3944,3925,3885,3879,3856,3822,3750,3685,3597,3605,3582,3548,3526,3443,3422,3432,3429,3470,3513,3541,3751,3974,4162,4399
"38025","Dunn, ND","4","CA1","3","...","Per capita personal income (dollars) 2/",2652,2616,3185,4684,7495,6686,5797,5742,5869,8133,8380,7016,11156,10378,9430,9772,9461,8685,9015,6885,9839,10706,10599,11701,14196,13568,13218,14091,13040,16853,17923,21366,20748,18232,24080,22689,28784,28114,28633,35577,38358,48268,57998,72075,79411,80900
"38027","Eddy, ND","4","CA1","1","...","Personal income (thousands of dollars)",11367,11301,14776,17109,21753,20634,22120,19781,20840,30484,29924,20970,32646,41621,38825,40693,42783,40724,41848,28980,38365,48779,41158,41581,43585,51234,46987,54237,49650,56622,56960,57250,57841,63050,70486,61945,70957,64523,79411,100682,80309,85428,90707,117366,112858,108690
"38027","Eddy, ND","4","CA1","2","...","Population (persons) 1/",4197,4096,4069,3886,3985,3855,3886,3842,3815,3764,3637,3536,3457,3486,3418,3352,3316,3267,3134,3094,3044,2929,2929,2872,2856,2883,2889,2907,2890,2908,2837,2742,2683,2654,2656,2641,2610,2529,2503,2470,2393,2383,2354,2377,2406,2377
"38027","Eddy, ND","4","CA1","3","...","Per capita personal income (dollars) 2/",2708,2759,3631,4403,5459,5353,5692,5149,5463,8099,8228,5930,9443,11939,11359,12140,12902,12465,13353,9367,12603,16654,14052,14478,15261,17771,16264,18657,17180,19471,20078,20879,21558,23757,26538,23455,27187,25513,31726,40762,33560,35849,38533,49376,46907,45726
"38029","Emmons, ND","4","CA1","1","...","Personal income (thousands of dollars)",18685,16831,22280,25430,31307,32413,30919,30251,26726,39846,36885,28227,50090,46154,46418,56462,51570,57473,61982,46074,52262,55256,54970,69213,69797,68391,63581,79285,68118,85167,81089,93092,90579,74658,100120,89881,113070,90895,134607,151629,112544,140568,157891,188746,150167,141307
"38029","Emmons, ND","4","CA1","2","...","Population (persons) 1/",7330,7188,7145,6928,6833,6653,6660,6525,6406,6318,6107,5862,5794,5695,5679,5560,5469,5345,5165,5020,4932,4809,4707,4651,4629,4583,4579,4506,4471,4432,4386,4302,4208,4107,4025,3955,3825,3748,3640,3588,3568,3543,3525,3483,3481,3422
"38029","Emmons, ND","4","CA1","3","...","Per capita personal income (dollars) 2/",2549,2342,3118,3671,4582,4872,4642,4636,4172,6307,6040,4815,8645,8104,8174,10155,9430,10753,12000,9178,10597,11490,11678,14881,15078,14923,13885,17595,15236,19216,18488,21639,21525,18178,24875,22726,29561,24252,36980,42260,31543,39675,44792,54191,43139,41294
"38031","Foster, ND","4","CA1","1","...","Personal income (thousands of dollars)",15033,15455,19696,23720,33691,33722,34480,34119,29382,39212,43209,35453,44492,55580,49890,58649,61372,55340,58982,46472,54957,67833,65288,61221,61958,71340,68942,87136,77528,94317,90506,96789,88615,88639,107425,96648,101615,102940,126460,145985,129107,139888,149590,203926,168830,165794
"38031","Foster, ND","4","CA1","2","...","Population (persons) 1/",4907,4838,4884,4873,4735,4647,4718,4717,4701,4711,4637,4587,4483,4587,4582,4554,4519,4373,4289,4164,4095,3963,3884,3836,3871,3902,3940,3872,3794,3855,3814,3739,3639,3577,3515,3514,3564,3565,3500,3436,3319,3343,3352,3392,3372,3362
"38031","Foster, ND","4","CA1","3","...","Per capita personal income (dollars) 2/",3064,3195,4033,4868,7115,7257,7308,7233,6250,8323,9318,7729,9925,12117,10888,12879,13581,12655,13752,11160,13421,17117,16809,15960,16006,18283,17498,22504,20434,24466,23730,25886,24351,24780,30562,27504,28512,28875,36131,42487,38899,41845,44627,60120,50068,49314
"38033","Golden Valley, ND","4","CA1","1","...","Personal income (thousands of dollars)",9294,10033,10994,15006,22246,22776,20275,16067,15145,20670,21094,18921,30430,27631,27025,30549,30110,29551,28836,23256,31196,30877,28107,33426,32099,30185,27900,32927,28109,33486,32240,33171,34089,32269,40076,33199,42813,40969,46719,48024,53535,64375,72861,78919,74762,78110
"38033","Golden Valley, ND","4","CA1","2","...","Population (persons) 1/",2654,2625,2650,2698,2622,2616,2573,2585,2579,2526,2442,2421,2535,2632,2641,2542,2444,2365,2330,2241,2164,2103,2014,1978,1979,2018,2031,2033,2031,1990,1941,1915,1862,1825,1804,1741,1709,1670,1670,1650,1657,1679,1746,1799,1815,1825
"38033","Golden Valley, ND","4","CA1","3","...","Per capita personal income (dollars) 2/",3502,3822,4149,5562,8484,8706,7880,6215,5872,8183,8638,7815,12004,10498,10233,12018,12320,12495,12376,10378,14416,14682,13956,16899,16220,14958,13737,16196,13840,16827,16610,17322,18308,17682,22215,19069,25051,24532,27975,29105,32308,38341,41730,43868,41191,42800
"38035","Grand Forks, ND","4","CA1","1","...","Personal income (thousands of dollars)",202101,232020,263224,295110,361220,379596,415126,442761,452799,528622,555679,582860,671399,742166,787566,844885,886224,944626,1002562,1011998,1079696,1134859,1185586,1261086,1287196,1398160,1427037,1498792,1520316,1588804,1566183,1633185,1675898,1761869,1858907,1920207,1996107,2122886,2276921,2461195,2427606,2551618,2712561,2968102,2976407,3098455
"38035","Grand Forks, ND","4","CA1","2","...","Population (persons) 1/",59773,61462,63360,63784,64923,65281,63434,65300,66435,66152,66447,66271,66806,67538,68954,69898,70272,70142,70524,71364,71358,70604,70466,71478,71660,72808,72941,72707,71369,68513,66625,66021,65567,65409,65287,67071,66629,67096,66333,66917,66518,66943,66626,67701,69311,70138
"38035","Grand Forks, ND","4","CA1","3","...","Per capita personal income (dollars) 2/",3381,3775,4154,4627,5564,5815,6544,6780,6816,7991,8363,8795,10050,10989,11422,12087,12611,13467,14216,14181,15131,16074,16825,17643,17963,19203,19564,20614,21302,23190,23507,24737,25560,26936,28473,28629,29959,31640,34326,36780,36495,38116,40713,43841,42943,44177
"38037","Grant, ND","4","CA1","1","...","Personal income (thousands of dollars)",13478,13141,16251,21848,32671,25164,21339,21541,22474,27802,26936,16294,34324,33371,36399,39916,38612,41219,41666,27282,33673,33408,37419,42004,42789,42479,35722,43594,39058,51525,52751,67467,70207,57057,71184,63790,74965,68467,85779,87321,78918,91472,98119,132604,94437,103435
"38037","Grant, ND","4","CA1","2","...","Population (persons) 1/",5120,5019,5058,4920,4896,4771,4738,4707,4576,4516,4326,4265,4225,4204,4161,4170,4106,4042,3916,3813,3674,3528,3438,3347,3304,3239,3189,3125,3030,2958,2862,2835,2783,2699,2674,2626,2599,2519,2478,2440,2399,2389,2356,2337,2371,2361
"38037","Grant, ND","4","CA1","3","...","Per capita personal income (dollars) 2/",2632,2618,3213,4441,6673,5274,4504,4576,4911,6156,6227,3820,8124,7938,8748,9572,9404,10198,10640,7155,9165,9469,10884,12550,12951,13115,11202,13950,12890,17419,18432,23798,25227,21140,26621,24292,28844,27180,34616,35787,32896,38289,41646,56741,39830,43810
"38039","Griggs, ND","4","CA1","1","...","Personal income (thousands of dollars)",13601,12853,15789,19797,28802,29932,31983,23734,24387,33064,29227,18557,31937,39544,37077,44372,48254,42625,46823,41565,42647,57184,52392,55510,47323,56479,51351,66014,56162,73073,63648,70793,67944,65773,80202,71110,72255,66918,83709,106597,94349,108371,113438,143082,133597,123810
"38039","Griggs, ND","4","CA1","2","...","Population (persons) 1/",4267,4160,4114,4161,4110,4083,4059,4058,4032,3984,3782,3704,3661,3673,3662,3687,3581,3519,3480,3395,3372,3288,3201,3162,3164,3101,3061,2982,2875,2869,2806,2732,2645,2598,2578,2531,2519,2457,2430,2406,2420,2407,2369,2351,2292,2319
"38039","Griggs, ND","4","CA1","3","...","Per capita personal income (dollars) 2/",3187,3090,3838,4758,7008,7331,7880,5849,6048,8299,7728,5010,8724,10766,10125,12035,13475,12113,13455,12243,12647,17392,16367,17555,14957,18213,16776,22137,19535,25470,22683,25913,25688,25317,31110,28096,28684,27236,34448,44305,38987,45023,47884,60860,58288,53389
"38041","Hettinger, ND","4","CA1","1","...","Personal income (thousands of dollars)",16573,16627,17270,22728,35633,35108,30930,30360,29732,31854,30537,17056,32848,37994,46059,54197,49152,53896,48170,32867,43438,45351,42521,60402,59965,62687,52752,73119,57774,70554,70610,84412,80414,58728,86228,76877,79139,83417,95304,106017,124542,126386,133927,177453,136230,146683
