"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"36000","New York state total","2","CA1","1","...","Personal income (thousands of dollars)",83912716,90165190,96393345,103115394,109639324,118077927,127411999,134872187,145585536,158660143,173524889,193182470,215239003,233470201,251847877,279011598,298868264,318949769,340487199,373992930,404342796,432392237,432623921,457406830,469767241,484813019,511629875,538196850,568314287,596673315,628080255,671289617,692858110,694348119,713332289,754247811,791723266,849615687,914147194,942015001,920075787,956131947,1007279882,1050369055,1055803388,1098102853
"36000","New York state total","2","CA1","2","...","Population (persons) 1/",18105000,18271605,18364865,18351767,18194767,18072768,18032254,17974654,17851507,17720421,17633646,17566754,17567731,17589737,17686907,17745676,17791678,17833421,17868844,17941309,17983084,18020784,18122510,18246653,18374954,18459470,18524104,18588460,18656546,18755906,18882725,19001780,19082838,19137800,19175939,19171567,19132610,19104631,19132335,19212436,19307066,19400867,19521745,19607140,19695680,19746227
"36000","New York state total","2","CA1","3","...","Per capita personal income (dollars) 2/",4635,4935,5249,5619,6026,6533,7066,7503,8155,8954,9841,10997,12252,13273,14239,15723,16798,17885,19055,20845,22485,23994,23872,25068,25566,26264,27620,28953,30462,31813,33262,35328,36308,36282,37199,39342,41381,44472,47780,49032,47655,49283,51598,53571,53606,55611
"36001","Albany, NY","2","CA1","1","...","Personal income (thousands of dollars)",1230042,1391747,1538837,1665388,1786297,1922416,2070266,2183155,2345801,2542259,2770394,3063135,3358223,3649077,3961628,4393734,4732757,5090337,5376747,5860705,6504842,6882670,7040101,7418650,7599018,7795946,8042955,8259852,8679013,9055184,9644484,10267174,10767864,10598297,11043107,11461716,11833258,12425137,12881028,13520574,13873660,14265981,14846533,15548310,15780711,16308817
"36001","Albany, NY","2","CA1","2","...","Population (persons) 1/",286201,287151,288612,290300,289750,289146,287863,286517,286155,286922,286969,286173,286690,287159,287780,288450,289760,291010,290843,291094,292202,292956,295530,296913,298592,300262,299725,297680,296187,295097,294692,295106,296232,298283,301085,302173,302791,303997,303858,303739,304733,304005,304840,306186,307418,308171
"36001","Albany, NY","2","CA1","3","...","Per capita personal income (dollars) 2/",4298,4847,5332,5737,6165,6649,7192,7620,8198,8860,9654,10704,11714,12708,13766,15232,16333,17492,18487,20133,22261,23494,23822,24986,25450,25964,26834,27747,29302,30685,32727,34791,36349,35531,36678,37931,39081,40873,42392,44514,45527,46927,48703,50781,51333,52921
"36003","Allegany, NY","2","CA1","1","...","Personal income (thousands of dollars)",135965,150260,164933,175835,192442,212622,232035,248860,265723,289337,325370,361042,390314,420158,432298,467327,490431,513626,547513,600171,642385,685161,711587,762324,780782,792702,832649,874351,882513,911190,939228,972455,1014870,1027884,1056150,1114065,1147742,1172301,1210766,1357655,1357191,1406299,1459910,1510322,1510829,1581410
"36003","Allegany, NY","2","CA1","2","...","Population (persons) 1/",46301,46729,48061,49963,50253,50538,51450,51858,52155,52209,52348,51785,51861,51640,51354,51070,50723,50060,49768,49835,50166,50522,50935,50967,50807,51012,51251,50869,50325,49991,49997,49819,50079,50014,50165,50311,49768,49359,49079,49177,48969,48986,48862,48289,48060,47736
"36003","Allegany, NY","2","CA1","3","...","Per capita personal income (dollars) 2/",2937,3216,3432,3519,3829,4207,4510,4799,5095,5542,6216,6972,7526,8136,8418,9151,9669,10260,11001,12043,12805,13562,13970,14957,15368,15540,16246,17188,17536,18227,18786,19520,20265,20552,21054,22144,23062,23751,24670,27608,27715,28708,29878,31277,31436,33128
"36005","Bronx, NY","2","CA1","1","...","Personal income (thousands of dollars)",5329176,5669776,5920578,6194123,6378012,6752299,7231341,7381215,7661092,8061775,8572871,9470790,10503813,11372497,12139828,13249400,13982185,14752907,15356955,16385121,17510160,18800612,19108645,19622776,20129564,20850761,21636630,22315526,22949154,23661071,24728947,26471267,28343670,30333251,31457814,33269472,33717186,35463907,37108689,39595522,39929725,41499790,43132855,43564483,44594940,46363710
"36005","Bronx, NY","2","CA1","2","...","Population (persons) 1/",1462899,1473725,1477415,1472522,1418906,1381620,1347971,1313977,1265495,1220938,1188566,1168403,1163912,1164329,1175406,1179413,1187894,1198837,1210712,1215834,1213675,1207053,1214835,1223153,1238907,1250789,1262064,1272693,1285683,1300823,1317895,1334319,1346555,1358739,1362373,1358963,1351736,1348164,1354056,1363488,1376261,1388314,1399815,1414225,1427317,1438159
"36005","Bronx, NY","2","CA1","3","...","Per capita personal income (dollars) 2/",3643,3847,4007,4206,4495,4887,5365,5617,6054,6603,7213,8106,9025,9767,10328,11234,11771,12306,12684,13476,14427,15576,15729,16043,16248,16670,17144,17534,17850,18189,18764,19839,21049,22325,23090,24482,24944,26305,27406,29040,29013,29892,30813,30804,31244,32238
"36007","Broome, NY","2","CA1","1","...","Personal income (thousands of dollars)",866857,924150,985880,1034630,1111220,1201605,1316766,1402221,1531144,1676920,1831067,2017306,2244369,2470613,2642002,2942210,3100138,3227369,3397974,3608602,3883083,4034611,4152045,4306798,4279242,4306195,4405211,4518683,4671281,4733961,4903719,5177335,5271497,5346358,5378376,5618717,5702836,6022059,6403138,6818431,6894873,7013156,7217959,7401477,7386542,7490893
"36007","Broome, NY","2","CA1","2","...","Population (persons) 1/",222021,222098,223043,219753,219714,218027,220038,219795,219098,217848,217081,213708,213544,213903,213413,213060,213846,212792,211283,211984,212406,212252,212820,213460,212756,210823,207478,204415,202053,201072,200881,200351,200868,201438,201037,200974,200477,200905,200877,201029,200935,200428,199335,198670,198203,197349
"36007","Broome, NY","2","CA1","3","...","Per capita personal income (dollars) 2/",3904,4161,4420,4708,5058,5511,5984,6380,6988,7698,8435,9440,10510,11550,12380,13809,14497,15167,16083,17023,18281,19009,19510,20176,20113,20426,21232,22105,23119,23544,24411,25841,26244,26541,26753,27957,28446,29975,31876,33918,34314,34991,36210,37255,37268,37958
"36009","Cattaraugus, NY","2","CA1","1","...","Personal income (thousands of dollars)",256863,273162,293046,313402,346437,382099,417600,447855,483171,526884,594064,654110,712318,762938,801038,880874,934448,980721,1033365,1098002,1180984,1257337,1291069,1380317,1395042,1434577,1500797,1573696,1639208,1681924,1750226,1808816,1944034,2008886,2105250,2183586,2197175,2236943,2350566,2509284,2575647,2643820,2658903,2722854,2717648,2782013
"36009","Cattaraugus, NY","2","CA1","2","...","Population (persons) 1/",81604,82173,84212,86187,84379,83943,84958,85551,85600,85882,85508,85806,86080,85877,85732,85296,85545,84880,83883,83510,83571,84455,84961,85326,85523,85097,85040,85284,84718,84519,84050,83927,83346,83301,83335,82864,82039,81342,81056,80761,80491,80227,79820,79342,78996,78600
"36009","Cattaraugus, NY","2","CA1","3","...","Per capita personal income (dollars) 2/",3148,3324,3480,3636,4106,4552,4915,5235,5645,6135,6947,7623,8275,8884,9344,10327,10923,11554,12319,13148,14132,14888,15196,16177,16312,16858,17648,18452,19349,19900,20824,21552,23325,24116,25262,26351,26782,27500,28999,31070,31999,32954,33311,34318,34402,35395
"36011","Cayuga, NY","2","CA1","1","...","Personal income (thousands of dollars)",258896,277744,299901,321034,353805,388270,417411,444015,477718,517228,578723,643749,715258,763550,803058,893206,943032,1008170,1060920,1128796,1243206,1327630,1351467,1427687,1474906,1532186,1590753,1683646,1735594,1749505,1827037,1894935,2004216,2055806,2151392,2263067,2234456,2233905,2386511,2514193,2513950,2609455,2759917,2866512,2891368,2977423
"36011","Cayuga, NY","2","CA1","2","...","Population (persons) 1/",76562,77648,78877,79361,79095,79322,79279,80348,80833,80962,80829,79952,80033,80020,80010,79889,79927,80272,80166,80659,82045,82446,82880,82889,82959,82933,82964,82846,82693,82497,82034,81871,81313,81401,81395,81284,81104,80892,80629,80482,80172,79826,79803,79617,79335,78823
"36011","Cayuga, NY","2","CA1","3","...","Per capita personal income (dollars) 2/",3382,3577,3802,4045,4473,4895,5265,5526,5910,6389,7160,8052,8937,9542,10037,11181,11799,12559,13234,13995,15153,16103,16306,17224,17779,18475,19174,20323,20988,21207,22272,23145,24648,25255,26432,27841,27551,27616,29599,31239,31357,32689,34584,36004,36445,37774
"36013","Chautauqua, NY","2","CA1","1","...","Personal income (thousands of dollars)",515841,549358,587495,624799,674543,740068,797289,853783,916411,1007623,1120169,1252430,1377670,1472337,1544390,1705395,1757475,1814916,1874595,1991754,2133630,2231464,2315990,2456508,2518028,2597686,2644908,2715467,2789486,2885165,2939772,3036016,3110021,3076269,3176029,3350975,3449373,3573574,3746925,4021125,4007075,4144173,4330904,4415926,4406032,4528939
"36013","Chautauqua, NY","2","CA1","2","...","Population (persons) 1/",147227,147815,150079,151623,149768,148706,149039,148909,148900,147839,146936,146961,146831,146333,145594,144859,144052,142865,141674,141420,141772,142054,142680,142603,143131,143041,142542,142476,141531,140784,140087,139593,138730,138346,137587,137174,136139,135640,135481,135229,135197,134839,134316,133458,133115,132053
"36013","Chautauqua, NY","2","CA1","3","...","Per capita personal income (dollars) 2/",3504,3717,3915,4121,4504,4977,5350,5734,6155,6816,7624,8522,9383,10062,10608,11773,12200,12704,13232,14084,15050,15709,16232,17226,17592,18160,18555,19059,19709,20494,20985,21749,22418,22236,23084,24429,25337,26346,27656,29736,29639,30734,32244,33089,33099,34296
"36015","Chemung, NY","2","CA1","1","...","Personal income (thousands of dollars)",371941,397483,418601,451342,493397,533555,573004,617840,662653,713374,773920,865166,946917,993210,1041159,1126028,1156241,1216869,1297028,1392867,1533921,1607862,1660486,1724350,1751328,1815536,1886083,1951613,2016989,2075861,2150317,2265743,2282261,2269594,2328718,2428244,2552110,2648543,2792858,3008842,2980918,3097371,3241398,3307433,3321098,3407233
"36015","Chemung, NY","2","CA1","2","...","Population (persons) 1/",101394,101457,101080,101665,100452,99936,100497,100008,99335,98689,99339,97443,96406,96032,94659,93190,92200,91179,91819,93142,94701,95292,95001,94954,94711,94132,93675,92972,92162,91791,91284,91094,90780,90613,90154,89777,88860,88732,88634,88503,88849,88947,88973,89231,88485,87770
"36015","Chemung, NY","2","CA1","3","...","Per capita personal income (dollars) 2/",3668,3918,4141,4440,4912,5339,5702,6178,6671,7229,7791,8879,9822,10342,10999,12083,12541,13346,14126,14954,16198,16873,17479,18160,18491,19287,20134,20991,21885,22615,23556,24873,25141,25047,25830,27048,28721,29849,31510,33997,33550,34823,36431,37066,37533,38820
"36017","Chenango, NY","2","CA1","1","...","Personal income (thousands of dollars)",155166,162043,170986,186746,208931,223887,258830,264022,284988,316292,356473,398319,434739,473476,502134,549720,589518,637987,669030,722875,785970,815164,836951,901945,917261,929498,944245,973374,998882,1027368,1082984,1124584,1190448,1191928,1219082,1303704,1332714,1370279,1424813,1509754,1511040,1571527,1654514,1732767,1754276,1813143
"36017","Chenango, NY","2","CA1","2","...","Population (persons) 1/",45954,46396,46624,47664,47421,47396,47988,48647,49150,49294,49369,49390,49482,49737,49869,49501,49668,50033,50626,51336,51611,51813,52160,52341,52552,52479,52127,52297,52017,51432,51286,51325,51109,51205,51393,51297,51154,51391,51463,51326,50639,50332,50214,49849,49518,49426
"36017","Chenango, NY","2","CA1","3","...","Per capita personal income (dollars) 2/",3377,3493,3667,3918,4406,4724,5394,5427,5798,6416,7221,8065,8786,9520,10069,11105,11869,12751,13215,14081,15229,15733,16046,17232,17454,17712,18114,18612,19203,19975,21117,21911,23292,23278,23721,25415,26053,26664,27686,29415,29839,31223,32949,34760,35427,36684
"36019","Clinton, NY","2","CA1","1","...","Personal income (thousands of dollars)",215166,250972,283176,307665,336062,369885,406812,426844,451950,502550,562370,615314,683709,742170,805266,903696,978129,1048059,1122137,1185200,1290365,1388304,1417220,1478153,1527284,1561356,1565329,1573414,1634049,1718616,1796130,1889022,2026166,2054505,2145482,2246587,2315349,2418051,2578830,2689056,2748192,2848400,2877945,2975312,2994312,3078222
"36019","Clinton, NY","2","CA1","2","...","Population (persons) 1/",72617,73724,76535,80625,79137,79859,80976,81038,81234,80817,80947,80692,80309,81202,81189,81769,82675,83147,83533,84209,85214,86160,86086,85555,86420,86444,82914,80440,80191,79926,79875,79891,80320,80707,81396,81803,82233,82547,82556,82401,82280,82066,81849,81826,81773,81632
"36019","Clinton, NY","2","CA1","3","...","Per capita personal income (dollars) 2/",2963,3404,3700,3816,4247,4632,5024,5267,5564,6218,6947,7625,8513,9140,9918,11052,11831,12605,13433,14075,15143,16113,16463,17277,17673,18062,18879,19560,20377,21503,22487,23645,25226,25456,26359,27463,28156,29293,31237,32634,33400,34709,35162,36361,36617,37709
"36021","Columbia, NY","2","CA1","1","...","Personal income (thousands of dollars)",181354,199719,224155,247131,277158,303691,337421,363243,398313,447202,513747,578953,628077,674509,718924,800159,854633,916545,977450,1054324,1147827,1169038,1183792,1264679,1312665,1344052,1419227,1477146,1546711,1638231,1711536,1826880,1844219,1811918,1876844,2080177,2129498,2213932,2335226,2459590,2468498,2531592,2667978,2758277,2768512,2850729
"36021","Columbia, NY","2","CA1","2","...","Population (persons) 1/",51250,52001,54184,56156,56472,56568,56902,57147,58417,58798,59192,59581,59845,60339,61239,61197,61291,61818,62033,62618,62863,63048,62967,63228,63428,63549,63790,63625,63505,63356,63217,63046,62953,63182,63304,63646,63717,63427,63430,63253,63023,63015,62644,62554,62289,62122
"36021","Columbia, NY","2","CA1","3","...","Per capita personal income (dollars) 2/",3539,3841,4137,4401,4908,5369,5930,6356,6818,7606,8679,9717,10495,11179,11740,13075,13944,14827,15757,16837,18259,18542,18800,20002,20695,21150,22248,23216,24356,25858,27074,28977,29295,28678,29648,32684,33421,34905,36816,38885,39168,40174,42590,44094,44446,45889
"36023","Cortland, NY","2","CA1","1","...","Personal income (thousands of dollars)",147869,157608,172246,186212,204707,223720,243934,261826,270748,300182,324744,360045,392574,422722,452278,497443,521068,565364,613170,660488,730281,750202,783505,835620,853452,872760,901341,923208,965856,991710,1025664,1104010,1132165,1127667,1178796,1240114,1255858,1303034,1384777,1473077,1510534,1569210,1648405,1717087,1719059,1762422
"36023","Cortland, NY","2","CA1","2","...","Population (persons) 1/",45554,45877,45794,46513,46853,47673,48187,48298,47835,48172,47879,48846,48858,48442,48124,47633,47659,47942,48259,48111,48488,49127,49280,49500,49584,49502,49123,48726,48619,48755,48734,48693,48903,48891,49475,49628,49330,49449,49624,49537,49358,49257,49520,49203,49149,49024
"36023","Cortland, NY","2","CA1","3","...","Per capita personal income (dollars) 2/",3246,3435,3761,4003,4369,4693,5062,5421,5660,6231,6783,7371,8035,8726,9398,10443,10933,11793,12706,13728,15061,15271,15899,16881,17212,17631,18349,18947,19866,20341,21046,22673,23151,23065,23826,24988,25458,26351,27905,29737,30604,31858,33288,34898,34976,35950
"36025","Delaware, NY","2","CA1","1","...","Personal income (thousands of dollars)",138197,145422,159476,172941,184629,196068,214458,227132,240634,268716,293479,331397,367892,400149,420747,475035,496650,538169,566885,604100,671939,689780,720099,769602,784717,810384,834965,881352,920996,968415,1023032,1059434,1099818,1112063,1161456,1232949,1276970,1302510,1347024,1420203,1446698,1481875,1546447,1601542,1627204,1692381
"36025","Delaware, NY","2","CA1","2","...","Population (persons) 1/",44598,44996,46167,46923,46693,46771,47195,47606,47766,47450,47375,46818,46708,46493,46254,46233,46329,46067,46547,46947,47148,47464,47733,48021,48387,48526,48638,48342,47878,47999,48069,47864,47771,47666,47930,48283,48377,48271,48450,48363,48182,47856,47625,47166,46885,46581
"36025","Delaware, NY","2","CA1","3","...","Per capita personal income (dollars) 2/",3099,3232,3454,3686,3954,4192,4544,4771,5038,5663,6195,7078,7876,8607,9096,10275,10720,11682,12179,12868,14252,14533,15086,16026,16218,16700,17167,18232,19236,20176,21283,22134,23023,23330,24232,25536,26396,26983,27802,29365,30026,30965,32471,33955,34706,36332
"36027","Dutchess, NY","2","CA1","1","...","Personal income (thousands of dollars)",888907,979999,1063402,1147622,1278533,1422929,1576495,1677531,1825059,2034870,2286652,2576645,2918922,3271246,3549864,4005674,4337668,4630423,4858831,5200734,5655490,5987611,6116924,6268959,6314710,6322958,6709048,7065162,7574224,7844251,8301630,8935712,9488215,9395204,9795119,10297296,10970148,11575683,12098497,12595814,12202808,12377023,12918843,13417810,13429567,13983915
"36027","Dutchess, NY","2","CA1","2","...","Population (persons) 1/",218638,223524,228867,227507,232528,234738,238022,237786,238887,240403,242168,245337,246001,246676,248683,250646,252443,253212,255937,259259,258634,260238,261952,264450,265585,264860,266538,268986,270935,273784,277586,280914,284712,287700,290781,292859,294362,294712,295319,296267,296887,297687,298272,297340,297063,296579
