"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"44000","Rhode Island state total","1","CA1","1","...","Personal income (thousands of dollars)",3738588,4085172,4325615,4709168,5025485,5263286,5700406,6224331,6808542,7472408,8304223,9335325,10402978,11168804,12049253,13280099,14283447,15348279,16479434,18173181,19796408,20307648,20434051,21390795,22307228,22867101,24111072,24982118,26452272,28276974,29511489,31732731,33378279,34855461,36571921,38214313,39076785,41225367,43023232,44193339,43285218,45004874,46596360,48509355,48607267,51026876
"44000","Rhode Island state total","1","CA1","2","...","Population (persons) 1/",932000,950561,963974,976365,978010,953503,946339,950321,955128,957237,956643,948773,953012,954170,956382,961895,968956,977340,989605,996407,1000666,1005995,1010649,1012581,1015112,1015960,1017002,1020893,1025353,1031155,1040402,1050268,1057142,1065995,1071342,1074579,1067916,1063096,1057315,1055003,1053646,1053078,1052020,1052637,1053354,1055173
"44000","Rhode Island state total","1","CA1","3","...","Per capita personal income (dollars) 2/",4011,4298,4487,4823,5138,5520,6024,6550,7128,7806,8681,9839,10916,11705,12599,13806,14741,15704,16653,18239,19783,20187,20219,21125,21975,22508,23708,24471,25798,27423,28365,30214,31574,32698,34137,35562,36592,38779,40691,41889,41081,42737,44292,46084,46145,48359
"44001","Bristol, RI","1","CA1","1","...","Personal income (thousands of dollars)",203799,215362,228631,244280,262229,276111,297808,329658,363404,396926,444396,499232,561756,609003,658929,737941,789737,845216,905264,1025755,1136757,1145505,1148219,1228316,1284690,1331638,1457437,1521377,1585974,1703302,1852510,1990704,2105767,2193623,2345781,2486138,2561873,2750929,2900524,2936581,2711801,2958656,2974735,3215817,3151988,3274104
"44001","Bristol, RI","1","CA1","2","...","Population (persons) 1/",44870,45880,46264,46702,46849,46692,46707,47176,47761,47734,46845,46827,46258,46487,47279,47374,47630,48201,48456,49269,48866,48915,49130,49310,49604,49656,49750,49868,50028,50328,50466,50697,50942,51850,51658,52213,51667,50996,50914,50668,50075,49846,49284,49238,49263,49060
"44001","Bristol, RI","1","CA1","3","...","Per capita personal income (dollars) 2/",4542,4694,4942,5231,5597,5913,6376,6988,7609,8315,9487,10661,12144,13101,13937,15577,16581,17535,18682,20819,23263,23418,23371,24910,25899,26817,29295,30508,31702,33844,36708,39267,41337,42307,45410,47615,49584,53944,56969,57957,54155,59356,60359,65312,63983,66737
"44003","Kent, RI","1","CA1","1","...","Personal income (thousands of dollars)",565485,608242,647836,714703,781409,839478,929306,1021639,1122066,1234866,1396907,1602626,1775161,1890069,2031842,2228216,2363197,2549664,2760087,3033764,3283911,3379527,3419308,3585076,3753531,3856274,4063976,4236395,4470477,4722223,4973072,5297571,5516664,5874793,6313666,6567149,6684717,7053992,7350819,7425251,7314972,7442901,7813307,8045403,8120126,8493877
"44003","Kent, RI","1","CA1","2","...","Population (persons) 1/",138921,142590,144814,147335,149030,149482,149975,151903,154484,154250,154280,154219,154084,153908,153901,154905,156019,157306,159908,160284,160283,161463,162230,163076,163967,164223,164106,164373,164505,164932,166044,167516,168516,169478,170641,170539,169815,168522,167515,167269,166766,166009,165306,164900,164923,165128
"44003","Kent, RI","1","CA1","3","...","Per capita personal income (dollars) 2/",4071,4266,4474,4851,5243,5616,6196,6726,7263,8006,9054,10392,11521,12281,13202,14384,15147,16208,17260,18927,20488,20931,21077,21984,22892,23482,24764,25773,27175,28631,29950,31624,32737,34664,37000,38508,39365,41858,43882,44391,43864,44834,47266,48790,49236,51438
"44005","Newport, RI","1","CA1","1","...","Personal income (thousands of dollars)",416267,478397,504286,544129,533890,480466,500193,550226,613704,681811,771310,891056,1042134,1145931,1221385,1364265,1495725,1615792,1712762,1855186,1966678,1942989,1953555,2050233,2138662,2184894,2336247,2427437,2564759,2773749,2952605,3174827,3223800,3327087,3471478,3614362,3675975,3897359,4010488,4131169,3954851,4009501,4281564,4543595,4532345,4734561
