"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"47000","Tennessee state total","5","CA1","1","...","Personal income (thousands of dollars)",11816751,12843600,14182933,15960357,18114084,20047468,21881351,24475271,27121191,30914798,34460508,38000362,42287567,44963374,48000072,53410068,57236417,61284468,66008117,71769376,77069823,81934674,86089981,94249674,100336091,106695942,114573451,121011953,128174369,141011492,147279190,156871662,161865574,165838781,172239450,182791172,189888868,201366539,211376152,220580209,217353953,226301735,238810140,252635759,255422103,264965180
"47000","Tennessee state total","5","CA1","2","...","Population (persons) 1/",3897000,3936975,4010238,4088445,4138417,4201621,4260829,4329160,4401939,4461639,4533297,4600252,4627662,4646043,4659757,4686743,4715292,4738708,4782939,4822438,4854432,4894492,4966587,5049742,5137584,5231438,5326936,5416643,5499233,5570045,5638706,5703719,5750789,5795918,5847812,5910809,5991057,6088766,6175727,6247411,6306019,6356628,6398389,6455177,6497269,6549352
"47000","Tennessee state total","5","CA1","3","...","Per capita personal income (dollars) 2/",3032,3262,3537,3904,4377,4771,5135,5654,6161,6929,7602,8260,9138,9678,10301,11396,12138,12933,13801,14882,15876,16740,17334,18664,19530,20395,21508,22341,23308,25316,26119,27503,28147,28613,29454,30925,31695,33072,34227,35307,34468,35601,37323,39137,39312,40457
"47001","Anderson, TN","5","CA1","1","...","Personal income (thousands of dollars)",187586,208228,232157,253819,277610,310857,359249,401139,447581,502793,555045,603671,666463,716313,757984,830549,866547,896095,949226,1048646,1131270,1178732,1248748,1333020,1396292,1445581,1527602,1566353,1633106,1730444,1764920,1843753,1920560,2010045,2097563,2124894,2191891,2333496,2438100,2646169,2608163,2705602,2873170,2957104,2947835,3048403
"47001","Anderson, TN","5","CA1","2","...","Population (persons) 1/",60426,60538,61673,61041,60965,61552,61796,63356,65202,65100,66029,67467,67818,67762,67885,67879,67398,67047,67544,67902,68084,68406,69292,70509,70837,71151,71597,71797,71736,71321,71454,71357,71461,71515,71608,71587,72040,73117,73580,74397,75031,75146,75212,75349,75494,75528
"47001","Anderson, TN","5","CA1","3","...","Per capita personal income (dollars) 2/",3104,3440,3764,4158,4554,5050,5813,6332,6865,7723,8406,8948,9827,10571,11166,12236,12857,13365,14053,15444,16616,17231,18022,18906,19711,20317,21336,21816,22766,24263,24700,25838,26876,28107,29292,29683,30426,31915,33135,35568,34761,36005,38201,39245,39047,40361
"47003","Bedford, TN","5","CA1","1","...","Personal income (thousands of dollars)",76294,80817,86121,98329,109440,117199,121018,143950,155909,175192,197877,212128,240262,250761,263883,306576,325046,352222,382965,426699,456397,470260,491840,536300,564239,595642,643450,669532,722514,797200,829285,883996,929788,916451,969238,1047192,1099863,1147246,1196840,1237093,1241263,1281894,1349526,1415170,1475136,1537238
"47003","Bedford, TN","5","CA1","2","...","Population (persons) 1/",24918,24954,24820,25135,25863,26111,26193,26615,26612,27260,27501,27949,28026,28360,28393,28841,29146,29452,29554,29797,30071,30583,31292,32194,32785,33273,34251,35154,35710,36275,36931,37806,38414,38960,39697,40558,41616,42780,43678,44395,44845,45112,45313,45400,45849,46627
"47003","Bedford, TN","5","CA1","3","...","Per capita personal income (dollars) 2/",3062,3239,3470,3912,4232,4488,4620,5409,5859,6427,7195,7590,8573,8842,9294,10630,11152,11959,12958,14320,15177,15377,15718,16658,17210,17902,18786,19046,20233,21977,22455,23382,24204,23523,24416,25820,26429,26817,27401,27866,27679,28416,29782,31171,32174,32969
"47005","Benton, TN","5","CA1","1","...","Personal income (thousands of dollars)",30943,34408,39130,41971,49457,56051,61964,72105,80178,90366,101854,111825,126428,126094,126387,143206,149517,157215,166268,182986,198187,209692,227816,229297,243979,263620,278081,281093,299044,306493,319508,336807,329356,334618,339085,348037,370807,388130,415740,449369,452786,472173,495151,513693,518121,527285
"47005","Benton, TN","5","CA1","2","...","Population (persons) 1/",12004,12173,12518,12652,12805,12928,13524,13833,14364,14572,14834,14912,14926,14985,14850,14793,14744,14581,14436,14447,14460,14580,14843,15083,15261,15498,15830,16094,16299,16353,16519,16537,16673,16572,16531,16517,16515,16435,16490,16431,16424,16500,16428,16369,16282,16145
"47005","Benton, TN","5","CA1","3","...","Per capita personal income (dollars) 2/",2578,2827,3126,3317,3862,4336,4582,5213,5582,6201,6866,7499,8470,8415,8511,9681,10141,10782,11518,12666,13706,14382,15348,15202,15987,17010,17567,17466,18347,18742,19342,20367,19754,20192,20512,21071,22453,23616,25212,27349,27569,28617,30141,31382,31822,32659
"47007","Bledsoe, TN","5","CA1","1","...","Personal income (thousands of dollars)",14550,16810,18603,21862,25780,26920,30734,35859,38458,44908,49422,51781,56642,60410,67995,78740,84449,88704,92071,97651,104764,107543,111835,122170,137521,150185,157522,173932,192372,209372,215283,223758,223450,211972,204844,213828,218340,223258,227676,244128,247674,255548,263622,274830,280940,298572
"47007","Bledsoe, TN","5","CA1","2","...","Population (persons) 1/",7678,7629,7664,7954,8085,8305,8807,9137,9132,9101,9374,9469,9419,9470,9490,9740,9824,9721,9818,9665,9688,9711,9873,10010,10211,10511,10918,11217,11501,11834,12142,12390,12468,12446,12502,12610,12685,12847,13028,13070,12924,12866,12834,12781,13786,13931
"47007","Bledsoe, TN","5","CA1","3","...","Per capita personal income (dollars) 2/",1895,2203,2427,2749,3189,3241,3490,3925,4211,4934,5272,5468,6014,6379,7165,8084,8596,9125,9378,10104,10814,11074,11327,12205,13468,14288,14428,15506,16727,17692,17730,18060,17922,17031,16385,16957,17212,17378,17476,18679,19164,19862,20541,21503,20379,21432
"47009","Blount, TN","5","CA1","1","...","Personal income (thousands of dollars)",188054,204246,212171,233624,271165,312290,340033,388084,449704,518185,588184,669961,751395,821179,866671,935372,988351,1050552,1117653,1213663,1283180,1411002,1476228,1596605,1710524,1781576,1899222,1998290,2134032,2359304,2482402,2646036,2737238,2874189,3071556,3215823,3363605,3629287,3820598,3943195,3900626,4034382,4242707,4449901,4504532,4685239
"47009","Blount, TN","5","CA1","2","...","Population (persons) 1/",63302,63811,64177,64355,66892,68361,68862,70284,72058,73585,75133,77946,78490,79403,80531,80837,81556,82182,83362,84381,85053,86317,88506,90718,92984,95003,97676,99821,100958,102631,104492,106193,107916,109515,111156,113151,115336,118228,119950,121716,122689,123151,123625,124016,125045,126339
"47009","Blount, TN","5","CA1","3","...","Per capita personal income (dollars) 2/",2971,3201,3306,3630,4054,4568,4938,5522,6241,7042,7829,8595,9573,10342,10762,11571,12119,12783,13407,14383,15087,16347,16679,17600,18396,18753,19444,20019,21138,22988,23757,24917,25365,26245,27633,28421,29164,30697,31852,32397,31793,32760,34319,35882,36023,37085
"47011","Bradley, TN","5","CA1","1","...","Personal income (thousands of dollars)",146927,161418,182742,209323,240922,256156,270979,311488,341565,390260,443875,509212,576308,616364,681058,755703,813311,869886,953485,1038484,1142029,1196893,1258047,1389055,1439267,1539420,1619872,1738672,1884789,2051433,2113622,2147510,2276845,2324053,2465784,2644874,2729075,2843100,3009259,3197070,3154503,3223604,3491740,3777569,3916401,4089610
"47011","Bradley, TN","5","CA1","2","...","Population (persons) 1/",49530,51133,53416,55012,57531,59462,60011,61237,62867,64392,66373,67724,68299,68503,68786,69831,70740,70996,71422,72839,73369,73990,75115,76294,77784,78743,80370,81960,84684,86120,87125,88206,88934,89711,90399,91814,93024,94638,96336,97547,98360,99142,99911,101117,101873,102975
"47011","Bradley, TN","5","CA1","3","...","Per capita personal income (dollars) 2/",2966,3157,3421,3805,4188,4308,4515,5087,5433,6061,6688,7519,8438,8998,9901,10822,11497,12253,13350,14257,15566,16176,16748,18207,18503,19550,20155,21214,22257,23821,24260,24347,25602,25906,27277,28807,29337,30042,31237,32775,32071,32515,34949,37358,38444,39715
"47013","Campbell, TN","5","CA1","1","...","Personal income (thousands of dollars)",49363,56480,66696,76228,88181,104446,123099,137540,160992,184427,209148,225997,251501,263931,276418,297673,303783,315424,332682,357683,371642,396988,415055,452837,486988,515697,561015,589642,625751,675875,698488,741105,821426,826142,862679,930617,976685,963166,1022370,1065939,1069342,1107690,1141897,1176087,1191130,1216428
"47013","Campbell, TN","5","CA1","2","...","Population (persons) 1/",26268,26297,27549,28636,29447,29735,31091,32304,32986,33405,34327,35020,35336,35343,35563,35487,35596,35445,34832,34698,34912,35178,35509,35846,36392,36878,37535,37881,38675,39107,39514,39880,39802,39824,39957,40371,40397,40475,40480,40672,40790,40704,40559,40429,40195,39918
