"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"55000","Wisconsin state total","3","CA1","1","...","Personal income (thousands of dollars)",16412939,17608648,18906602,20672925,23063852,25336188,27780259,30473081,34051662,38047473,42628337,47052952,51320993,54102808,56952258,62644454,66041717,69705474,73574026,78143063,85276226,90143238,93632279,101190913,106442538,113017540,118778601,125662960,133284392,142484680,148286535,157900833,164764680,169128407,174812203,183894824,190293393,202289270,211378404,219886069,217246585,220826360,233131994,243096269,245437590,254404802
"55000","Wisconsin state total","3","CA1","2","...","Population (persons) 1/",4378000,4425944,4459968,4498433,4518461,4538173,4569616,4584688,4613299,4631944,4665911,4712045,4726345,4728862,4721438,4735571,4747765,4755625,4777923,4822391,4856568,4904562,4964343,5025398,5084889,5133678,5184836,5229986,5266213,5297672,5332666,5373999,5406835,5445162,5479203,5514026,5546166,5577655,5610775,5640996,5669264,5689268,5708785,5724888,5742953,5757564
"55000","Wisconsin state total","3","CA1","3","...","Per capita personal income (dollars) 2/",3749,3979,4239,4596,5104,5583,6079,6647,7381,8214,9136,9986,10858,11441,12062,13228,13910,14657,15399,16204,17559,18379,18861,20136,20933,22015,22909,24027,25309,26896,27807,29382,30473,31060,31905,33350,34311,36268,37674,38980,38320,38815,40837,42463,42737,44186
"55001","Adams, WI","3","CA1","1","...","Personal income (thousands of dollars)",22990,25550,28566,31129,39147,45525,54712,58539,65574,78209,88615,104401,111908,112875,127199,138947,144579,152981,155887,163070,188476,191064,210079,228205,248037,270762,288970,315022,347174,368774,394603,427136,468102,506997,523402,545778,565721,594344,614113,654905,670057,677613,715964,740098,754885,770129
"55001","Adams, WI","3","CA1","2","...","Population (persons) 1/",8875,9302,9740,10321,10891,11242,12013,12452,12487,12936,13437,13573,14008,14320,14405,14539,14767,14779,15030,15115,15480,15696,15954,16151,16533,17051,17246,17545,17989,18158,18462,20047,20337,20578,20644,20774,21211,21185,21156,21101,20930,20864,20908,20528,20504,20215
"55001","Adams, WI","3","CA1","3","...","Per capita personal income (dollars) 2/",2590,2747,2933,3016,3594,4050,4554,4701,5251,6046,6595,7692,7989,7882,8830,9557,9791,10351,10372,10789,12175,12173,13168,14129,15003,15880,16756,17955,19299,20309,21374,21307,23017,24638,25354,26272,26671,28055,29028,31037,32014,32478,34244,36053,36816,38097
"55003","Ashland, WI","3","CA1","1","...","Personal income (thousands of dollars)",47342,50559,53945,57420,62659,68834,78411,85644,93772,108796,118727,126632,140210,150344,163472,175961,183678,193585,193425,203997,218272,223675,234067,246372,263315,280429,296140,309366,326181,344500,354339,370265,397506,394815,402996,417701,425265,443288,459927,469448,495291,493334,510910,527749,538938,552197
"55003","Ashland, WI","3","CA1","2","...","Population (persons) 1/",17188,16704,16495,16254,16379,16245,16506,16569,16824,16381,16285,16913,17391,17365,17309,17043,16745,16568,16615,16475,16519,16268,16316,16512,16761,16764,16847,16891,16905,16896,16891,16823,16773,16747,16647,16547,16407,16408,16199,16145,16128,16165,16084,15907,16064,16103
"55003","Ashland, WI","3","CA1","3","...","Per capita personal income (dollars) 2/",2754,3027,3270,3533,3826,4237,4750,5169,5574,6642,7291,7487,8062,8658,9444,10325,10969,11684,11642,12382,13213,13749,14346,14921,15710,16728,17578,18315,19295,20389,20978,22009,23699,23575,24208,25243,25920,27017,28392,29077,30710,30519,31765,33177,33549,34292
"55005","Barron, WI","3","CA1","1","...","Personal income (thousands of dollars)",95630,103493,112910,125815,146773,157268,178603,194155,228885,257430,281901,322065,348175,370062,370404,452278,477202,500000,504180,521278,579470,604238,634941,686440,716440,771275,802356,863464,913240,1002980,1034872,1084287,1163659,1173514,1223174,1279266,1334318,1412245,1497883,1553699,1605794,1610938,1734270,1946285,1890712,1997677
