"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"54000","West Virginia state total","5","CA1","1","...","Personal income (thousands of dollars)",4937940,5498992,6033654,6678475,7301761,8092684,9145345,10188341,11393983,12680883,14145657,15557866,16961583,17969907,18449453,19840150,20661268,21170283,21701260,23149755,24528618,26120068,27204930,29317122,30399534,31692701,32740269,34072081,35498621,36911166,37817913,39953156,41985359,43701760,44707442,46315259,47989066,51763927,53766821,57780373,58073821,59526356,63461054,65665367,65177629,66856850
"54000","West Virginia state total","5","CA1","2","...","Population (persons) 1/",1746000,1746629,1770252,1796910,1805293,1814048,1840548,1877440,1905628,1920342,1939062,1951349,1954125,1949605,1945058,1927696,1906831,1882352,1857583,1830213,1806570,1792548,1798735,1806451,1817539,1820421,1823700,1822808,1819113,1815609,1811799,1807021,1801481,1805414,1812295,1816438,1820492,1827912,1834052,1840310,1847775,1854176,1854982,1856313,1853595,1850326
"54000","West Virginia state total","5","CA1","3","...","Per capita personal income (dollars) 2/",2828,3148,3408,3717,4045,4461,4969,5427,5979,6603,7295,7973,8680,9217,9485,10292,10835,11247,11683,12649,13577,14571,15124,16229,16726,17410,17953,18692,19514,20330,20873,22110,23306,24206,24669,25498,26360,28319,29316,31397,31429,32104,34211,35374,35163,36132
"54001","Barbour, WV","5","CA1","1","...","Personal income (thousands of dollars)",31252,34700,40694,48087,53519,58030,68867,74102,83843,90209,102825,113831,124552,135150,134435,144791,146663,149160,146845,153963,162139,169195,177159,191157,201664,210816,214451,224622,236157,243483,249283,263807,279647,296825,312663,317464,328647,358733,384384,413535,422777,434780,456296,481839,482366,497978
"54001","Barbour, WV","5","CA1","2","...","Population (persons) 1/",13809,14166,14721,14975,15080,15083,15352,15864,15975,15965,16158,16661,16736,16734,16738,16852,16754,16479,16255,15964,15730,15675,15572,15760,15806,15925,15948,15981,15698,15735,15616,15560,15436,15569,15639,15629,15722,15922,16036,16241,16479,16596,16596,16860,16796,16766
"54001","Barbour, WV","5","CA1","3","...","Per capita personal income (dollars) 2/",2263,2450,2764,3211,3549,3847,4486,4671,5248,5650,6364,6832,7442,8076,8032,8592,8754,9052,9034,9644,10308,10794,11377,12129,12759,13238,13447,14056,15044,15474,15963,16954,18117,19065,19993,20312,20904,22531,23970,25462,25656,26198,27494,28579,28719,29702
"54003","Berkeley, WV","5","CA1","1","...","Personal income (thousands of dollars)",126637,134618,148556,166707,187102,207712,229166,253713,281212,320912,362957,403268,450848,485144,516841,583976,630129,681777,738909,817726,896444,951316,987584,1060136,1114376,1167294,1236132,1319214,1436737,1515410,1601919,1779257,1902590,2074062,2274035,2409304,2586163,2897445,3076120,3315728,3364813,3477015,3654652,3779285,3808500,3959825
"54003","Berkeley, WV","5","CA1","2","...","Population (persons) 1/",37570,36437,37181,38572,39750,40917,41549,43008,43776,44038,45311,46995,47829,48528,49664,50337,51160,52227,53472,55546,57276,59839,61582,63010,64396,65800,67117,68667,70061,72285,74366,76357,78428,80875,84524,88258,92114,96318,99132,101629,102830,104659,105719,107062,108684,110497
"54003","Berkeley, WV","5","CA1","3","...","Per capita personal income (dollars) 2/",3371,3695,3995,4322,4707,5076,5516,5899,6424,7287,8010,8581,9426,9997,10407,11601,12317,13054,13819,14722,15651,15898,16037,16825,17305,17740,18418,19212,20507,20964,21541,23302,24259,25645,26904,27298,28076,30082,31031,32626,32722,33222,34569,35300,35042,35836
"54005","Boone, WV","5","CA1","1","...","Personal income (thousands of dollars)",61745,77085,85387,103059,117201,136887,153422,165566,190767,219946,245746,262345,274951,317271,308467,323706,324360,333546,343774,351129,326997,353804,395653,397793,384189,424009,431643,429483,435162,450849,458241,470676,481928,499778,520503,548133,574852,619127,636273,707633,719675,740734,802086,788117,740700,747606
