"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"56000","Wyoming state total","7","CA1","1","...","Personal income (thousands of dollars)",1211800,1340970,1489501,1674888,1955087,2287808,2592763,2866956,3346805,3998754,4673909,5451246,6230971,6552885,6481624,6760300,7066297,7021157,6754137,6890814,7550290,8161335,8564768,9072027,9580114,10022682,10491936,10954402,11730537,12480529,13319698,14314546,15203962,15721758,16815390,18171214,20136198,23094580,24339511,26720035,24159185,25308951,27893467,30087324,30205928,31885231
"56000","Wyoming state total","7","CA1","2","...","Population (persons) 1/",329000,333795,340023,346863,353353,364548,380477,395446,411530,430897,451850,474185,491712,506400,510344,504895,499696,495633,476966,465103,458373,453690,459260,466251,473081,480283,485160,488167,489451,490787,491780,494300,494657,500017,503453,509106,514157,522667,534876,546043,559851,564358,567631,576893,583223,584153
"56000","Wyoming state total","7","CA1","3","...","Per capita personal income (dollars) 2/",3683,4017,4381,4829,5533,6276,6815,7250,8133,9280,10344,11496,12672,12940,12701,13390,14141,14166,14161,14816,16472,17989,18649,19457,20250,20868,21626,22440,23967,25430,27085,28959,30736,31442,33400,35692,39164,44186,45505,48934,43153,44846,49140,52154,51791,54584
"56001","Albany, WY","7","CA1","1","...","Personal income (thousands of dollars)",73699,80527,89693,96770,108047,119324,137035,151350,177921,204354,227455,263070,299990,326883,344231,362280,376570,387647,377377,388333,416552,443264,462371,494873,513310,550283,590127,603340,632585,666294,701202,758115,819795,861298,926638,938213,953859,1003369,1042300,1152961,1138037,1193276,1319993,1370897,1376964,1431894
"56001","Albany, WY","7","CA1","2","...","Population (persons) 1/",26110,26469,26534,26753,26714,27221,26888,27584,27937,28119,28773,29221,29795,30608,30947,30905,30642,30549,30463,30553,30844,30879,31285,31566,32227,32526,32742,32879,32264,32179,32192,31966,32419,32675,33098,33580,33631,33950,33858,34643,35743,36440,36913,37363,37574,37811
"56001","Albany, WY","7","CA1","3","...","Per capita personal income (dollars) 2/",2823,3042,3380,3617,4045,4384,5097,5487,6369,7267,7905,9003,10068,10680,11123,11722,12289,12689,12388,12710,13505,14355,14779,15677,15928,16918,18024,18350,19607,20706,21782,23716,25287,26360,27997,27940,28362,29554,30784,33281,31839,32746,35760,36691,36647,37870
"56003","Big Horn, WY","7","CA1","1","...","Personal income (thousands of dollars)",31349,34969,38826,44140,53272,55925,57841,61732,66815,79138,89965,107104,115937,123376,116420,125675,127908,123424,121903,127525,133711,149994,157424,161672,161737,168687,178231,190922,207375,220247,232932,240000,257301,248272,266202,271668,300741,336074,310157,353418,347774,370650,403855,420567,420961,435544
"56003","Big Horn, WY","7","CA1","2","...","Population (persons) 1/",10053,10264,10499,10428,10620,10601,10902,11286,11435,11653,11842,12030,12547,12791,12691,12287,12166,11912,11376,11088,10838,10487,10582,10708,10770,10950,11228,11334,11255,11520,11480,11398,11209,11157,11073,11231,11193,11222,11350,11419,11541,11674,11745,11778,12006,11930
"56003","Big Horn, WY","7","CA1","3","...","Per capita personal income (dollars) 2/",3118,3407,3698,4233,5016,5275,5306,5470,5843,6791,7597,8903,9240,9646,9173,10228,10514,10361,10716,11501,12337,14303,14877,15098,15017,15405,15874,16845,18425,19119,20290,21056,22955,22253,24041,24189,26869,29948,27327,30950,30134,31750,34385,35708,35063,36508
"56005","Campbell, WY","7","CA1","1","...","Personal income (thousands of dollars)",40445,45951,46728,54027,60932,74870,106711,135871,190726,232175,279446,347811,487971,541545,490025,521826,569217,527305,488718,473623,504090,537546,574563,578703,606793,637370,665906,707561,756012,792557,844436,924696,1058603,1064765,1110047,1207226,1386726,1643547,1760168,2036132,1891548,1999237,2120621,2235177,2209788,2352749
"56005","Campbell, WY","7","CA1","2","...","Population (persons) 1/",13212,13049,13514,11960,12529,12434,13678,15271,17767,20159,22122,25166,28313,31559,33168,33820,34864,34600,31313,30544,29790,29403,29826,30517,30544,30835,31440,31946,32098,32452,32844,33979,34699,36193,36586,36907,37888,39497,41651,42846,45650,46223,46590,47897,48210,48320
"56005","Campbell, WY","7","CA1","3","...","Per capita personal income (dollars) 2/",3061,3521,3458,4517,4863,6021,7802,8897,10735,11517,12632,13821,17235,17160,14774,15430,16327,15240,15608,15506,16921,18282,19264,18963,19866,20670,21180,22149,23553,24422,25711,27214,30508,29419,30341,32710,36601,41612,42260,47522,41436,43252,45517,46666,45837,48691
"56007","Carbon, WY","7","CA1","1","...","Personal income (thousands of dollars)",54433,59442,68425,79276,88484,107141,120145,134632,159859,194110,243700,290528,295827,283502,273022,274291,265913,259004,236989,238537,265482,286656,297393,302773,310661,318903,318423,318445,342255,348850,357207,374301,390779,398537,424124,447940,500043,559651,606635,658512,576790,597340,669304,699822,723936,776696
"56007","Carbon, WY","7","CA1","2","...","Population (persons) 1/",13113,13485,13993,14517,15473,16175,16802,17257,18122,19145,20351,22031,22526,22374,21354,20392,19494,18638,17974,17437,16984,16608,16406,16149,16282,16150,16174,16091,15914,15757,15730,15582,15217,15256,15240,15236,15077,15136,15494,15658,15977,15835,15818,15679,15791,15854
"56007","Carbon, WY","7","CA1","3","...","Per capita personal income (dollars) 2/",4151,4408,4890,5461,5719,6624,7151,7802,8821,10139,11975,13187,13133,12671,12786,13451,13641,13897,13185,13680,15631,17260,18127,18749,19080,19746,19687,19790,21507,22139,22709,24021,25680,26123,27830,29400,33166,36975,39153,42056,36101,37723,42313,44634,45845,48991
"56009","Converse, WY","7","CA1","1","...","Personal income (thousands of dollars)",22273,23288,29771,35011,35762,42541,53152,66113,83859,100931,125641,163494,173197,163977,160800,168686,178910,178369,166548,162728,171610,176201,184081,195648,209159,211128,222548,233425,256942,273597,294724,309915,342134,339188,360926,387815,425264,464013,478437,571384,541872,553793,619626,651160,666988,726168
"56009","Converse, WY","7","CA1","2","...","Population (persons) 1/",5858,6072,6533,6551,6673,6881,7662,8836,9906,11390,12478,14223,14815,15036,15022,14417,13955,13318,12248,11710,11443,11069,11081,11277,11436,11492,11713,11856,12011,11911,11993,12083,11996,12196,12232,12350,12595,12801,13071,13486,13839,13817,13720,14005,14316,14097
"56009","Converse, WY","7","CA1","3","...","Per capita personal income (dollars) 2/",3802,3835,4557,5344,5359,6182,6937,7482,8465,8861,10069,11495,11691,10906,10704,11700,12820,13393,13598,13896,14997,15918,16612,17349,18290,18372,19000,19688,21392,22970,24575,25649,28521,27811,29507,31402,33765,36248,36603,42369,39155,40081,45162,46495,46590,51512
"56011","Crook, WY","7","CA1","1","...","Personal income (thousands of dollars)",15307,16003,17930,21721,24350,22846,26106,29041,34008,40121,46021,52218,62379,66887,70487,75148,81625,84524,84250,85124,89309,96703,105496,108091,120140,116593,119745,123818,135156,133627,143400,150162,171206,174298,184882,198826,230436,246089,250085,270867,252836,259423,300871,304214,307666,337242
"56011","Crook, WY","7","CA1","2","...","Population (persons) 1/",4546,4529,4491,4580,4488,4484,4702,4882,4984,5246,5301,5345,5481,5620,5766,5813,5787,5738,5575,5476,5353,5302,5315,5405,5435,5657,5682,5813,5859,5851,5849,5902,5778,5926,5981,6052,6176,6286,6617,6823,6965,7108,7121,7139,7158,7248
"56011","Crook, WY","7","CA1","3","...","Per capita personal income (dollars) 2/",3367,3533,3992,4743,5426,5095,5552,5949,6823,7648,8682,9770,11381,11902,12225,12928,14105,14731,15112,15545,16684,18239,19849,19998,22105,20610,21074,21300,23068,22838,24517,25443,29631,29412,30912,32853,37312,39149,37794,39699,36301,36497,42251,42613,42982,46529
"56013","Fremont, WY","7","CA1","1","...","Personal income (thousands of dollars)",82334,92310,102338,110934,119369,142523,160518,185875,224423,276354,326303,372196,392656,391820,398162,400930,400105,391502,380794,399306,427358,468001,503354,535506,563415,593006,635027,662012,688859,741484,795125,827218,860062,891301,919865,987946,1060311,1177055,1260629,1363818,1333535,1396346,1516800,1605043,1621487,1667592
"56013","Fremont, WY","7","CA1","2","...","Population (persons) 1/",27893,28406,28686,30115,30092,30922,31603,32439,34078,36141,38201,39071,39308,38492,38692,37967,36996,35796,34842,34384,34190,33565,34049,34153,34568,34928,35419,35620,35697,35704,35729,35840,35718,36015,36130,36383,36838,37408,38132,38907,39685,40224,40589,41125,41052,40703
"56013","Fremont, WY","7","CA1","3","...","Per capita personal income (dollars) 2/",2952,3250,3568,3684,3967,4609,5079,5730,6586,7647,8542,9526,9989,10179,10291,10560,10815,10937,10929,11613,12500,13943,14783,15680,16299,16978,17929,18585,19297,20768,22254,23081,24079,24748,25460,27154,28783,31465,33060,35053,33603,34714,37370,39028,39498,40970
"56015","Goshen, WY","7","CA1","1","...","Personal income (thousands of dollars)",31888,38473,42616,50816,62606,64438,63241,66143,72226,79577,89924,110867,117692,122479,132427,144041,150251,158012,165150,169358,181774,200458,212101,218972,214924,218513,224800,230645,251423,266155,277890,283030,306756,295664,311581,326806,360291,383794,400425,423129,409661,440995,508837,518630,525000,549208
"56015","Goshen, WY","7","CA1","2","...","Population (persons) 1/",10724,10931,11064,11110,11264,11403,11746,12206,12098,11892,11628,12118,12403,12412,12557,12709,12781,12818,12781,12620,12498,12346,12361,12394,12494,12511,12522,12572,12787,12629,12502,12561,12475,12381,12374,12473,12460,12538,12620,12772,12967,13411,13604,13670,13578,13514
"56015","Goshen, WY","7","CA1","3","...","Per capita personal income (dollars) 2/",2974,3520,3852,4574,5558,5651,5384,5419,5970,6692,7733,9149,9489,9868,10546,11334,11756,12327,12922,13420,14544,16237,17159,17668,17202,17466,17952,18346,19662,21075,22228,22532,24590,23880,25180,26201,28916,30610,31729,33129,31593,32883,37403,37939,38665,40640
"56017","Hot Springs, WY","7","CA1","1","...","Personal income (thousands of dollars)",17425,17315,19114,22229,25331,26512,29837,31498,34730,40812,46164,54764,60644,65772,69838,74021,75987,74538,70790,71789,75883,78422,83401,85883,88328,90606,92142,102063,105031,106463,109963,117763,125324,122098,130495,139561,141751,155458,160231,183741,173337,185523,204914,206422,207965,217813
"56017","Hot Springs, WY","7","CA1","2","...","Population (persons) 1/",4863,5023,5318,5071,4998,4856,4927,5160,5029,4951,5392,5732,5811,5982,6020,5949,5892,5735,5426,5256,5003,4786,4736,4822,4750,4867,4828,4897,5011,5017,4920,4851,4763,4743,4632,4629,4604,4632,4647,4698,4819,4804,4809,4845,4856,4816
"56017","Hot Springs, WY","7","CA1","3","...","Per capita personal income (dollars) 2/",3583,3447,3594,4384,5068,5460,6056,6104,6906,8243,8562,9554,10436,10995,11601,12443,12897,12997,13046,13658,15167,16386,17610,17811,18595,18616,19085,20842,20960,21220,22350,24276,26312,25743,28172,30149,30789,33562,34481,39110,35969,38618,42611,42605,42826,45227
"56019","Johnson, WY","7","CA1","1","...","Personal income (thousands of dollars)",18589,20362,22780,25689,29647,32284,37608,37110,39992,49630,58785,64894,72158,77993,80319,85450,86510,88630,88011,88348,96056,104512,116696,113955,122270,126475,129669,137651,149853,156916,172771,182655,195349,207115,226333,235786,258940,286922,304708,346543,308958,298109,334464,350137,363993,398124
"56019","Johnson, WY","7","CA1","2","...","Population (persons) 1/",5530,5611,5722,5426,5444,5361,5663,5994,6043,6272,6423,6755,6965,7128,7200,7025,6909,6730,6417,6253,6185,6172,6209,6280,6357,6533,6672,6772,6831,6872,6958,7108,7167,7371,7496,7554,7685,7796,8146,8460,8565,8568,8627,8606,8622,8573
"56019","Johnson, WY","7","CA1","3","...","Per capita personal income (dollars) 2/",3361,3629,3981,4734,5446,6022,6641,6191,6618,7913,9152,9607,10360,10942,11155,12164,12521,13169,13715,14129,15530,16933,18795,18146,19234,19359,19435,20326,21937,22834,24831,25697,27257,28099,30194,31213,33694,36804,37406,40963,36072,34793,38769,40685,42217,46439
"56021","Laramie, WY","7","CA1","1","...","Personal income (thousands of dollars)",223161,251235,277173,314333,366191,418405,457177,494494,540404,627233,706341,805758,900829,974458,1001844,1062321,1110399,1153488,1170267,1204025,1291535,1386714,1448162,1536996,1614907,1705353,1788652,1846057,1935499,2083213,2200031,2349091,2466436,2647854,2836079,2992549,3150419,3441772,3583289,3911136,3802078,3934881,4346882,4527399,4566540,4744712
"56021","Laramie, WY","7","CA1","2","...","Population (persons) 1/",55635,56619,57944,59997,62458,64789,64656,65603,66313,67001,69168,68994,70176,71129,72907,73345,73102,74411,75101,74523,73667,73175,73978,75826,77495,78885,79513,80186,80328,80522,81009,81825,82554,83226,84084,85427,85732,86819,87654,89077,90430,92199,92607,94849,96015,96389
"56021","Laramie, WY","7","CA1","3","...","Per capita personal income (dollars) 2/",4011,4437,4783,5239,5863,6458,7071,7538,8149,9362,10212,11679,12837,13700,13741,14484,15190,15502,15583,16156,17532,18951,19576,20270,20839,21618,22495,23022,24095,25871,27158,28709,29877,31815,33729,35030,36747,39643,40880,43907,42044,42678,46939,47733,47561,49225
"56023","Lincoln, WY","7","CA1","1","...","Personal income (thousands of dollars)",31215,35893,44176,41341,48101,56873,59119,66310,75433,83686,96892,113846,135059,139740,149239,168798,248674,251682,169267,162164,168032,184040,201268,215681,225318,230939,244500,257387,279596,294027,327625,347947,370459,381664,438553,449969,482134,550956,657270,663554,620522,621649,674096,684031,715828,746714
"56023","Lincoln, WY","7","CA1","2","...","Population (persons) 1/",8490,8773,9261,9205,8937,9293,9835,10374,10813,11142,11601,12397,13250,14030,14109,14108,14320,14383,13654,12873,12552,12710,12975,13124,13329,13759,14073,14206,14099,14114,14338,14621,14697,14858,15117,15539,15917,16429,17013,17629,18082,18075,18004,17926,18326,18567
