FID,STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,Longitude,Latitude
0,06,075,00277302,0500000US06075,06075,San Francisco,06,121485107.000000000000000,479107241.000000000000000,-122.4390030,37.7522011
1,25,025,00606939,0500000US25025,25025,Suffolk,06,150855462.000000000000000,160479920.000000000000000,-71.0784988,42.3278999
2,31,007,00835826,0500000US31007,31007,Banner,06,1932676697.000000000000000,397069.000000000000000,-103.7109985,41.5462990
3,37,181,01008591,0500000US37181,37181,Vance,06,653705784.000000000000000,42187365.000000000000000,-78.4067001,36.3688011
4,48,421,01383996,0500000US48421,48421,Sherman,06,2390651189.000000000000000,428754.000000000000000,-101.8929977,36.2775002
5,50,011,01461762,0500000US50011,50011,Franklin,06,1641633748.000000000000000,150930318.000000000000000,-72.9124985,44.8563004
6,51,680,01498429,0500000US51680,51680,Lynchburg,25,126842531.000000000000000,1428787.000000000000000,-79.1988983,37.4001999
7,05,099,00069169,0500000US05099,05099,Nevada,06,1600192985.000000000000000,7254365.000000000000000,-93.3062973,33.6633987
8,08,014,01945881,0500000US08014,08014,Broomfield,06,85478932.000000000000000,1411395.000000000000000,-105.0569992,39.9599991
9,16,065,00394803,0500000US16065,16065,Madison,06,1215396379.000000000000000,10500827.000000000000000,-111.6539993,43.7813988
10,17,027,00424215,0500000US17027,17027,Clinton,06,1227823898.000000000000000,75642557.000000000000000,-89.4238968,38.6069984
11,19,025,00465202,0500000US19025,19025,Calhoun,06,1475894622.000000000000000,5873828.000000000000000,-94.6405029,42.3852005
12,21,129,00516911,0500000US21129,21129,Lee,06,540937712.000000000000000,6215038.000000000000000,-83.7151031,37.5965004
13,22,063,00558083,0500000US22063,22063,Livingston,15,1678750672.000000000000000,112119167.000000000000000,-90.7305984,30.4414005
14,31,097,00835870,0500000US31097,31097,Johnson,06,973968228.000000000000000,1766531.000000000000000,-96.2651978,40.3926010
15,31,101,00835872,0500000US31101,31101,Keith,06,2749531887.000000000000000,124672175.000000000000000,-101.6620026,41.1992989
16,51,775,01789074,0500000US51775,51775,Salem,25,37599554.000000000000000,277514.000000000000000,-80.0622025,37.2835999
17,48,493,01384032,0500000US48493,48493,Wilson,06,2081662847.000000000000000,12111367.000000000000000,-98.0868988,29.1732998
18,48,115,01383843,0500000US48115,48115,Dawson,06,2331781556.000000000000000,4720730.000000000000000,-101.9479980,32.7425995
19,46,051,01265782,0500000US46051,46051,Grant,06,1764949271.000000000000000,15753610.000000000000000,-96.7699966,45.1724014
20,72,101,01804531,0500000US72101,72101,Morovis,13,100676181.000000000000000,139537.000000000000000,-66.4217987,18.3188000
21,05,067,00066861,0500000US05067,05067,Jackson,06,1641853230.000000000000000,19623381.000000000000000,-91.2148972,35.5979996
22,51,670,01498428,0500000US51670,51670,Hopewell,25,26668801.000000000000000,1324529.000000000000000,-77.2975006,37.2919006
23,46,003,01266983,0500000US46003,46003,Aurora,06,1834813747.000000000000000,11201379.000000000000000,-98.5605011,43.7176018
24,18,031,00450345,0500000US18031,18031,Decatur,06,964946087.000000000000000,1955470.000000000000000,-85.5009003,39.3070984
25,18,169,00450399,0500000US18169,18169,Wabash,06,1068205084.000000000000000,22117118.000000000000000,-85.7932968,40.8470001
26,19,161,00465269,0500000US19161,19161,Sac,06,1489300182.000000000000000,8569441.000000000000000,-95.1054993,42.3862000
27,37,107,01008568,0500000US37107,37107,Lenoir,06,1033630023.000000000000000,5900300.000000000000000,-77.6425018,35.2402992
28,29,055,00758482,0500000US29055,29055,Crawford,06,1923108653.000000000000000,3203556.000000000000000,-91.3052979,37.9766006
29,31,105,00835874,0500000US31105,31105,Kimball,06,2465269097.000000000000000,1448446.000000000000000,-103.7149963,41.1977005
30,08,045,00198138,0500000US08045,08045,Garfield,06,7634095739.000000000000000,21408198.000000000000000,-107.9029999,39.5992012
31,17,067,00424235,0500000US17067,17067,Hancock,06,2055740566.000000000000000,53535827.000000000000000,-91.1631012,40.4042015
32,27,173,00659531,0500000US27173,27173,Yellow Medicine,06,1966062971.000000000000000,10687958.000000000000000,-95.8684006,44.7170982
33,31,145,00835894,0500000US31145,31145,Red Willow,06,1856984023.000000000000000,2643458.000000000000000,-100.4769974,40.1755981
34,13,089,01687424,0500000US13089,13089,DeKalb,06,693144670.000000000000000,9191912.000000000000000,-84.2239990,33.7694016
35,45,077,01248015,0500000US45077,45077,Pickens,06,1285538264.000000000000000,40609723.000000000000000,-82.7278976,34.8880997
36,20,131,00485029,0500000US20131,20131,Nemaha,06,1858124407.000000000000000,5208983.000000000000000,-96.0139008,39.7835007
37,05,111,00069174,0500000US05111,05111,Poinsett,06,1964147526.000000000000000,13521720.000000000000000,-90.6626968,35.5742989
38,17,175,00424288,0500000US17175,17175,Stark,06,746121490.000000000000000,708705.000000000000000,-89.7975006,41.0931015
39,37,147,01008578,0500000US37147,37147,Pitt,06,1689619168.000000000000000,8248766.000000000000000,-77.3734970,35.5954018
40,19,147,00465262,0500000US19147,19147,Palo Alto,06,1460391661.000000000000000,14437623.000000000000000,-94.6781998,43.0819016
41,19,081,00465229,0500000US19081,19081,Hancock,06,1478895055.000000000000000,5265568.000000000000000,-93.7345963,43.0817986
42,29,229,00758567,0500000US29229,29229,Wright,06,1765780148.000000000000000,3533325.000000000000000,-92.4691010,37.2703018
43,31,073,00835858,0500000US31073,31073,Gosper,06,1186616240.000000000000000,11831826.000000000000000,-99.8302002,40.5148010
