OBJECTID,NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,AREA,POP1990,POP2000,POP90_SQMI,Shape_Length,Shape_Area
1,Lake of the Woods,Minnesota,27,77,27077,1784.0634,4076,4651,2,4.055459982,0.565449934
2,Ferry,Washington,53,19,53019,2280.2319,6295,7199,3,3.786160994,0.718059303
3,Stevens,Washington,53,65,53065,2529.9794,30948,40652,12,4.876296245,0.795485899
4,Okanogan,Washington,53,47,53047,5306.18,33350,38640,6,6.673168987,1.66911027
5,Pend Oreille,Washington,53,51,53051,1445.0286,8915,11752,6,3.101655485,0.455725823
6,Boundary,Idaho,16,21,16021,1279.2987,8332,10068,7,2.943635033,0.404983074
7,Lincoln,Montana,30,53,30053,3746.0908,17481,18859,5,5.308776185,1.180135016
8,Flathead,Montana,30,29,30029,5232.0306,59218,73438,11,7.973459206,1.642156193
9,Glacier,Montana,30,35,30035,3124.4572,12121,12626,4,5.221489071,0.985038659
10,Toole,Montana,30,101,30101,1943.2598,5046,4556,3,3.356589109,0.613867671
11,Liberty,Montana,30,51,30051,1485.9458,2295,2222,2,3.071838782,0.468895602
12,Hill,Montana,30,41,30041,2917.3611,17654,16862,6,4.545180644,0.920879167
13,Sheridan,Montana,30,91,30091,1686.5827,4732,4006,3,3.213947244,0.533392839
14,Divide,North Dakota,38,23,38023,1279.9633,2899,2230,2,3.063253131,0.406037337
15,Burke,North Dakota,38,13,38013,1121.417,3002,2116,3,2.728594859,0.355177708
16,Renville,North Dakota,38,75,38075,883.772,3160,2781,4,2.985717764,0.279904672
17,Bottineau,North Dakota,38,9,38009,1710.0681,8011,7172,5,3.777733823,0.540901263
18,Rolette,North Dakota,38,79,38079,943.6554,12772,14322,14,2.286681715,0.298987361
19,Towner,North Dakota,38,95,38095,1051.6146,3627,2893,3,2.376617782,0.332580174
20,Cavalier,North Dakota,38,19,38019,1503.6905,6064,4673,4,3.065546048,0.475949291
21,Pembina,North Dakota,38,67,38067,1111.7749,9238,8233,8,2.571238544,0.352290486
22,Kittson,Minnesota,27,69,27069,1095.0149,5767,5088,5,2.682907336,0.346911813
23,Roseau,Minnesota,27,135,27135,1670.997,15026,16076,9,3.610900332,0.528957197
24,Blaine,Montana,30,5,30005,4226.2541,6728,7065,2,5.366019685,1.329139893
25,Phillips,Montana,30,71,30071,5197.3383,5163,4598,1,6.464808194,1.629794039
26,Valley,Montana,30,105,30105,5055.5539,8239,8061,2,6.219902413,1.588503046
27,Daniels,Montana,30,19,30019,1421.8024,2266,1925,2,3.214714875,0.450270907
28,Whatcom,Washington,53,73,53073,2170.2019,127780,163004,59,4.900841748,0.686538764
29,Bonner,Idaho,16,17,16017,1902.6247,26622,36782,14,3.968776455,0.597019675
30,Ward,North Dakota,38,101,38101,2043.8348,57921,58210,28,4.408571012,0.640877473
31,Koochiching,Minnesota,27,71,27071,3141.0325,16299,14760,5,4.465305243,0.985380944
32,Skagit,Washington,53,57,53057,1765.1474,79555,103097,45,4.885290645,0.555217598
33,Williams,North Dakota,38,105,38105,2175.6903,21129,19515,10,3.896127109,0.682762131
34,McHenry,North Dakota,38,49,38049,1874.8388,6528,5881,3,3.261400476,0.587775124
35,St. Louis,Minnesota,27,137,27137,6750.4944,198213,193111,29,6.473358344,2.091663016
36,San Juan,Washington,53,55,53055,55.9182,10035,13215,179,0.677732079,0.017635953
37,Roosevelt,Montana,30,85,30085,2395.1857,10999,10847,5,5.108750314,0.751433546
38,Mountrial,North Dakota,38,61,38061,1944.771,7021,6449,4,3.589104278,0.60931719
39,Marshall,Minnesota,27,89,27089,1819.1567,10993,9937,6,4.170417174,0.571790176
40,Ramsey,North Dakota,38,71,38071,1311.2914,12681,11785,10,3.2235615,0.411261096
41,Walsh,North Dakota,38,99,38099,1310.2296,13840,13213,11,3.379905979,0.411900374
42,Beltrami,Minnesota,27,7,27007,3056.604,34384,39655,11,4.608745181,0.953444054
43,Pierce,North Dakota,38,69,38069,1069.4228,5052,4560,5,3.012348127,0.33529167
44,Chelan,Washington,53,7,53007,3017.2079,52250,61487,17,5.206708174,0.93936829
45,Pondera,Montana,30,73,30073,1633.2953,6433,6191,4,4.80974109,0.512102382
46,Clallam,Washington,53,9,53009,1779.6832,56464,65181,32,4.29556992,0.556421569
47,Benson,North Dakota,38,5,38005,1418.8483,7198,6743,5,3.818503515,0.443801093
48,Chouteau,Montana,30,15,30015,3973.7297,5452,4978,1,5.458547797,1.237177816
49,Snohomish,Washington,53,61,53061,2101.1892,465642,611962,222,4.114426235,0.656134975
